GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 125 | batch: 0 | bound: 8 | nc: 5 | ncall: 1231 | eff(%):  9.913 | logz: -21478.573 +/-  0.518 | dlogz: 19185.705 >  5.000 
iter: 126 | batch: 0 | bound: 8 | nc: 18 | ncall: 1249 | eff(%):  9.851 | logz: -19184.628 +/-  0.519 | dlogz: 18782.911 >  5.000 
iter: 127 | batch: 0 | bound: 9 | nc: 4 | ncall: 1253 | eff(%):  9.899 | logz: -18852.481 +/-  0.520 | dlogz: 16488.934 >  5.000 
iter: 128 | batch: 0 | bound: 9 | nc: 12 | ncall: 1265 | eff(%):  9.884 | logz: -18850.853 +/-  0.491 | dlogz: 16156.754 >  5.000 
iter: 129 | batch: 0 | bound: 9 | nc: 5 | ncall: 1270 | eff(%):  9.923 | logz: -18717.224 +/-  0.522 | dlogz: 16155.093 >  5.000 
iter: 130 | batch: 0 | bound: 10 | nc: 10 | ncall: 1280 | eff(%):  9.924 | logz: -18665.073 +/-  0.523 | dlogz: 16021.431 >  5.000 
iter: 131 | batch: 0 | bound: 11 | nc: 26 | ncall: 1306 | eff(%):  9.805 | logz: -18410.220 +/-  0.525 | dlogz: 15969.248 >  5.000 
iter: 132 | batch: 0 | bound: 11 | nc: 9 | ncall: 1315 | eff(%):  9.814 | logz: -17984.610 +/-  0.526 | dlogz: 15714.362 >  5.000 
iter: 133 | batch: 0 | bound: 11 | nc: 17 | ncall: 1332 | eff(%):  9.765 | logz: -17966.368 +/-  0.527 | dlogz: 15288.719 >  5.000 
iter: 134 | batch: 0 | bound: 12 | nc: 5 | ncall: 1337 | eff(%):  9.802 | logz: -17247.261 +/-  0.528 | dlogz: 15270.444 >  5.000 
iter: 135 | batch: 0 | bound: 12 | nc: 10 | ncall: 1347 | eff(%):  9.804 | logz: -15849.866 +/-  0.529 | dlogz: 14551.304 >  5.000 
iter: 136 | batch: 0 | bound: 12 | nc: 2 | ncall: 1349 | eff(%):  9.862 | logz: -15786.119 +/-  0.530 | dlogz: 13153.876 >  5.000 
iter: 137 | batch: 0 | bound: 12 | nc: 2 | ncall: 1351 | eff(%):  9.920 | logz: -15641.689 +/-  0.531 | dlogz: 13090.096 >  5.000 
iter: 138 | batch: 0 | bound: 13 | nc: 10 | ncall: 1361 | eff(%):  9.921 | logz: -14897.176 +/-  0.532 | dlogz: 12945.634 >  5.000 
iter: 139 | batch: 0 | bound: 13 | nc: 16 | ncall: 1377 | eff(%):  9.879 | logz: -14860.726 +/-  0.533 | dlogz: 12201.088 >  5.000 
iter: 140 | batch: 0 | bound: 14 | nc: 1 | ncall: 1378 | eff(%):  9.943 | logz: -14789.644 +/-  0.534 | dlogz: 12164.606 >  5.000 
iter: 141 | batch: 0 | bound: 14 | nc: 4 | ncall: 1382 | eff(%):  9.986 | logz: -14682.330 +/-  0.535 | dlogz: 12093.490 >  5.000 
iter: 142 | batch: 0 | bound: 19 | nc: 91 | ncall: 1473 | eff(%):  9.448 | logz: -14502.838 +/-  0.536 | dlogz: 11986.143 >  5.000 
iter: 143 | batch: 0 | bound: 22 | nc: 65 | ncall: 1538 | eff(%):  9.120 | logz: -14050.442 +/-  0.537 | dlogz: 11806.619 >  5.000 
iter: 144 | batch: 0 | bound: 28 | nc: 117 | ncall: 1655 | eff(%):  8.546 | logz: -13837.640 +/-  0.538 | dlogz: 11354.190 >  5.000 
iter: 145 | batch: 0 | bound: 29 | nc: 35 | ncall: 1690 | eff(%):  8.430 | logz: -13756.592 +/-  0.539 | dlogz: 11141.355 >  5.000 
iter: 146 | batch: 0 | bound: 30 | nc: 35 | ncall: 1725 | eff(%):  8.319 | logz: -13241.670 +/-  0.540 | dlogz: 12043.077 >  5.000 
iter: 147 | batch: 0 | bound: 31 | nc: 32 | ncall: 1757 | eff(%):  8.226 | logz: -13003.616 +/-  0.541 | dlogz: 11528.123 >  5.000 
iter: 148 | batch: 0 | bound: 34 | nc: 67 | ncall: 1824 | eff(%):  7.983 | logz: -12989.531 +/-  0.542 | dlogz: 11290.036 >  5.000 
iter: 149 | batch: 0 | bound: 35 | nc: 28 | ncall: 1852 | eff(%):  7.917 | logz: -12925.233 +/-  0.543 | dlogz: 12057.921 >  5.000 
iter: 150 | batch: 0 | bound: 35 | nc: 8 | ncall: 1860 | eff(%):  7.937 | logz: -12658.225 +/-  0.544 | dlogz: 11993.589 >  5.000 
iter: 151 | batch: 0 | bound: 37 | nc: 33 | ncall: 1893 | eff(%):  7.852 | logz: -12504.919 +/-  0.545 | dlogz: 11726.549 >  5.000 
iter: 152 | batch: 0 | bound: 38 | nc: 25 | ncall: 1918 | eff(%):  7.803 | logz: -12099.927 +/-  0.546 | dlogz: 11573.210 >  5.000 
iter: 153 | batch: 0 | bound: 40 | nc: 40 | ncall: 1958 | eff(%):  7.696 | logz: -11895.638 +/-  0.547 | dlogz: 11168.185 >  5.000 
