logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1734,-1.9335,1.1312,1.2359,1.1386,1.2338,1.1602,0.8492,0.9593,-1479.0002,128
-0.1734,-1.9335,1.1312,1.2359,1.1386,1.2338,1.1602,0.8492,0.9593,-1479.0002,128
-0.1734,-1.9335,1.1312,1.2359,1.1386,1.2338,1.1602,0.8492,0.9593,-1479.0002,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
-0.1722,-1.9303,1.1302,1.2363,1.1420,1.2407,1.1579,0.8291,0.9470,-1480.4209,128
