# Vega Mags
# arm region extracted from square X=[2732,2988), Y=[3822, 4078) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.821805 1.233237 0.535381
25.832165 1.168751 0.628069
25.902236 1.099338 0.655754
25.956022 1.048536 0.671588
26.094201 0.998504 0.644318
26.092848 0.978185 0.578117
26.127339 0.974390 0.532087
26.153243 0.910696 0.560214
26.144510 0.917617 0.560908
26.024774 1.034230 0.615891
25.974643 1.005357 0.616812
25.956807 1.035269 0.465575
25.955450 0.991545 0.537980
26.045012 0.865105 0.552362
25.960859 0.731712 0.596677
25.989126 0.759553 0.452848
26.028514 0.773293 0.608532
25.882502 0.818834 0.641288
25.754367 0.820600 0.576140
25.775590 0.806624 0.498075
25.910127 0.759900 0.585044
25.969199 0.824249 0.604680
25.861946 1.045035 0.503472
25.835107 1.034847 0.508224
25.896554 1.026587 0.506449
25.956292 0.892645 0.588932
25.978336 0.873261 0.613933
26.026700 0.963403 0.386787
26.053591 0.970447 0.450877
25.980463 0.939527 0.571155
25.908783 0.928313 0.633276
25.946670 0.816075 0.594920
26.004304 0.924428 0.506328
26.081686 0.864481 0.450760
26.114883 0.719162 0.611814
26.005050 0.984060 0.489996
25.881319 1.105479 0.600099
25.857929 1.175417 0.527686
25.949769 1.057007 0.523487
25.947450 1.022587 0.483161
25.914431 1.021527 0.511713
25.969566 1.033676 0.471421
26.010863 1.056976 0.585909
25.917957 1.039677 0.595183
25.989950 0.990648 0.512241
26.017802 0.930090 0.627311
25.905220 0.962874 0.677172
25.788650 1.018216 0.646130
25.855945 0.948965 0.578447
25.943761 0.915686 0.575914
25.977662 0.926217 0.591834
25.891484 1.158848 0.511729
25.977242 1.013363 0.642453
25.981642 0.917233 0.667994
26.016262 0.816920 0.647836
26.011578 0.818533 0.529326
25.999762 0.794977 0.537237
25.991950 0.818458 0.568322
26.012701 0.875942 0.393376
25.905265 0.870407 0.675794
25.859058 1.019642 0.564332
25.918100 1.007584 0.479612
25.995528 0.888399 0.583693
25.982431 0.860497 0.575821
25.960868 0.698964 0.680939
25.969110 0.730154 0.617481
25.974212 0.936576 0.414234
25.798869 1.040143 0.477779
25.720862 0.968517 0.581003
25.676465 0.776907 0.563841
25.802656 0.669288 0.341093
25.836983 0.749925 0.349517
25.856467 0.786974 0.438784
25.832602 0.860036 0.386802
25.882765 0.880145 0.357909
25.891276 0.849194 0.565443
25.824398 0.908162 0.604165
25.794827 0.960462 0.564298
25.751287 0.957971 0.710040
25.740471 0.997812 0.503719
25.777846 0.959357 0.492257
25.777028 0.974804 0.519995
25.798203 0.972107 0.408743
25.745294 1.035210 0.495600
25.734339 1.050356 0.518253
25.841163 0.998278 0.438632
25.917758 0.824616 0.560361
25.888406 0.840105 0.484325
25.933543 0.721162 0.561008
25.866952 0.749643 0.557909
25.735676 0.869265 0.560192
25.706119 0.998967 0.523638
25.752571 0.956136 0.522465
25.768611 0.943320 0.469079
25.764686 0.936451 0.492531
25.768003 0.857801 0.587020
25.683812 0.892780 0.536831
25.637621 0.830924 0.607648
25.642490 0.954156 0.482432
25.768685 0.831725 0.531116
25.803283 0.899789 0.436570
25.882997 0.947389 0.471562
25.955336 0.924262 0.515365
