# Vega Mags
# arm2 region extracted from square X=[4872,5128), Y=[7072, 7328) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
26.223439 0.908068 0.294567
26.263074 1.011451 0.373796
26.185664 0.869408 0.545678
26.122114 0.886941 0.494176
26.240053 0.830928 0.436447
26.281581 0.819068 0.357866
26.321894 0.763086 0.425960
26.267820 0.878639 0.492768
26.381320 0.802230 0.503048
26.327867 0.760742 0.588124
26.261803 0.825400 0.542957
26.191197 0.927424 0.536411
25.506049 1.509705 0.577204
25.414676 1.698582 0.360931
26.051199 1.134239 0.386276
26.249528 0.899572 0.558564
26.310379 0.951226 0.470269
26.464611 0.797746 0.424978
26.494970 0.684599 0.426614
26.430118 0.608087 0.362613
26.445501 0.639909 0.339151
26.544289 0.713570 0.250283
26.600746 0.656159 0.535778
26.548163 0.761529 0.465176
26.465339 0.768193 0.580777
26.069986 1.136497 0.494405
26.108386 1.052433 0.428723
26.355596 0.844304 0.418382
26.283099 0.864018 0.433824
26.486246 0.579703 0.316586
26.555358 0.501926 0.460729
26.454056 0.639740 0.459691
26.516320 0.709514 0.398891
26.620089 0.648016 0.413675
26.470265 0.764929 0.560628
26.529323 0.684576 0.548704
26.478938 0.892395 0.394676
26.492142 0.907346 0.328044
26.577351 0.706512 0.400243
26.571644 0.741646 0.369595
26.545402 0.712404 0.430025
26.519233 0.723143 0.449627
26.549817 0.706288 0.403816
26.384609 0.776886 0.483017
26.356187 0.778316 0.636457
26.311599 0.885508 0.465895
26.567789 0.758652 0.379737
26.550727 0.864673 0.355805
26.629405 0.790932 0.336479
26.677097 0.727937 0.472970
26.660134 0.662636 0.609996
26.506989 0.796012 0.621023
26.458479 0.913524 0.551762
26.435730 0.890369 0.538759
26.435707 0.835749 0.565625
26.470243 0.791618 0.580682
26.453043 0.763822 0.502435
26.331070 0.804868 0.642637
26.313158 0.788493 0.596275
26.401923 0.738703 0.627330
26.484235 0.806874 0.522388
26.555053 0.887041 0.484243
26.616514 0.659291 0.409494
26.614583 0.825157 0.205950
26.400933 0.843232 0.490037
26.329738 1.059944 0.286010
26.416385 0.854162 0.274955
26.388024 0.861224 0.284963
26.444283 0.925068 0.367509
26.398559 0.878256 0.443695
26.503215 0.699167 0.616682
26.568909 0.727549 0.542790
26.520183 0.766476 0.434729
26.508836 0.724292 0.477690
26.472467 0.822528 0.339541
26.431775 1.005638 0.252638
26.457254 0.819242 0.401707
26.385223 0.802751 0.376664
26.392557 0.785597 0.367300
26.520852 0.851918 0.390010
26.450724 0.815689 0.394329
26.263468 1.102653 0.238918
26.305006 0.925972 0.494653
26.487936 0.963681 0.307252
26.425785 0.969303 0.392809
26.452726 0.928937 0.361598
26.463315 0.864658 0.524678
26.475415 0.842343 0.522455
26.504029 0.832303 0.582640
26.425656 0.822708 0.569046
26.419841 0.724433 0.732035
26.469428 0.852509 0.448903
26.435294 0.870765 0.421938
26.485788 0.756883 0.454728
26.433234 0.866650 0.222348
26.414773 0.860194 0.295096
26.349746 0.897411 0.403153
26.302739 0.885500 0.424971
26.341651 0.846494 0.485145
26.471057 0.740065 0.507380
26.468696 0.791488 0.392836
26.113810 1.014383 0.513724
25.911976 1.095000 0.715006
25.898691 1.240228 0.492016
26.242277 0.930233 0.510223
26.518800 0.873756 0.325535
26.553918 0.789648 0.383513
26.381871 0.833749 0.485764
26.338212 0.899023 0.441711
26.459606 0.812435 0.223675
26.467180 0.739075 0.179925
26.561573 0.711275 0.412007
26.512770 0.709614 0.424061
26.404094 0.669973 0.440775
26.488567 0.695982 0.533324
26.566874 0.629476 0.610154
26.607576 0.699509 0.439858
26.657335 0.652510 0.384420
26.553552 0.674086 0.285609
26.450838 0.677854 0.302884
26.515888 0.648468 0.369057
26.614569 0.608840 0.471829
26.572309 0.787234 0.391187
26.529369 0.675421 0.495656
26.510097 0.748874 0.495303
26.440609 0.884263 0.454292
26.394990 0.927783 0.451347
26.323719 1.055534 0.470986
26.466337 0.909457 0.403114
26.545194 0.828730 0.505060
26.604110 0.884149 0.365764
26.520104 0.946454 0.346111
26.488435 0.854252 0.444383
26.416274 0.760895 0.646807
26.100431 0.821570 0.728701
26.147578 0.899492 0.657585
26.271170 0.902371 0.592256
26.378684 0.906218 0.474233
26.581795 0.801585 0.500603
26.572558 0.973108 0.416297
26.493905 1.021450 0.312401
26.466643 0.833821 0.349328
26.432068 0.843264 0.210518
26.508732 0.858811 0.278079
26.583846 1.033584 0.157919
26.577992 0.804163 0.415966
26.435570 0.854398 0.327683
26.303114 0.852072 0.479115
26.398553 0.649660 0.640534
26.467003 0.721217 0.411396
26.570521 0.733622 0.487754
26.600019 0.794170 0.388400
26.506110 0.836198 0.464956
26.436560 0.860866 0.584009
26.461890 0.806122 0.521831
26.508412 0.867864 0.438638
26.503040 0.786723 0.454089
26.531337 0.769685 0.462456
26.441689 0.598788 0.503747
26.505142 0.575371 0.401042
26.596805 0.677154 0.343271
26.626879 0.775799 0.313831
26.607510 0.729842 0.553879
26.653162 0.665486 0.479200
26.440325 0.786607 0.462558
26.310810 0.914997 0.471659
26.374511 0.805771 0.381047
26.459858 0.748501 0.382976
26.379372 0.741098 0.630959
26.333681 0.768381 0.581587
26.148499 0.974358 0.497196
26.232955 0.953575 0.483838
26.349869 0.979811 0.436761
26.349987 1.030034 0.439737
26.316545 0.860947 0.598638
26.248785 0.938786 0.463317
26.426586 0.790342 0.408684
26.448241 0.756699 0.499418
26.468315 0.765944 0.501847
26.349020 0.947400 0.413012
26.219157 1.002892 0.464800
26.200627 0.995491 0.457717
26.268774 0.949475 0.392099
26.405839 0.854424 0.468436
26.360061 0.816715 0.478531
26.311517 0.850613 0.310655
26.210357 1.006864 0.293007
25.932093 1.156452 0.442521
25.584766 1.426244 0.433335
25.188973 1.704318 0.523647
25.481709 1.365266 0.418889
25.931789 1.276125 0.257944
26.233553 1.165640 0.400717
26.451783 0.910652 0.350817
26.442023 0.816182 0.436777
26.516558 0.866638 0.374407
26.419985 0.791644 0.562078
26.287042 0.886971 0.559540
26.161047 0.916568 0.519308
26.019370 0.902533 0.496596
26.065107 1.027189 0.414388
26.244218 0.894299 0.537885
26.244508 0.917188 0.453798
26.250321 0.920882 0.373490
26.336361 0.891267 0.426719
26.354253 0.921336 0.443847
26.154600 1.038915 0.466507
26.066535 1.090636 0.451446
26.288202 0.950583 0.406341
26.422414 0.726007 0.531595
26.323076 0.698702 0.529874
26.220214 0.801232 0.409150
26.262073 0.815614 0.371866
26.061707 0.984616 0.440996
26.043966 0.923253 0.547004
26.185350 0.869452 0.475215
26.362916 0.802532 0.282383
26.351547 0.632134 0.260735
26.138624 0.832813 0.340108
26.038872 0.892666 0.383540
26.165178 0.918842 0.319873
26.348106 0.875252 0.200960
26.307334 0.807858 0.526842
26.275578 0.783997 0.492114
26.257553 0.925446 0.466882
26.279889 0.942067 0.573985
26.287499 1.093065 0.357650
26.103810 1.122104 0.375191
26.219712 0.889756 0.401612
26.388197 0.707635 0.427108
26.445536 0.728126 0.406743
26.426415 0.825111 0.494696
26.270476 0.868233 0.652975
26.256997 0.905666 0.547360
26.432512 0.839801 0.421567
26.436062 0.802264 0.512956
26.510615 0.777514 0.488453
26.533222 0.688445 0.546600
26.488649 0.725962 0.498011
26.409683 0.838463 0.416872
26.511299 0.683826 0.446426
26.609982 0.670903 0.319191
26.627739 0.550312 0.461030
26.468410 0.852040 0.331346
26.592992 0.805528 0.442139
26.626629 0.811024 0.485995
26.542044 0.840031 0.519640
26.397834 0.896560 0.596969
26.472986 0.719059 0.606346
26.412689 0.796930 0.459260
26.307223 0.765544 0.387282
26.038760 0.619600 0.162640
25.589979 0.636722 -0.265299
25.740972 0.768182 -0.418365
26.166168 0.675478 -0.034951
26.274443 0.710194 0.209246
26.204108 0.839344 0.407059
26.193699 0.969069 0.541101
26.285315 0.916081 0.473813
26.303212 0.854464 0.536948
26.237331 0.898480 0.433667
26.261917 0.780320 0.383841
26.214890 0.832065 0.362624
26.173972 1.025754 0.345486
26.135193 1.066028 0.404901
26.294835 0.910475 0.390696
26.223780 0.931070 0.342987
26.106091 1.071543 0.327817
25.424090 1.454986 0.596090
25.383142 1.543018 0.511969
25.967440 1.140464 0.337109
26.210326 1.002537 0.454470
26.401971 0.879638 0.426455
26.539778 0.798233 0.342196
26.423353 0.717022 0.394749
26.411258 0.611945 0.366714
26.460185 0.634672 0.350002
26.557694 0.649226 0.407648
26.535910 0.888923 0.283000
26.422692 0.967941 0.454402
26.373055 0.898538 0.557350
26.112174 0.976727 0.613902
26.171377 0.951709 0.539532
26.371104 0.810383 0.600060
26.307857 0.878257 0.435693
26.431522 0.664045 0.278920
26.581425 0.687846 0.269407
26.619106 0.589383 0.512837
26.565503 0.620781 0.467121
26.604077 0.720856 0.453780
26.585175 0.748083 0.592509
26.557059 0.738258 0.500375
26.494305 0.820567 0.362581
26.428908 0.875508 0.398708
26.448668 0.879846 0.264177
26.557403 0.821535 0.164613
26.562181 0.748741 0.294771
26.577576 0.755454 0.285871
26.484352 0.745314 0.373579
26.457510 0.788255 0.401668
26.502105 0.789330 0.534719
26.533478 0.691886 0.583786
26.651814 0.687939 0.476953
26.569422 0.826372 0.429951
26.721340 0.647539 0.517203
26.632826 0.739032 0.451531
26.622290 0.703529 0.514483
26.621961 0.695295 0.671927
26.539648 0.787461 0.633741
26.378223 1.034842 0.471289
26.283045 0.887414 0.504893
26.435062 0.718089 0.537975
26.447741 0.785329 0.480828
26.379028 0.824512 0.536881
26.319418 0.965746 0.422726
26.352912 0.917146 0.576065
26.390860 0.844806 0.671408
26.505809 0.879593 0.487711
26.554679 0.762336 0.398805
26.528416 0.716889 0.298744
26.481804 0.802024 0.385358
26.484701 0.724956 0.447592
26.421630 0.680341 0.399642
26.393650 0.684469 0.411292
26.423234 0.727787 0.478944
26.534752 0.786936 0.288416
26.470304 0.888466 0.428709
26.549707 0.742137 0.531269
26.521531 0.871227 0.390602
26.507139 0.720782 0.462496
26.475794 0.734705 0.478042
26.452503 0.776039 0.534511
26.392642 0.803085 0.441994
26.432112 0.770021 0.421160
26.442476 0.704722 0.557296
26.547023 0.726918 0.492688
26.442824 0.761737 0.300880
26.336048 0.763398 0.221064
26.559259 0.684187 0.388309
26.536315 0.899026 0.402926
26.550864 0.856924 0.409516
26.461132 0.910495 0.300679
26.495528 0.907012 0.269664
26.577533 0.800753 0.420865
26.557683 0.855998 0.475475
26.377964 1.007978 0.415129
26.237272 1.020222 0.539263
26.323510 0.884541 0.420264
26.380860 0.859421 0.352747
26.415326 0.969740 0.335035
26.461483 0.886125 0.373567
26.371914 0.743799 0.459120
26.247807 0.913534 0.323896
26.210433 0.836439 0.408655
26.375719 0.803142 0.420540
26.367433 0.837186 0.499285
26.244132 0.975978 0.494511
26.011867 1.133799 0.444712
25.760690 1.091174 0.706607
25.685152 1.346000 0.543352
26.141275 1.019175 0.523960
26.444744 0.944090 0.438662
26.486796 0.753784 0.518748
26.459509 0.747138 0.484009
26.468671 0.710920 0.411538
26.349041 0.677114 0.365579
