logfeh_mean,logdust,logNpix,tau,dmod,logl
-6.2856e-02,-5.2595e-01,2.0447e+00,3.4778e+00,2.6115e+01,-1.3048e+03
-4.6451e-01,-4.0637e-01,1.9041e+00,3.0805e+00,2.5677e+01,-2.7476e+03
-1.5436e-01,-5.1451e-01,2.1449e+00,3.1235e+00,2.6370e+01,-1.3807e+03
7.5018e-02,-6.5477e-01,1.9977e+00,1.1349e+00,2.5815e+01,-1.2846e+03
-3.7528e-01,-3.9550e-01,2.1926e+00,4.8884e+00,2.6586e+01,-2.3178e+03
1.8431e-01,-7.3688e-01,2.1181e+00,3.4878e-01,2.6123e+01,-2.5801e+03
1.1383e-01,-6.3421e-01,1.7881e+00,2.3926e+00,2.5263e+01,-1.9562e+03
-4.1984e-02,-6.4175e-01,1.9671e+00,3.3642e-01,2.5837e+01,-1.8931e+03
-1.1512e-01,-5.5398e-01,2.0092e+00,1.1951e+00,2.5922e+01,-2.5648e+03
-2.1211e-01,-5.0834e-01,1.8581e+00,1.8589e+00,2.5472e+01,-2.3540e+03
1.3039e-01,-6.8839e-01,1.9598e+00,5.8974e-01,2.5766e+01,-1.5588e+03
-4.2660e-01,-3.8868e-01,2.0964e+00,4.7459e+00,2.6361e+01,-2.0723e+03
1.6884e-01,-7.4607e-01,2.1626e+00,1.9304e+00,2.6329e+01,-2.5022e+03
-2.0862e-02,-5.8468e-01,1.8624e+00,4.7815e-01,2.5443e+01,-2.0444e+03
-4.7249e-01,-4.1090e-01,2.0330e+00,4.2220e+00,2.6148e+01,-1.8066e+03
-3.5239e-01,-4.8174e-01,1.9744e+00,2.7496e+00,2.5873e+01,-2.0822e+03
-3.0736e-01,-4.5610e-01,1.8097e+00,2.8814e+00,2.5406e+01,-2.6643e+03
8.9268e-02,-6.5980e-01,1.9129e+00,2.1826e-01,2.5559e+01,-1.7892e+03
-3.3771e-01,-4.4770e-01,2.0085e+00,3.3121e+00,2.6020e+01,-1.0993e+03
-2.6137e-01,-5.6385e-01,1.9957e+00,2.1661e-01,2.5987e+01,-2.3809e+03
-8.7140e-02,-5.3090e-01,2.0042e+00,2.5977e+00,2.5911e+01,-1.7452e+03
7.4711e-02,-5.7617e-01,2.0451e+00,2.8128e+00,2.5938e+01,-2.5908e+03
-2.8872e-01,-5.2086e-01,2.0281e+00,2.6013e+00,2.6047e+01,-2.2413e+03
1.1101e-01,-6.1934e-01,2.0282e+00,2.3152e+00,2.5945e+01,-2.7534e+03
1.2889e-01,-6.0694e-01,1.9238e+00,3.1170e+00,2.5721e+01,-1.7143e+03
-2.5527e-02,-5.3477e-01,1.8253e+00,2.7115e+00,2.5329e+01,-2.7407e+03
-3.3375e-02,-5.3517e-01,1.9889e+00,3.4478e+00,2.5844e+01,-2.7768e+03
-9.7753e-02,-5.7363e-01,2.0750e+00,9.7897e-01,2.6035e+01,-2.1585e+03
-1.3199e-01,-5.8856e-01,2.1317e+00,1.5564e+00,2.6323e+01,-1.4635e+03
1.5394e-01,-6.1891e-01,2.1018e+00,3.1351e+00,2.6177e+01,-1.8317e+03
-3.5393e-01,-5.3371e-01,2.2499e+00,1.9604e+00,2.6723e+01,-1.9782e+03
-1.2060e-01,-5.5093e-01,2.1786e+00,2.2005e+00,2.6360e+01,-2.6816e+03
-2.9152e-01,-4.3592e-01,1.9808e+00,3.7614e+00,2.5965e+01,-2.1802e+03
-1.3194e-01,-5.5179e-01,2.0841e+00,2.5387e+00,2.6233e+01,-2.1217e+03
