logfeh_mean,logdust_med,logNpix,tau,logl
-2.8318e-01,-4.6310e-01,2.0044e+00,2.8287e+00,-1.0179e+03
-2.5279e-01,-5.6457e-01,1.9914e+00,2.7616e+00,-9.7925e+02
-2.1704e-01,-5.3694e-01,1.9987e+00,2.9697e+00,-9.8552e+02
-2.7037e-01,-5.3571e-01,1.9956e+00,2.7964e+00,-9.8263e+02
-2.4722e-01,-5.2665e-01,2.0006e+00,2.7691e+00,-9.5964e+02
-3.0237e-01,-4.8384e-01,2.0030e+00,2.7120e+00,-1.0057e+03
-2.0439e-01,-5.4076e-01,2.0001e+00,3.0315e+00,-9.7467e+02
-1.9413e-01,-5.8672e-01,1.9930e+00,2.9285e+00,-1.0045e+03
-1.9347e-01,-5.6027e-01,1.9908e+00,3.0599e+00,-1.0077e+03
-2.4768e-01,-5.2534e-01,1.9909e+00,2.9291e+00,-1.0313e+03
-2.0573e-01,-5.5436e-01,1.9909e+00,3.0934e+00,-9.7532e+02
-2.5177e-01,-5.1630e-01,1.9952e+00,3.0312e+00,-1.0259e+03
-2.9850e-01,-5.3224e-01,1.9938e+00,2.6790e+00,-1.0199e+03
-2.6085e-01,-5.6485e-01,1.9990e+00,2.5815e+00,-9.8064e+02
-2.9419e-01,-4.8383e-01,1.9941e+00,2.8112e+00,-9.9754e+02
-2.5330e-01,-5.1997e-01,1.9964e+00,2.9163e+00,-9.7181e+02
-2.0795e-01,-4.9766e-01,1.9982e+00,3.1518e+00,-1.0202e+03
-2.1636e-01,-5.2479e-01,2.0001e+00,3.0703e+00,-9.6257e+02
-2.6148e-01,-5.3154e-01,1.9930e+00,2.8554e+00,-9.7723e+02
-1.9345e-01,-5.5676e-01,1.9938e+00,2.9938e+00,-1.0252e+03
-3.0588e-01,-4.7396e-01,2.0024e+00,2.6795e+00,-9.8757e+02
-2.4345e-01,-5.6220e-01,1.9948e+00,2.8007e+00,-9.6920e+02
-2.3563e-01,-5.2400e-01,1.9983e+00,2.9974e+00,-9.7373e+02
-3.5268e-01,-4.3705e-01,2.0025e+00,2.5091e+00,-1.0312e+03
-1.9424e-01,-5.4843e-01,1.9899e+00,3.2524e+00,-9.9163e+02
-3.1973e-01,-4.5665e-01,2.0047e+00,2.5803e+00,-1.0114e+03
-2.5700e-01,-5.1304e-01,2.0025e+00,2.8428e+00,-1.0005e+03
-1.8685e-01,-5.3387e-01,1.9936e+00,3.1792e+00,-1.0310e+03
-2.3825e-01,-5.1100e-01,1.9917e+00,3.1330e+00,-9.8472e+02
-2.1660e-01,-5.5773e-01,2.0007e+00,2.7759e+00,-9.8232e+02
-3.1400e-01,-4.5999e-01,2.0017e+00,2.5385e+00,-1.0234e+03
