logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.2316e-01,-1.7983e+00,2.1703e+00,3.6064e+00,2.5896e+01,-5.8673e+04
-4.0801e-01,-1.4658e+00,2.2454e+00,4.8978e+00,2.6244e+01,-5.1640e+04
-3.9666e-01,-1.5292e+00,2.0012e+00,3.1638e+00,2.5282e+01,-7.2972e+04
-1.9060e-01,-1.2739e+00,1.5769e+00,4.8647e+00,2.4141e+01,-7.8557e+04
-4.6199e-01,-1.7908e+00,2.5879e+00,3.3544e+00,2.7149e+01,-7.3126e+04
-2.7378e-01,-1.3298e+00,2.1034e+00,4.3636e+00,2.5455e+01,-8.3681e+04
-2.7710e-01,-1.7358e+00,1.6057e+00,3.1100e+00,2.4057e+01,-7.7482e+04
-2.8448e-01,-1.8061e+00,1.6094e+00,4.3334e+00,2.4627e+01,-8.9395e+04
-4.6692e-01,-1.1506e+00,1.7027e+00,3.2295e+00,2.4367e+01,-8.7448e+04
-4.8952e-01,-1.7135e+00,2.1433e+00,3.0713e+00,2.5518e+01,-8.2819e+04
-4.9053e-01,-1.5108e+00,2.6207e+00,3.5442e+00,2.7018e+01,-7.9070e+04
-2.1604e-01,-1.5410e+00,1.5498e+00,3.1656e+00,2.4068e+01,-8.9638e+04
