logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.8810e-01,-9.8912e-01,1.9795e+00,3.3127e+00,2.6026e+01,-1.4018e+03
-2.8198e-01,-9.5079e-01,1.9423e+00,2.9920e+00,2.5911e+01,-1.4104e+03
-2.8651e-01,-9.3290e-01,1.9508e+00,3.0526e+00,2.5946e+01,-1.4139e+03
-2.8847e-01,-9.3229e-01,1.9477e+00,3.0487e+00,2.5940e+01,-1.4130e+03
-1.9064e-01,-9.9539e-01,1.9751e+00,3.2726e+00,2.6020e+01,-1.4165e+03
-2.8421e-01,-9.3423e-01,1.9713e+00,3.1364e+00,2.6003e+01,-1.4152e+03
-2.9058e-01,-9.3787e-01,1.9440e+00,3.0732e+00,2.5938e+01,-1.4163e+03
-1.9022e-01,-9.8174e-01,1.9748e+00,3.2529e+00,2.6005e+01,-1.3903e+03
-2.7474e-01,-9.2854e-01,1.9532e+00,3.2257e+00,2.5950e+01,-1.4180e+03
-1.8798e-01,-9.9944e-01,1.9705e+00,3.2615e+00,2.6002e+01,-1.3960e+03
-2.0113e-01,-9.8936e-01,1.9610e+00,3.1262e+00,2.5958e+01,-1.4124e+03
-2.0311e-01,-9.7706e-01,1.9531e+00,3.2030e+00,2.5935e+01,-1.4182e+03
-2.7478e-01,-9.1896e-01,1.9545e+00,3.2660e+00,2.5953e+01,-1.4171e+03
-1.8557e-01,-9.8551e-01,1.9630e+00,3.3918e+00,2.5988e+01,-1.4132e+03
-2.0204e-01,-9.9114e-01,1.9587e+00,3.1769e+00,2.5958e+01,-1.4092e+03
-1.8979e-01,-9.8312e-01,1.9755e+00,3.3241e+00,2.6018e+01,-1.4054e+03
-2.0054e-01,-9.8118e-01,1.9557e+00,3.2008e+00,2.5948e+01,-1.4172e+03
-2.8476e-01,-9.3027e-01,1.9500e+00,3.1591e+00,2.5947e+01,-1.4178e+03
-2.9318e-01,-9.4556e-01,1.9355e+00,2.9780e+00,2.5905e+01,-1.4199e+03
-1.6690e-01,-9.9624e-01,1.9400e+00,3.2555e+00,2.5890e+01,-1.4120e+03
-1.8599e-01,-9.9274e-01,1.9713e+00,3.2858e+00,2.6000e+01,-1.4148e+03
-1.8462e-01,-9.8954e-01,1.9811e+00,3.3384e+00,2.6034e+01,-1.3878e+03
-2.0225e-01,-9.8295e-01,1.9589e+00,3.2221e+00,2.5957e+01,-1.4029e+03
-1.8981e-01,-9.9610e-01,1.9721e+00,3.2514e+00,2.6002e+01,-1.4134e+03
-1.8426e-01,-9.7701e-01,1.9808e+00,3.3544e+00,2.6024e+01,-1.4140e+03
-1.8857e-01,-9.9494e-01,1.9764e+00,3.2735e+00,2.6022e+01,-1.4118e+03
-1.8541e-01,-9.9197e-01,1.9714e+00,3.2487e+00,2.5996e+01,-1.4179e+03
-1.9033e-01,-9.9306e-01,1.9647e+00,3.2639e+00,2.5983e+01,-1.4062e+03
-1.9021e-01,-9.9594e-01,1.9676e+00,3.2739e+00,2.5991e+01,-1.4069e+03
-2.0213e-01,-9.7402e-01,1.9486e+00,3.2084e+00,2.5921e+01,-1.4075e+03
-1.8936e-01,-9.9957e-01,1.9748e+00,3.3065e+00,2.6017e+01,-1.4109e+03
-1.5940e-01,-9.9249e-01,1.9586e+00,3.3873e+00,2.5957e+01,-1.4155e+03
-2.1944e-01,-9.7968e-01,1.9880e+00,3.1792e+00,2.6054e+01,-1.4193e+03
-2.6958e-01,-9.1579e-01,1.9657e+00,3.3024e+00,2.5980e+01,-1.4193e+03
-2.8131e-01,-9.4699e-01,1.9775e+00,3.0493e+00,2.6016e+01,-1.4187e+03
-1.6808e-01,-9.9818e-01,1.9442e+00,3.2838e+00,2.5910e+01,-1.4139e+03
-1.8973e-01,-9.8829e-01,1.9689e+00,3.2212e+00,2.5986e+01,-1.4120e+03
-1.8890e-01,-9.9239e-01,1.9751e+00,3.2672e+00,2.6018e+01,-1.4137e+03
-1.8928e-01,-9.8755e-01,1.9771e+00,3.2623e+00,2.6018e+01,-1.3755e+03
-2.0191e-01,-9.7178e-01,1.9568e+00,3.2474e+00,2.5950e+01,-1.3994e+03
-1.8902e-01,-9.8991e-01,1.9704e+00,3.2765e+00,2.5997e+01,-1.4146e+03
-1.9052e-01,-9.8373e-01,1.9660e+00,3.3608e+00,2.5995e+01,-1.4196e+03
-2.2456e-01,-9.6877e-01,1.9903e+00,3.1925e+00,2.6059e+01,-1.4193e+03
-1.8728e-01,-9.9290e-01,1.9765e+00,3.2684e+00,2.6018e+01,-1.4169e+03
-1.8860e-01,-9.9777e-01,1.9745e+00,3.3119e+00,2.6021e+01,-1.4164e+03
-2.8686e-01,-9.3528e-01,1.9721e+00,3.1285e+00,2.6010e+01,-1.4125e+03
-1.8572e-01,-9.9443e-01,1.9771e+00,3.2540e+00,2.6015e+01,-1.3981e+03
-1.8692e-01,-9.9244e-01,1.9726e+00,3.2173e+00,2.5997e+01,-1.3955e+03
-1.8998e-01,-9.9393e-01,1.9691e+00,3.2261e+00,2.5990e+01,-1.4187e+03
-1.8646e-01,-9.9525e-01,1.9744e+00,3.2430e+00,2.6007e+01,-1.3987e+03
-1.8507e-01,-9.9578e-01,1.9786e+00,3.3574e+00,2.6028e+01,-1.3909e+03
-2.7665e-01,-9.3545e-01,1.9463e+00,3.1413e+00,2.5928e+01,-1.4188e+03
-1.8755e-01,-9.9911e-01,1.9807e+00,3.2562e+00,2.6030e+01,-1.3921e+03
-1.9816e-01,-9.7165e-01,1.9526e+00,3.2601e+00,2.5935e+01,-1.4162e+03
-1.8950e-01,-9.9236e-01,1.9707e+00,3.3227e+00,2.6013e+01,-1.4184e+03
-2.9040e-01,-9.5415e-01,1.9457e+00,3.0001e+00,2.5940e+01,-1.4129e+03
-2.0114e-01,-9.6795e-01,1.9585e+00,3.2916e+00,2.5966e+01,-1.4155e+03
-1.8215e-01,-9.9564e-01,1.9803e+00,3.2752e+00,2.6023e+01,-1.4142e+03
-1.8295e-01,-9.9516e-01,1.9792e+00,3.3247e+00,2.6024e+01,-1.3863e+03
-1.8688e-01,-9.9306e-01,1.9801e+00,3.2763e+00,2.6031e+01,-1.3932e+03
-1.8613e-01,-9.9353e-01,1.9812e+00,3.2708e+00,2.6029e+01,-1.4089e+03
-2.0035e-01,-9.7402e-01,1.9636e+00,3.2634e+00,2.5974e+01,-1.4153e+03
-1.8720e-01,-9.7523e-01,1.9753e+00,3.3116e+00,2.6010e+01,-1.4160e+03
-1.8886e-01,-9.9286e-01,1.9725e+00,3.1993e+00,2.5997e+01,-1.4177e+03
-1.8644e-01,-9.9808e-01,1.9769e+00,3.2271e+00,2.6025e+01,-1.4035e+03
-1.8575e-01,-9.8258e-01,1.9802e+00,3.2794e+00,2.6021e+01,-1.4067e+03
-1.6520e-01,-9.9543e-01,1.9382e+00,3.3110e+00,2.5893e+01,-1.4155e+03
-1.9583e-01,-9.7371e-01,1.9411e+00,3.2325e+00,2.5898e+01,-1.4197e+03
-1.8714e-01,-9.8519e-01,1.9838e+00,3.3640e+00,2.6048e+01,-1.4071e+03
-2.8371e-01,-9.2609e-01,1.9400e+00,3.0931e+00,2.5908e+01,-1.4162e+03
-1.8746e-01,-9.9410e-01,1.9756e+00,3.2771e+00,2.6010e+01,-1.4103e+03
-1.8745e-01,-9.9617e-01,1.9794e+00,3.2533e+00,2.6031e+01,-1.4101e+03
-2.8464e-01,-9.4017e-01,1.9421e+00,3.0436e+00,2.5918e+01,-1.4107e+03
-1.8878e-01,-9.9757e-01,1.9815e+00,3.2653e+00,2.6034e+01,-1.4061e+03
-1.9771e-01,-9.6127e-01,1.9561e+00,3.3236e+00,2.5948e+01,-1.4147e+03
-1.9008e-01,-9.9080e-01,1.9740e+00,3.3142e+00,2.6014e+01,-1.4134e+03
-2.0707e-01,-9.7803e-01,1.9480e+00,3.2547e+00,2.5933e+01,-1.4133e+03
-1.8999e-01,-9.8737e-01,1.9771e+00,3.3143e+00,2.6018e+01,-1.4116e+03
-2.0185e-01,-9.6840e-01,1.9519e+00,3.2774e+00,2.5936e+01,-1.4199e+03
