nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,3.2200e+02,8.3280e+03,3.8553e+00,-1.8288e+04,-1.8299e+04,-6.3962e+00,-1.8299e+04,3.5424e-01,1.1001e+01,1.7153e+04,-4.9747e-01,-1.0300e+00,3.0509e+00,1.6260e+00
2.0000e+03,3.2300e+02,8.3390e+03,3.8622e+00,-1.8246e+04,-1.8257e+04,-6.4161e+00,-1.8257e+04,3.5479e-01,1.1021e+01,1.6896e+04,-3.7076e-01,-1.2766e+00,3.0630e+00,1.8155e+00
2.0000e+03,3.2400e+02,8.3620e+03,3.8635e+00,-1.8149e+04,-1.8160e+04,-6.4359e+00,-1.8160e+04,3.5534e-01,1.1041e+01,1.6854e+04,-3.0818e-01,-1.7427e+00,2.9984e+00,1.8327e+00
2.0000e+03,3.2500e+02,8.3800e+03,3.8671e+00,-1.8120e+04,-1.8131e+04,-6.4557e+00,-1.8131e+04,3.5590e-01,1.1061e+01,1.6757e+04,-4.1593e-01,-1.2507e+00,3.0710e+00,5.4406e-01
2.0000e+03,3.2600e+02,8.4980e+03,3.8255e+00,-1.8072e+04,-1.8084e+04,-6.4755e+00,-1.8084e+04,3.5645e-01,1.1081e+01,1.6728e+04,-2.9303e-01,-1.8807e+00,2.9928e+00,1.5628e+00
2.0000e+03,3.2700e+02,8.5310e+03,3.8224e+00,-1.7958e+04,-1.7970e+04,-6.4953e+00,-1.7970e+04,3.5700e-01,1.1100e+01,1.6680e+04,-6.1206e-01,-7.3287e-01,2.9746e+00,5.4380e+00
2.0000e+03,3.2800e+02,8.5540e+03,3.8238e+00,-1.7717e+04,-1.7728e+04,-6.5151e+00,-1.7728e+04,3.5754e-01,1.1120e+01,1.6566e+04,-1.0939e+00,-6.2732e-01,3.0484e+00,3.6714e+00
2.0000e+03,3.2900e+02,8.5790e+03,3.8243e+00,-1.7336e+04,-1.7347e+04,-6.5349e+00,-1.7347e+04,3.5809e-01,1.1140e+01,1.6325e+04,-1.7758e-01,-1.5823e+00,3.0457e+00,1.8239e+00
2.0000e+03,3.3000e+02,8.5960e+03,3.8284e+00,-1.7261e+04,-1.7272e+04,-6.5547e+00,-1.7272e+04,3.5864e-01,1.1160e+01,1.5943e+04,-6.3471e-01,-1.1293e+00,2.9787e+00,9.1910e-01
2.0000e+03,3.3100e+02,8.6580e+03,3.8126e+00,-1.7083e+04,-1.7094e+04,-6.5745e+00,-1.7094e+04,3.5919e-01,1.1180e+01,1.5869e+04,-1.3314e+00,-5.4331e-01,3.0170e+00,4.5052e+00
2.0000e+03,3.3200e+02,8.7470e+03,3.7854e+00,-1.6570e+04,-1.6582e+04,-6.5943e+00,-1.6582e+04,3.5973e-01,1.1199e+01,1.5691e+04,-6.4370e-01,-9.3251e-01,2.9537e+00,3.2178e+00
2.0000e+03,3.3300e+02,8.7480e+03,3.7963e+00,-1.6553e+04,-1.6564e+04,-6.6141e+00,-1.6564e+04,3.6028e-01,1.1219e+01,1.5178e+04,-7.3085e-01,-8.3043e-01,3.0299e+00,2.2968e+00
