logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.6933e-01,-1.8714e+00,-1.5618e+00,-1.3396e+00,6.8733e-01,6.9767e-01,1.6294e+00,-3.3836e+04
-3.8824e-01,-1.5870e+00,-1.3246e+00,-3.4368e-01,-1.3447e+00,9.3041e-01,1.6965e+00,-3.1633e+04
-4.5452e-01,-1.2778e+00,-8.0859e-01,-1.7244e+00,6.8746e-02,1.1330e+00,1.6963e+00,-2.8187e+04
-4.2556e-01,-1.8702e+00,-1.9335e+00,1.0243e-02,-5.2477e-01,4.8774e-01,1.7422e+00,-3.0966e+04
-3.8792e-01,-1.5496e+00,-1.4025e+00,-1.1811e+00,-5.4871e-01,9.8608e-01,1.7556e+00,-3.2948e+04
-4.3467e-01,-1.3541e+00,-1.6201e+00,8.3228e-03,6.9716e-02,9.7840e-01,1.6472e+00,-3.2834e+04
-4.6927e-01,-1.7012e+00,-2.0363e+00,-1.7133e+00,-8.8817e-01,7.1678e-01,1.7592e+00,-3.3295e+04
-4.8006e-01,-1.4788e+00,-2.4742e+00,-1.8252e+00,2.5318e-01,1.0464e+00,1.6606e+00,-2.6126e+04
-6.9294e-02,-1.7990e+00,-1.5633e+00,-1.0247e+00,8.4968e-01,4.9957e-01,1.6696e+00,-3.4430e+04
-3.6130e-01,-1.8453e+00,-2.9638e+00,-3.4055e-01,-7.0059e-01,9.7590e-01,1.7340e+00,-2.5471e+04
-2.2240e-01,-1.7401e+00,-1.6292e+00,-1.8885e+00,-2.6767e-01,1.4244e+00,1.5408e+00,-2.8179e+04
-2.9436e-01,-1.5496e+00,-8.9283e-01,-1.4965e+00,-1.1208e+00,1.3959e+00,1.5606e+00,-2.5740e+04
-4.2612e-01,-1.9198e+00,-2.5154e+00,-1.4040e+00,-1.2854e+00,9.1940e-01,1.7776e+00,-3.1866e+04
-1.2119e-01,-1.7913e+00,-1.1938e+00,-6.2508e-01,2.3911e-01,1.2585e+00,1.6211e+00,-2.9547e+04
9.2269e-02,-1.8058e+00,-2.9361e+00,7.8956e-03,1.7238e-01,1.4774e+00,1.4800e+00,-3.2417e+04
-2.6682e-01,-1.9035e+00,-2.9491e+00,-1.9714e+00,-7.6048e-01,1.2087e+00,1.6350e+00,-3.1862e+04
-3.7394e-01,-1.5782e+00,-9.3674e-01,6.6616e-02,-1.2941e+00,6.7061e-01,1.7484e+00,-3.1644e+04
-2.7563e-01,-1.5053e+00,-1.6403e+00,-1.1075e+00,8.5583e-01,9.8479e-01,1.5450e+00,-3.3048e+04
