nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,logage
2.0000e+03,7.8000e+01,1.1100e+02,3.7441e+01,-5.2022e+09,-5.2022e+09,-7.8608e-01,-5.2022e+09,4.4562e-01,1.9956e+01,inf,-3.1075e-01,-9.3338e-01,5.0866e+00,9.1229e+00
2.0000e+03,7.9000e+01,1.1200e+02,3.7736e+01,-5.1143e+09,-5.1143e+09,-7.9603e-01,-5.1143e+09,,-1.5502e+03,inf,-3.6678e-01,-9.7199e-01,6.7377e+00,9.4407e+00
2.0000e+03,8.0000e+01,1.1700e+02,3.7327e+01,-4.9563e+09,-4.9563e+09,-8.0598e-01,-4.9563e+09,4.1167e+00,1.7032e+03,inf,-5.5673e-01,-1.7857e+00,5.4584e+00,9.7999e+00
2.0000e+03,8.1000e+01,1.2100e+02,3.7104e+01,-4.9100e+09,-4.9100e+09,-8.1593e-01,-4.9100e+09,1.3389e+00,1.8016e+02,inf,-3.6811e-01,-1.9865e+00,6.2349e+00,9.8242e+00
2.0000e+03,8.2000e+01,1.2300e+02,3.7220e+01,-4.8913e+09,-4.8913e+09,-8.2588e-01,-4.8913e+09,,-1.3219e+03,inf,-2.3255e-01,-1.1234e+00,5.3051e+00,9.1368e+00
2.0000e+03,8.3000e+01,1.2700e+02,3.7004e+01,-4.6967e+09,-4.6967e+09,-8.3583e-01,-4.6967e+09,4.1947e+00,1.7683e+03,inf,3.4233e-02,-5.8377e-01,6.5937e+00,9.1155e+00
2.0000e+03,8.4000e+01,1.2800e+02,3.7281e+01,-4.5429e+09,-4.5429e+09,-8.4578e-01,-4.5429e+09,1.7735e+00,3.1611e+02,inf,1.3249e-01,-2.6777e-01,5.2622e+00,8.3864e+00
2.0000e+03,8.5000e+01,1.2900e+02,3.7555e+01,-4.4909e+09,-4.4909e+09,-8.5573e-01,-4.4909e+09,,-1.0660e+03,inf,-3.3903e-01,-1.3843e-01,5.6780e+00,8.2402e+00
2.0000e+03,8.6000e+01,1.3200e+02,3.7500e+01,-4.4015e+09,-4.4015e+09,-8.6568e-01,-4.4015e+09,4.2343e+00,1.8019e+03,inf,-1.0570e-01,-1.1808e+00,5.0114e+00,9.9080e+00
2.0000e+03,8.7000e+01,1.3500e+02,3.7447e+01,-4.3908e+09,-4.3908e+09,-8.7563e-01,-4.3908e+09,2.1153e+00,4.4969e+02,inf,-4.1432e-01,-1.5841e+00,5.1822e+00,9.7397e+00
2.0000e+03,8.8000e+01,1.4300e+02,3.6626e+01,-4.3050e+09,-4.3050e+09,-8.8558e-01,-4.3050e+09,,-8.8044e+02,inf,-7.3537e-01,-1.8923e+00,5.9033e+00,9.9640e+00
2.0000e+03,8.9000e+01,1.4400e+02,3.6885e+01,-4.2389e+09,-4.2389e+09,-8.9553e-01,-4.2389e+09,,-1.4674e+02,inf,-8.5446e-01,-1.3227e+00,5.6646e+00,9.9576e+00
2.0000e+03,9.0000e+01,1.4800e+02,3.6694e+01,-4.1256e+09,-4.1256e+09,-9.0548e-01,-4.1256e+09,2.3567e+00,5.5819e+02,inf,-1.0936e+00,-6.6595e-01,6.1496e+00,8.1040e+00
2.0000e+03,9.1000e+01,1.4900e+02,3.6948e+01,-4.1210e+09,-4.1210e+09,-9.1543e-01,-4.1210e+09,,-7.0743e+02,inf,-9.5883e-01,-9.5539e-01,5.1967e+00,9.4273e+00
2.0000e+03,9.2000e+01,1.5000e+02,3.7200e+01,-4.0517e+09,-4.0517e+09,-9.2538e-01,-4.0517e+09,,-7.1387e+00,inf,-4.2904e-01,-1.1104e+00,5.0442e+00,9.2120e+00
2.0000e+03,9.3000e+01,1.5200e+02,3.7302e+01,-3.9728e+09,-3.9728e+09,-9.3533e-01,-3.9728e+09,2.5781e+00,6.6799e+02,inf,-2.8665e-01,-3.5568e-01,6.2559e+00,8.2358e+00
2.0000e+03,9.4000e+01,1.5300e+02,3.7549e+01,-3.8949e+09,-3.8949e+09,-9.4528e-01,-3.8949e+09,,-5.4055e+02,inf,-4.2842e-01,-1.4571e+00,5.0689e+00,9.2542e+00
2.0000e+03,9.5000e+01,1.5400e+02,3.7795e+01,-3.8770e+09,-3.8770e+09,-9.5523e-01,-3.8770e+09,1.0953e+00,1.2056e+02,inf,-1.0993e+00,-7.1286e-01,5.7997e+00,9.2285e+00
