logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.8049e-01,-1.6168e+00,-2.9959e+00,-1.6238e+00,8.3585e-03,1.9308e+00,2.9260e+00,-1.0949e+04
-1.7425e-01,-9.5038e-01,-2.9510e+00,1.8134e-02,-3.5311e-01,1.2594e+00,2.9814e+00,-1.3142e+04
9.1423e-02,-1.5590e+00,-8.2652e-01,-4.5489e-01,3.0378e-02,1.3015e+00,2.9677e+00,-4.2475e+03
-1.1936e-01,-1.2012e+00,-3.1385e+00,3.2868e-01,-1.2827e+00,1.2807e+00,2.9084e+00,-7.7312e+03
1.6986e-01,-1.8673e+00,-8.1420e-01,-3.4869e-01,2.1110e-01,8.4211e-01,2.9573e+00,-1.4402e+04
-3.0109e-01,-7.8691e-01,-1.6583e+00,-4.2470e-01,-5.1344e-01,2.2681e+00,2.8192e+00,-1.3122e+04
9.9075e-02,-1.2288e+00,-3.0121e+00,-1.3090e+00,-1.6362e-01,2.4569e+00,2.7077e+00,-4.5346e+03
-4.4953e-01,-8.2503e-01,-1.5616e+00,-9.1653e-02,8.4159e-01,1.4416e+00,2.8996e+00,-4.3809e+03
3.4322e-01,-1.7900e+00,-3.1206e+00,-1.3684e+00,-1.0682e+00,2.5996e+00,2.5483e+00,-8.8967e+03
3.6927e-03,-1.2548e+00,-2.0236e+00,-1.9832e+00,-5.6974e-01,1.1612e+00,2.9927e+00,-1.2274e+04
-2.4214e-01,-9.3042e-01,-1.9518e+00,1.2706e-01,-5.2027e-01,1.6252e+00,2.9054e+00,-8.9287e+03
3.7950e-02,-1.4850e+00,-3.1962e+00,-5.7787e-01,3.3415e-01,1.6117e+00,2.9249e+00,-3.3438e+03
2.0366e-01,-1.9703e+00,-8.8341e-01,-1.4747e+00,4.3996e-01,1.2997e+00,2.9787e+00,-9.1478e+03
1.7186e-01,-1.7158e+00,-1.6892e+00,-1.1698e+00,-1.2535e+00,1.9313e+00,2.9031e+00,-1.1935e+04
1.3153e-01,-1.0886e+00,-1.9926e+00,-1.1254e+00,3.5141e-01,2.6228e+00,2.5276e+00,-4.8477e+03
4.8315e-01,-1.4937e+00,-1.7281e+00,-7.0050e-04,8.1749e-01,2.5870e+00,2.6580e+00,-1.2740e+04
4.2766e-02,-1.7767e+00,-2.5177e+00,-6.2835e-01,-8.9441e-01,1.0805e+00,2.9270e+00,-7.3495e+03
-3.8052e-01,-8.0517e-01,-1.0451e+00,-3.4180e-01,-8.1682e-01,2.3105e+00,2.7712e+00,-5.5311e+03
