logfeh_mean,logdust,logNpix,tau,logl
-4.9388e-01,-1.9656e+00,1.2199e+00,4.2164e+00,-4.5260e+04
-4.8805e-01,-1.8980e+00,1.2107e+00,4.6034e+00,-4.5519e+04
-4.9333e-01,-1.9792e+00,1.2250e+00,4.2365e+00,-4.5367e+04
-4.9227e-01,-1.9512e+00,1.2136e+00,4.5509e+00,-4.5451e+04
-4.9338e-01,-1.9529e+00,1.2193e+00,4.2831e+00,-4.5549e+04
-4.8493e-01,-1.9515e+00,1.2186e+00,4.4167e+00,-4.5463e+04
-4.9540e-01,-1.9852e+00,1.2250e+00,4.3084e+00,-4.5488e+04
-4.9891e-01,-1.9355e+00,1.2182e+00,4.3350e+00,-4.5323e+04
-4.9428e-01,-1.9408e+00,1.2239e+00,4.2145e+00,-4.5073e+04
-4.9558e-01,-1.9964e+00,1.2196e+00,4.2366e+00,-4.5401e+04
-4.9098e-01,-1.9787e+00,1.2135e+00,4.4831e+00,-4.5452e+04
-4.9628e-01,-1.9665e+00,1.2124e+00,4.4394e+00,-4.5563e+04
-4.9402e-01,-1.9344e+00,1.2253e+00,4.1937e+00,-4.5515e+04
-4.9276e-01,-1.8716e+00,1.2129e+00,4.6539e+00,-4.5563e+04
-4.9804e-01,-1.9392e+00,1.2185e+00,4.3178e+00,-4.5532e+04
-4.9450e-01,-1.9743e+00,1.2191e+00,4.2850e+00,-4.5432e+04
-4.8838e-01,-1.9868e+00,1.2101e+00,4.4938e+00,-4.4822e+04
-4.9318e-01,-1.9672e+00,1.2079e+00,4.4322e+00,-4.5445e+04
-4.8583e-01,-1.9371e+00,1.2183e+00,4.5693e+00,-4.5535e+04
-4.9820e-01,-1.9515e+00,1.2204e+00,4.3037e+00,-4.5366e+04
-4.9964e-01,-1.9726e+00,1.2220e+00,4.2973e+00,-4.5403e+04
-4.9078e-01,-1.9761e+00,1.2100e+00,4.4186e+00,-4.5481e+04
-4.9885e-01,-1.9372e+00,1.2185e+00,4.3105e+00,-4.5424e+04
-4.8772e-01,-1.9996e+00,1.2126e+00,4.4476e+00,-4.5442e+04
-4.9834e-01,-1.9992e+00,1.2307e+00,3.9530e+00,-4.5531e+04
-4.9346e-01,-1.9708e+00,1.2086e+00,4.5957e+00,-4.5351e+04
-4.8517e-01,-1.9091e+00,1.2219e+00,4.5532e+00,-4.5398e+04
-4.8430e-01,-1.9842e+00,1.2427e+00,3.8588e+00,-4.5481e+04
-4.9481e-01,-1.9884e+00,1.2240e+00,4.2243e+00,-4.5238e+04
-4.9350e-01,-1.9854e+00,1.2118e+00,4.5576e+00,-4.5499e+04
-4.9209e-01,-1.9697e+00,1.2075e+00,4.5039e+00,-4.5520e+04
-4.9675e-01,-1.9299e+00,1.2256e+00,4.3102e+00,-4.5535e+04
-4.9608e-01,-1.9983e+00,1.2121e+00,4.4419e+00,-4.5545e+04
-4.9259e-01,-1.9737e+00,1.2116e+00,4.4609e+00,-4.5372e+04
-4.8978e-01,-1.9899e+00,1.2185e+00,4.3447e+00,-4.5337e+04
-4.9674e-01,-1.9747e+00,1.2199e+00,4.3774e+00,-4.5479e+04
-4.8675e-01,-1.9747e+00,1.2096e+00,4.5706e+00,-4.5555e+04
-4.8799e-01,-1.9678e+00,1.2153e+00,4.5141e+00,-4.5457e+04
-4.9143e-01,-1.9489e+00,1.2107e+00,4.4704e+00,-4.5330e+04
-4.9712e-01,-1.9189e+00,1.2239e+00,4.2492e+00,-4.5527e+04
-4.9164e-01,-1.8372e+00,1.2152e+00,4.5440e+00,-4.5553e+04
-4.9685e-01,-1.9707e+00,1.2129e+00,4.3944e+00,-4.5544e+04
-4.9157e-01,-1.9027e+00,1.2111e+00,4.4656e+00,-4.5549e+04
-4.8836e-01,-1.9801e+00,1.2131e+00,4.5141e+00,-4.5542e+04
-4.9542e-01,-1.9828e+00,1.2062e+00,4.6979e+00,-4.5565e+04
-4.9744e-01,-1.9535e+00,1.2173e+00,4.3607e+00,-4.5474e+04
-4.9094e-01,-1.9337e+00,1.2148e+00,4.5161e+00,-4.5463e+04
-4.9968e-01,-1.9763e+00,1.2176e+00,4.3622e+00,-4.5455e+04
-4.9315e-01,-1.9741e+00,1.2211e+00,4.1664e+00,-4.5473e+04
-4.9688e-01,-1.9462e+00,1.2234e+00,4.2122e+00,-4.5527e+04
-4.9416e-01,-1.9878e+00,1.2104e+00,4.5565e+00,-4.5548e+04
-4.8676e-01,-1.9351e+00,1.2103e+00,4.5402e+00,-4.5471e+04
-4.9975e-01,-1.8828e+00,1.2124e+00,4.4461e+00,-4.5376e+04
-4.8786e-01,-1.9384e+00,1.2107e+00,4.5480e+00,-4.5515e+04
-4.9017e-01,-1.9877e+00,1.2234e+00,4.1543e+00,-4.5550e+04
-4.8655e-01,-1.9577e+00,1.2161e+00,4.4822e+00,-4.5344e+04
-4.8441e-01,-1.9207e+00,1.2170e+00,4.3998e+00,-4.5424e+04
-4.9612e-01,-1.9609e+00,1.2215e+00,4.2597e+00,-4.5344e+04
-4.8265e-01,-1.9698e+00,1.2195e+00,4.5925e+00,-4.5543e+04
-4.9226e-01,-1.9692e+00,1.2147e+00,4.5266e+00,-4.5447e+04
-4.9384e-01,-1.9580e+00,1.2196e+00,4.2193e+00,-4.5188e+04
-4.9286e-01,-1.9417e+00,1.2109e+00,4.4650e+00,-4.5349e+04
-4.9767e-01,-1.8897e+00,1.2015e+00,4.7116e+00,-4.5539e+04
-4.8795e-01,-1.9823e+00,1.2187e+00,4.4509e+00,-4.5489e+04
-4.9825e-01,-1.9935e+00,1.2184e+00,4.3147e+00,-4.5421e+04
-4.9168e-01,-1.9999e+00,1.2088e+00,4.4712e+00,-4.5209e+04
-4.9618e-01,-1.9866e+00,1.2199e+00,4.2950e+00,-4.5379e+04
-4.9772e-01,-1.9257e+00,1.2181e+00,4.3360e+00,-4.5499e+04
-4.8935e-01,-1.9763e+00,1.2119e+00,4.5057e+00,-4.5522e+04
-4.9371e-01,-1.9358e+00,1.2271e+00,4.3089e+00,-4.5527e+04
-4.9725e-01,-1.9537e+00,1.2235e+00,4.2754e+00,-4.5235e+04
-4.9018e-01,-1.9606e+00,1.2164e+00,4.3946e+00,-4.5471e+04
-4.7522e-01,-1.9810e+00,1.2183e+00,4.3814e+00,-4.5330e+04
-4.9662e-01,-1.9908e+00,1.2218e+00,4.2559e+00,-4.5343e+04
-4.9169e-01,-1.9747e+00,1.2166e+00,4.5160e+00,-4.5526e+04
-4.9693e-01,-1.9686e+00,1.2119e+00,4.4426e+00,-4.5402e+04
-4.9612e-01,-1.9888e+00,1.2262e+00,4.3061e+00,-4.5557e+04
-4.9753e-01,-1.9444e+00,1.2026e+00,4.6848e+00,-4.5375e+04
-4.9002e-01,-1.9959e+00,1.2102e+00,4.5763e+00,-4.5413e+04
-4.9988e-01,-1.9501e+00,1.2115e+00,4.3572e+00,-4.5530e+04
-4.8868e-01,-1.9920e+00,1.2194e+00,4.4550e+00,-4.5483e+04
-4.9875e-01,-1.9989e+00,1.2323e+00,3.9131e+00,-4.5524e+04
-4.9734e-01,-1.9928e+00,1.2228e+00,4.2481e+00,-4.5027e+04
-4.8883e-01,-1.9844e+00,1.2192e+00,4.4715e+00,-4.5533e+04
-4.9268e-01,-1.9703e+00,1.2155e+00,4.5885e+00,-4.5522e+04
-4.9247e-01,-1.9743e+00,1.2213e+00,4.2038e+00,-4.5483e+04
-4.8565e-01,-1.9773e+00,1.2141e+00,4.3397e+00,-4.5435e+04
-4.8669e-01,-1.9629e+00,1.2432e+00,3.8181e+00,-4.5504e+04
-4.9890e-01,-1.9750e+00,1.2205e+00,4.2662e+00,-4.5547e+04
-4.9350e-01,-1.9528e+00,1.2158e+00,4.5761e+00,-4.5271e+04
-4.9325e-01,-1.9313e+00,1.2132e+00,4.6607e+00,-4.5516e+04
-4.9856e-01,-1.9492e+00,1.2193e+00,4.3351e+00,-4.5405e+04
-4.9460e-01,-1.9776e+00,1.2192e+00,4.2582e+00,-4.5509e+04
-4.8795e-01,-1.9740e+00,1.2158e+00,4.3866e+00,-4.5494e+04
-4.9641e-01,-1.9730e+00,1.2139e+00,4.4237e+00,-4.5455e+04
-4.9010e-01,-1.9455e+00,1.2132e+00,4.5527e+00,-4.5563e+04
-4.8290e-01,-1.9600e+00,1.2173e+00,4.5344e+00,-4.5540e+04
-4.9303e-01,-1.8216e+00,1.2200e+00,4.5491e+00,-4.5505e+04
-4.8515e-01,-1.9789e+00,1.2169e+00,4.4017e+00,-4.5445e+04
-4.9346e-01,-1.9573e+00,1.2094e+00,4.4640e+00,-4.5185e+04
-4.9063e-01,-1.9672e+00,1.2196e+00,4.4247e+00,-4.5557e+04
-4.8746e-01,-1.9096e+00,1.2151e+00,4.5353e+00,-4.5536e+04
-4.8715e-01,-1.9630e+00,1.2165e+00,4.4991e+00,-4.5561e+04
-4.8556e-01,-1.9491e+00,1.2195e+00,4.5065e+00,-4.5427e+04
-4.9564e-01,-1.9000e+00,1.2094e+00,4.7450e+00,-4.5435e+04
-4.9901e-01,-1.9718e+00,1.2200e+00,4.3104e+00,-4.5342e+04
-4.8853e-01,-1.9778e+00,1.2189e+00,4.1705e+00,-4.5542e+04
-4.8860e-01,-1.9398e+00,1.2173e+00,4.3856e+00,-4.5564e+04
-4.8742e-01,-1.9329e+00,1.2176e+00,4.4050e+00,-4.5464e+04
-4.8871e-01,-1.9760e+00,1.2247e+00,4.4308e+00,-4.5528e+04
-4.9918e-01,-1.9913e+00,1.2252e+00,4.2977e+00,-4.5558e+04
-4.8598e-01,-1.9256e+00,1.2189e+00,4.5618e+00,-4.5377e+04
-4.9298e-01,-1.9739e+00,1.2108e+00,4.6467e+00,-4.5565e+04
-4.9674e-01,-1.9116e+00,1.2226e+00,4.2892e+00,-4.5541e+04
-4.9884e-01,-1.9119e+00,1.2211e+00,4.3998e+00,-4.5463e+04
-4.9764e-01,-1.9705e+00,1.2251e+00,4.3812e+00,-4.5482e+04
-4.8937e-01,-1.9375e+00,1.2229e+00,4.3640e+00,-4.5353e+04
-4.9319e-01,-1.9448e+00,1.2110e+00,4.4358e+00,-4.5403e+04
-4.8690e-01,-1.9197e+00,1.2182e+00,4.4370e+00,-4.5516e+04
-4.9988e-01,-1.8689e+00,1.2220e+00,4.3115e+00,-4.5345e+04
-4.8858e-01,-1.9610e+00,1.2189e+00,4.3896e+00,-4.5517e+04
-4.9476e-01,-1.9690e+00,1.2253e+00,4.2123e+00,-4.5374e+04
-4.8763e-01,-1.9105e+00,1.2124e+00,4.5430e+00,-4.5424e+04
-4.9472e-01,-1.9588e+00,1.2138e+00,4.6205e+00,-4.5401e+04
-4.8200e-01,-1.9440e+00,1.2149e+00,4.4686e+00,-4.5395e+04
-4.8804e-01,-1.9562e+00,1.2235e+00,4.4539e+00,-4.5483e+04
-4.9098e-01,-1.9812e+00,1.2218e+00,4.2214e+00,-4.5169e+04
-4.9257e-01,-1.9522e+00,1.2104e+00,4.6422e+00,-4.5498e+04
