logfeh_mean,logdust,logNpix,tau,logl
-4.9178e-01,-1.7523e+00,1.9420e+00,3.8356e+00,-2.0729e+04
5.9375e-02,-1.8522e+00,1.9995e+00,4.8308e+00,-2.8884e+04
-3.1320e-01,-1.4248e+00,1.9548e+00,3.9489e+00,-2.1430e+04
-4.4554e-01,-1.9165e+00,1.9217e+00,2.3226e+00,-3.4362e+04
-4.5780e-01,-1.5097e+00,1.9419e+00,3.6371e+00,-1.7554e+04
-3.8922e-01,-1.3982e+00,2.0534e+00,2.9899e+00,-4.2485e+04
-1.1663e-01,-1.9474e+00,1.9849e+00,4.7519e+00,-2.0414e+04
-4.6917e-01,-1.6912e+00,1.9236e+00,3.4147e+00,-2.0206e+04
-3.5500e-01,-1.5525e+00,1.8810e+00,4.7286e+00,-2.7847e+04
-3.2198e-01,-1.0937e+00,2.0271e+00,3.4879e+00,-5.0869e+04
-3.6897e-01,-1.9010e+00,2.0463e+00,3.6119e+00,-5.3429e+04
-3.4626e-01,-1.7566e+00,2.0360e+00,1.5385e+00,-3.9782e+04
-3.2874e-01,-1.8297e+00,1.8937e+00,3.4626e+00,-3.7985e+04
-3.9149e-01,-1.9370e+00,2.0463e+00,1.4604e+00,-3.8932e+04
-1.5035e-01,-1.7197e+00,2.0735e+00,2.7752e+00,-5.0393e+04
-7.3350e-02,-1.4828e+00,2.0788e+00,3.8825e+00,-4.8228e+04
-4.2248e-01,-1.3242e+00,2.0078e+00,2.8611e+00,-3.3559e+04
-3.6742e-01,-1.5854e+00,2.0621e+00,2.3242e+00,-4.7457e+04
-2.9812e-02,-1.5958e+00,2.0086e+00,4.1766e+00,-3.4177e+04
-4.5461e-01,-1.1833e+00,2.0045e+00,4.0153e+00,-2.7150e+04
-3.1682e-01,-1.9976e+00,2.0791e+00,5.5185e-01,-5.0815e+04
-2.4538e-01,-1.9838e+00,1.9728e+00,3.3944e+00,-2.1426e+04
-2.8814e-01,-1.5694e+00,1.9862e+00,4.0003e+00,-2.1011e+04
-4.5933e-01,-1.4760e+00,2.0944e+00,1.9666e-01,-5.8402e+04
8.9109e-02,-1.6973e+00,2.0276e+00,4.7105e+00,-3.6363e+04
-3.2971e-01,-1.7283e+00,1.9509e+00,2.7199e+00,-3.3936e+04
-3.8975e-01,-1.6320e+00,2.0906e+00,2.1847e+00,-5.8860e+04
-1.6597e-01,-1.6916e+00,1.9119e+00,4.5926e+00,-2.7612e+04
-3.9060e-01,-1.8946e+00,1.9053e+00,3.4013e+00,-2.7191e+04
-3.4108e-01,-1.2934e+00,2.0531e+00,2.9078e+00,-4.7019e+04
-2.3730e-01,-1.6234e+00,1.8918e+00,3.9239e+00,-4.3965e+04
7.2999e-02,-1.8398e+00,2.0841e+00,3.7001e+00,-5.3731e+04
-1.8098e-01,-1.6036e+00,1.9698e+00,4.4123e+00,-1.9816e+04
-2.6688e-01,-1.4599e+00,1.8712e+00,4.6415e+00,-4.1518e+04
-4.5814e-01,-1.4810e+00,1.8345e+00,3.8442e+00,-5.6958e+04
-4.1176e-01,-1.5068e+00,1.8157e+00,4.6583e+00,-5.5953e+04
-1.5659e-01,-1.9177e+00,1.9755e+00,4.1668e+00,-1.8705e+04
-4.8568e-01,-1.4825e+00,1.9729e+00,2.4307e+00,-2.6941e+04
-4.5213e-01,-1.3363e+00,2.0583e+00,1.1538e+00,-5.0072e+04
-1.5921e-01,-1.8143e+00,2.0446e+00,3.1730e+00,-3.6995e+04
-3.8107e-01,-1.9441e+00,1.9031e+00,2.0084e+00,-5.5947e+04
7.9909e-02,-1.9747e+00,2.0819e+00,3.7687e+00,-5.1441e+04
-4.8755e-01,-1.1624e+00,1.9699e+00,3.6161e+00,-2.5005e+04
-1.2562e-01,-1.6260e+00,1.9891e+00,3.7989e+00,-3.1854e+04
-4.9101e-01,-1.1230e+00,1.9984e+00,2.5755e+00,-4.8542e+04
-1.6789e-01,-1.8355e+00,1.9569e+00,3.1909e+00,-4.2429e+04
-1.8801e-01,-1.6610e+00,1.9387e+00,3.9791e+00,-2.9682e+04
-2.4458e-01,-1.0660e+00,1.9345e+00,4.6175e+00,-5.2171e+04
-2.1999e-01,-1.4626e+00,2.0045e+00,4.5368e+00,-2.5950e+04
-2.3390e-01,-1.1546e+00,2.0828e+00,3.8441e+00,-5.6251e+04
-4.1948e-01,-1.2076e+00,1.9934e+00,4.2217e+00,-2.5086e+04
-4.4679e-01,-1.8314e+00,1.9360e+00,2.0758e+00,-3.4193e+04
-4.7522e-01,-9.5606e-01,2.0471e+00,3.8623e+00,-4.8545e+04
-3.5268e-01,-1.2027e+00,1.9325e+00,3.1775e+00,-6.0248e+04
-2.4632e-01,-1.3651e+00,1.9077e+00,3.5441e+00,-5.9193e+04
-3.0890e-01,-1.6638e+00,2.0341e+00,1.5791e-01,-5.0767e+04
-3.3588e-01,-1.0717e+00,2.0343e+00,3.3598e+00,-5.5498e+04
-7.3824e-02,-1.5541e+00,1.9821e+00,4.2536e+00,-3.1251e+04
-3.3340e-01,-1.6312e+00,2.0590e+00,2.4377e+00,-4.6176e+04
1.7579e-01,-1.3427e+00,2.0928e+00,4.9930e+00,-5.7710e+04
-3.3952e-01,-1.9090e+00,2.0659e+00,1.0384e+00,-4.5858e+04
-3.8264e-01,-1.7443e+00,2.0930e+00,2.3328e+00,-6.0173e+04
-1.7457e-01,-1.8827e+00,1.9815e+00,2.8439e+00,-4.4591e+04
-4.7255e-01,-1.0398e+00,1.9773e+00,4.0585e+00,-3.0701e+04
-3.6168e-01,-1.5756e+00,1.9636e+00,4.0462e+00,-1.8780e+04
