nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,2.0200e+02,1.4560e+03,1.3479e+01,-4.2942e+05,-4.2942e+05,-4.0199e+00,-4.2942e+05,4.1328e-01,8.6251e+00,1.7017e+05,-4.8685e-01,-1.6759e+00,1.8198e+00,5.7214e+00
2.0000e+03,2.0300e+02,1.4670e+03,1.3448e+01,-4.2929e+05,-4.2930e+05,-4.0397e+00,-4.2930e+05,4.1375e-01,8.6449e+00,1.6977e+05,-6.0830e-01,-1.3360e+00,1.8862e+00,6.7432e+00
2.0000e+03,2.0400e+02,1.4740e+03,1.3451e+01,-4.2840e+05,-4.2841e+05,-4.0595e+00,-4.2841e+05,4.1423e-01,8.6647e+00,1.6965e+05,-1.3723e+00,-1.1465e+00,1.9121e+00,5.3089e+00
2.0000e+03,2.0500e+02,1.4860e+03,1.3411e+01,-4.2505e+05,-4.2506e+05,-4.0793e+00,-4.2506e+05,4.1470e-01,8.6845e+00,1.6876e+05,-1.0662e+00,-1.4390e+00,1.9240e+00,6.7484e+00
2.0000e+03,2.0600e+02,1.5170e+03,1.3210e+01,-4.2443e+05,-4.2444e+05,-4.0991e+00,-4.2444e+05,4.1517e-01,8.7043e+00,1.6541e+05,-1.2558e+00,-1.3125e+00,1.4907e+00,6.5671e+00
2.0000e+03,2.0700e+02,1.5280e+03,1.3181e+01,-4.2345e+05,-4.2346e+05,-4.1189e+00,-4.2346e+05,4.1564e-01,8.7241e+00,1.6479e+05,-1.3976e+00,-9.2968e-01,1.8061e+00,6.2927e+00
2.0000e+03,2.0800e+02,1.5600e+03,1.2981e+01,-4.2232e+05,-4.2233e+05,-4.1387e+00,-4.2233e+05,4.1612e-01,8.7439e+00,1.6381e+05,-8.7414e-01,-1.5064e+00,1.6213e+00,5.8853e+00
2.0000e+03,2.0900e+02,1.5890e+03,1.2813e+01,-4.2001e+05,-4.2002e+05,-4.1586e+00,-4.2002e+05,4.1659e-01,8.7637e+00,1.6268e+05,-7.9177e-01,-1.7697e+00,1.5399e+00,6.5443e+00
2.0000e+03,2.1000e+02,1.6090e+03,1.2719e+01,-4.1820e+05,-4.1821e+05,-4.1784e+00,-4.1821e+05,4.1706e-01,8.7835e+00,1.6037e+05,-1.0960e+00,-1.8039e+00,1.9232e+00,5.6092e+00
2.0000e+03,2.1100e+02,1.6280e+03,1.2634e+01,-4.1774e+05,-4.1775e+05,-4.1982e+00,-4.1775e+05,4.1753e-01,8.8033e+00,1.5856e+05,-8.9886e-01,-1.9790e+00,1.6095e+00,5.2608e+00
2.0000e+03,2.1200e+02,1.6500e+03,1.2529e+01,-4.1720e+05,-4.1721e+05,-4.2180e+00,-4.1721e+05,4.1800e-01,8.8231e+00,1.5810e+05,-4.0208e-01,-1.7264e+00,1.8686e+00,6.2066e+00
2.0000e+03,2.1300e+02,1.6980e+03,1.2243e+01,-4.1248e+05,-4.1249e+05,-4.2378e+00,-4.1249e+05,4.1847e-01,8.8429e+00,1.5756e+05,-1.0635e+00,-1.3476e+00,1.5197e+00,6.7944e+00
