logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.7855e-01,-2.8207e-01,-2.6505e+00,-7.3458e-01,8.3939e-01,3.8411e-01,2.1935e+00,-2.8103e+04
5.1110e-02,-7.8933e-02,-2.0068e+00,-8.0094e-01,-9.1432e-01,4.7727e-01,2.3017e+00,-3.5201e+04
-2.8194e-01,-4.3890e-02,-1.3136e+00,-1.7207e+00,5.6709e-01,1.6730e-01,2.3375e+00,-7.0810e+04
1.5964e-01,-5.0008e-01,-9.3781e-01,-9.0896e-01,-7.2298e-01,1.3957e+00,1.7353e+00,-5.6413e+04
-3.9326e-02,-5.6269e-01,-1.5801e+00,1.6909e-01,-1.7490e-02,1.9161e+00,1.2125e+00,-7.1151e+04
2.0764e-01,-4.7900e-01,-1.0344e+00,-1.4139e+00,-1.8992e-01,1.8033e+00,1.9130e+00,-3.4822e+04
-2.8244e-01,-1.7319e-01,-2.0143e+00,-5.1543e-01,1.1631e-01,9.9159e-01,1.3331e+00,-1.1915e+05
-2.1901e-01,-5.9677e-03,-2.5756e+00,-2.2030e-01,-1.0727e+00,1.5327e+00,1.7871e+00,-2.1313e+04
2.4804e-01,-3.0529e-01,-2.0186e+00,-9.3077e-01,7.2647e-01,5.9831e-01,2.2636e+00,-4.5954e+04
-3.2337e-01,-3.6668e-01,-2.2295e+00,-1.3927e+00,-1.6591e-01,1.1611e+00,1.4521e+00,-1.0463e+05
4.0369e-02,-5.7835e-01,-1.4643e+00,-4.5867e-02,1.7039e-01,2.0379e+00,1.0886e+00,-9.2173e+04
-9.6027e-02,-2.7965e-01,-2.7264e+00,-2.1784e-01,-2.1339e-02,1.1103e+00,2.3024e+00,-7.4264e+04
-1.0348e-02,-6.7124e-01,-1.6756e+00,-1.2579e+00,6.1984e-01,4.6206e-01,1.6768e+00,-7.9870e+04
6.9688e-02,-6.9382e-01,-1.5340e+00,-1.2952e+00,6.2132e-01,1.4043e+00,1.8815e+00,-7.8739e+03
-3.2436e-01,-1.6618e-01,-2.5693e+00,-1.3237e+00,-6.5427e-01,1.3025e+00,2.1925e+00,-4.8373e+04
2.3699e-01,-8.2368e-01,-1.1664e+00,-1.4233e+00,-4.0175e-01,2.0187e+00,1.1959e+00,-6.3852e+04
-2.2509e-01,-3.2405e-01,-1.3417e+00,-1.2212e+00,6.8356e-01,8.4537e-01,1.6766e+00,-6.4595e+04
-2.4848e-01,-9.8120e-01,-2.3839e+00,-4.7373e-01,-1.0951e+00,1.4451e+00,1.9111e+00,-6.5515e+04
