logfeh_mean,logdust_med,logNpix,tau,logl
-4.8671e-01,-1.4366e-01,2.7080e+00,3.6915e+00,-3.5290e+03
-4.8529e-01,-1.6221e-01,2.7074e+00,3.6011e+00,-3.5325e+03
-4.8790e-01,-1.5303e-01,2.7067e+00,3.6620e+00,-3.5012e+03
-4.9283e-01,-1.1448e-01,2.7153e+00,3.6435e+00,-3.5136e+03
-4.9061e-01,-1.2895e-01,2.7126e+00,3.6378e+00,-3.5153e+03
-4.8589e-01,-1.3846e-01,2.7118e+00,3.5472e+00,-3.5224e+03
-4.8156e-01,-1.1540e-01,2.7155e+00,3.6540e+00,-3.5323e+03
-4.9743e-01,-1.2719e-01,2.7126e+00,3.5758e+00,-3.5323e+03
-4.9316e-01,-1.1809e-01,2.7124e+00,3.6475e+00,-3.5250e+03
-4.9018e-01,-1.2120e-01,2.7125e+00,3.6274e+00,-3.5258e+03
-4.9210e-01,-1.1929e-01,2.7154e+00,3.6230e+00,-3.4931e+03
-4.8747e-01,-1.5401e-01,2.7045e+00,3.6095e+00,-3.5254e+03
-4.8718e-01,-1.5819e-01,2.7054e+00,3.6176e+00,-3.5190e+03
-4.9262e-01,-1.2002e-01,2.7137e+00,3.6150e+00,-3.5268e+03
-4.8780e-01,-1.3759e-01,2.7085e+00,3.6851e+00,-3.5073e+03
-4.8883e-01,-1.3860e-01,2.7078e+00,3.6902e+00,-3.5309e+03
-4.9290e-01,-1.2640e-01,2.7141e+00,3.6319e+00,-3.4921e+03
-4.8708e-01,-1.5984e-01,2.7048e+00,3.5946e+00,-3.5136e+03
-4.9299e-01,-1.2683e-01,2.7127e+00,3.6420e+00,-3.5277e+03
-4.9102e-01,-1.1621e-01,2.7134e+00,3.6505e+00,-3.5199e+03
-4.8744e-01,-1.5161e-01,2.7064e+00,3.6711e+00,-3.5285e+03
-4.8568e-01,-1.3541e-01,2.7117e+00,3.5454e+00,-3.5240e+03
-4.8671e-01,-1.7042e-01,2.6974e+00,3.7228e+00,-3.5270e+03
-4.9111e-01,-1.2708e-01,2.7116e+00,3.6386e+00,-3.5221e+03
-4.8505e-01,-1.2180e-01,2.7134e+00,3.6755e+00,-3.5228e+03
-4.8717e-01,-1.4810e-01,2.7060e+00,3.6290e+00,-3.5217e+03
-4.8431e-01,-1.3771e-01,2.7115e+00,3.5852e+00,-3.5327e+03
-4.9285e-01,-1.2024e-01,2.7134e+00,3.6529e+00,-3.4878e+03
-4.9248e-01,-1.1295e-01,2.7147e+00,3.6502e+00,-3.4803e+03
