logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.2628e-01,-5.4109e-01,2.0023e+00,2.9289e+00,2.6014e+01,-9.2019e+02
-2.9428e-01,-4.8404e-01,2.0608e+00,2.8487e+00,2.6187e+01,-9.2614e+02
-2.4662e-01,-5.1448e-01,2.0164e+00,2.9182e+00,2.6061e+01,-9.2709e+02
-2.8133e-01,-5.1295e-01,2.0193e+00,2.7625e+00,2.6071e+01,-9.1494e+02
-2.5634e-01,-4.9811e-01,2.0110e+00,3.0492e+00,2.6048e+01,-9.2525e+02
-3.1374e-01,-4.8736e-01,2.0261e+00,2.6437e+00,2.6089e+01,-9.2431e+02
-2.5178e-01,-5.2154e-01,2.0337e+00,2.9833e+00,2.6115e+01,-9.2670e+02
-2.7563e-01,-5.1335e-01,2.0297e+00,2.8647e+00,2.6107e+01,-9.2313e+02
-2.9802e-01,-4.6570e-01,2.0327e+00,2.8906e+00,2.6102e+01,-9.2035e+02
-2.6077e-01,-5.0773e-01,2.0176e+00,2.9438e+00,2.6077e+01,-9.2879e+02
-2.2339e-01,-5.5191e-01,2.0081e+00,2.9277e+00,2.6034e+01,-9.2551e+02
-2.3329e-01,-5.1931e-01,2.0026e+00,3.0171e+00,2.6019e+01,-9.1265e+02
-2.9900e-01,-4.7589e-01,2.0257e+00,2.7884e+00,2.6075e+01,-9.2131e+02
-2.4880e-01,-5.0817e-01,2.0153e+00,2.9503e+00,2.6053e+01,-9.2029e+02
-3.0565e-01,-4.7083e-01,2.0445e+00,2.8471e+00,2.6133e+01,-9.2443e+02
-3.1540e-01,-4.7222e-01,2.0571e+00,2.8055e+00,2.6180e+01,-9.2758e+02
-2.5246e-01,-5.4024e-01,1.9980e+00,2.8474e+00,2.6016e+01,-9.2694e+02
-1.9992e-01,-5.5082e-01,2.0018e+00,3.0329e+00,2.6012e+01,-9.2654e+02
-2.2140e-01,-5.6929e-01,1.9994e+00,2.8645e+00,2.6018e+01,-9.2715e+02
-2.5453e-01,-5.3469e-01,2.0101e+00,2.8646e+00,2.6045e+01,-9.2586e+02
-2.7292e-01,-5.0877e-01,2.0135e+00,2.8697e+00,2.6056e+01,-9.1843e+02
-2.8900e-01,-4.6839e-01,2.0409e+00,2.9416e+00,2.6128e+01,-9.2627e+02
