nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,4.8300e+02,6.3980e+03,7.5062e+00,-2.3301e+03,-2.3443e+03,-9.5845e+00,-2.3443e+03,5.3009e-01,1.4190e+01,1.0078e+03,-5.0981e-01,-9.8527e-01,2.9940e+00
2.0000e+03,4.8400e+02,6.4020e+03,7.5170e+00,-2.3297e+03,-2.3434e+03,-9.6043e+00,-2.3431e+03,5.0987e-01,1.3128e+01,9.3476e+02,-3.8817e-01,-1.0800e+00,2.9989e+00
2.0000e+03,4.8500e+02,6.4030e+03,7.5314e+00,-2.3092e+03,-2.3234e+03,-9.6241e+00,-2.3234e+03,5.3083e-01,1.4229e+01,9.3348e+02,-3.6585e-01,-1.0751e+00,3.0026e+00
2.0000e+03,4.8600e+02,6.4060e+03,7.5434e+00,-2.2898e+03,-2.3040e+03,-9.6439e+00,-2.3040e+03,5.3120e-01,1.4249e+01,9.1381e+02,-4.8898e-01,-9.7150e-01,3.0019e+00
2.0000e+03,4.8700e+02,6.4120e+03,7.5518e+00,-2.2839e+03,-2.2981e+03,-9.6637e+00,-2.2981e+03,5.3086e-01,1.4231e+01,8.9439e+02,-7.6084e-01,-8.7415e-01,2.9985e+00
2.0000e+03,4.8800e+02,6.4130e+03,7.5661e+00,-2.2835e+03,-2.2972e+03,-9.6835e+00,-2.2969e+03,5.1111e-01,1.3192e+01,8.8849e+02,-5.6640e-01,-9.7235e-01,3.0048e+00
2.0000e+03,4.8900e+02,6.4140e+03,7.5804e+00,-2.2790e+03,-2.2933e+03,-9.7033e+00,-2.2933e+03,5.2825e-01,1.4092e+01,8.8723e+02,-5.4267e-01,-9.6516e-01,3.0089e+00
2.0000e+03,4.9000e+02,6.4160e+03,7.5936e+00,-2.2729e+03,-2.2872e+03,-9.7231e+00,-2.2872e+03,5.3207e-01,1.4296e+01,8.8361e+02,-5.0729e-01,-9.4940e-01,3.0173e+00
2.0000e+03,4.9100e+02,6.4190e+03,7.6055e+00,-2.2654e+03,-2.2798e+03,-9.7429e+00,-2.2798e+03,5.3286e-01,1.4338e+01,8.7752e+02,-6.9638e-01,-9.2306e-01,2.9960e+00
2.0000e+03,4.9200e+02,6.4230e+03,7.6163e+00,-2.2601e+03,-2.2744e+03,-9.7627e+00,-2.2744e+03,5.3229e-01,1.4308e+01,8.7005e+02,-6.4718e-01,-9.0434e-01,3.0002e+00
2.0000e+03,4.9300e+02,6.4270e+03,7.6270e+00,-2.2596e+03,-2.2735e+03,-9.7825e+00,-2.2732e+03,5.1301e-01,1.3290e+01,8.6469e+02,-6.3647e-01,-9.6829e-01,2.9902e+00
2.0000e+03,4.9400e+02,6.4310e+03,7.6377e+00,-2.2577e+03,-2.2720e+03,-9.8023e+00,-2.2717e+03,5.1325e-01,1.3302e+01,8.6341e+02,-3.3623e-01,-1.0535e+00,3.0096e+00
2.0000e+03,4.9500e+02,6.4320e+03,7.6520e+00,-2.2318e+03,-2.2462e+03,-9.8221e+00,-2.2462e+03,5.3451e-01,1.4427e+01,8.6194e+02,-5.7597e-01,-9.9634e-01,2.9914e+00
