nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,1.7400e+02,4.6800e+02,3.0810e+01,-2.5025e+07,-2.5025e+07,-1.7413e+00,-2.5025e+07,2.6520e-01,7.0684e+00,inf,-6.7668e-01,-1.6449e+00,5.3047e+00,6.9971e+00
2.0000e+03,1.7500e+02,4.7600e+02,3.0556e+01,-2.4992e+07,-2.4992e+07,-1.7513e+00,-2.4992e+07,2.6469e-01,7.0410e+00,inf,-4.4355e-01,-9.7142e-02,5.9607e+00,5.0205e+00
2.0000e+03,1.7600e+02,5.1200e+02,2.8922e+01,-2.4979e+07,-2.4979e+07,-1.7612e+00,-2.4979e+07,2.6418e-01,7.0138e+00,inf,-1.0623e+00,-5.0761e-01,5.9082e+00,4.2661e+00
2.0000e+03,1.7700e+02,5.1300e+02,2.9038e+01,-2.4473e+07,-2.4473e+07,-1.7712e+00,-2.4473e+07,2.6541e-01,7.0793e+00,inf,-3.4123e-01,-1.6265e+00,6.1930e+00,8.4701e+00
2.0000e+03,1.7800e+02,5.1600e+02,2.9058e+01,-2.4345e+07,-2.4345e+07,-1.7811e+00,-2.4345e+07,2.6491e-01,7.0529e+00,inf,1.4504e-01,-1.3963e-01,6.4041e+00,7.4050e+00
2.0000e+03,1.7900e+02,5.1800e+02,2.9126e+01,-2.4171e+07,-2.4171e+07,-1.7911e+00,-2.4171e+07,2.6612e-01,7.1171e+00,inf,2.3304e-01,-1.5072e+00,6.1867e+00,8.8069e+00
2.0000e+03,1.8000e+02,5.1900e+02,2.9241e+01,-2.3324e+07,-2.3324e+07,-1.8010e+00,-2.3324e+07,2.6563e-01,7.0913e+00,inf,-2.4102e-01,-6.2764e-01,5.4808e+00,7.3034e+00
2.0000e+03,1.8100e+02,5.2300e+02,2.9213e+01,-2.2954e+07,-2.2955e+07,-1.8110e+00,-2.2955e+07,2.6518e-01,7.0672e+00,inf,4.6835e-01,-7.7892e-01,6.3034e+00,6.2357e+00
2.0000e+03,1.8200e+02,5.2700e+02,2.9187e+01,-2.2529e+07,-2.2529e+07,-1.8209e+00,-2.2529e+07,2.6632e-01,7.1283e+00,inf,-4.1432e-01,-1.5841e+00,5.1822e+00,7.9588e+00
2.0000e+03,1.8300e+02,5.3200e+02,2.9114e+01,-2.1801e+07,-2.1801e+07,-1.8309e+00,-2.1801e+07,2.6590e-01,7.1054e+00,inf,-5.4723e-01,-1.4327e+00,5.3076e+00,7.2178e+00
2.0000e+03,1.8400e+02,5.3300e+02,2.9226e+01,-2.1098e+07,-2.1098e+07,-1.8408e+00,-2.1098e+07,2.6698e-01,7.1633e+00,inf,-1.2559e+00,-1.4845e+00,6.0920e+00,2.5632e+00
2.0000e+03,1.8500e+02,5.3800e+02,2.9154e+01,-2.0554e+07,-2.0554e+07,-1.8508e+00,-2.0554e+07,2.6658e-01,7.1420e+00,inf,3.5815e-01,-1.2037e+00,5.9779e+00,6.4864e+00
