logfeh_mean,logdust,logNpix,tau,dmod,logl
-1.5823e-01,-1.8400e+00,2.0085e+00,4.2192e+00,2.4700e+01,-3.2834e+04
-3.8013e-01,-1.8476e+00,2.1833e+00,2.4606e-01,2.4907e+01,-3.6921e+04
-4.1175e-01,-1.6407e+00,2.1386e+00,4.4011e+00,2.5188e+01,-2.3070e+04
-2.5232e-01,-1.7756e+00,2.0361e+00,3.1774e+00,2.4634e+01,-3.0161e+04
-4.3942e-01,-1.4766e+00,1.7398e+00,4.6864e+00,2.3661e+01,-4.6841e+04
-4.8685e-01,-1.6980e+00,2.2298e+00,8.8451e-01,2.4904e+01,-4.4875e+04
-4.7618e-01,-1.4733e+00,1.9181e+00,1.4990e+00,2.4300e+01,-4.2218e+04
-4.9448e-01,-1.7922e+00,1.9730e+00,3.8264e+00,2.4410e+01,-3.1532e+04
-4.5750e-01,-1.6863e+00,2.5369e+00,3.4226e+00,2.5994e+01,-2.2698e+04
-1.7337e-01,-1.8483e+00,2.1189e+00,4.4354e+00,2.5069e+01,-3.3315e+04
-4.2211e-01,-1.7753e+00,2.2133e+00,4.4760e+00,2.5297e+01,-1.3048e+04
-2.5266e-01,-1.8565e+00,1.7252e+00,1.7192e+00,2.3530e+01,-4.4561e+04
-4.5992e-01,-1.4451e+00,2.3600e+00,4.6434e+00,2.5980e+01,-4.5744e+04
-3.1048e-01,-1.7891e+00,2.3909e+00,2.9082e+00,2.5660e+01,-3.4623e+04
-4.2300e-01,-1.7463e+00,3.0366e+00,3.8770e+00,2.7372e+01,-4.5875e+04
-9.0767e-02,-1.4324e+00,1.8545e+00,4.4514e+00,2.4053e+01,-3.2288e+04
-4.4580e-01,-1.8279e+00,2.5515e+00,4.6141e-01,2.6027e+01,-4.1479e+04
-3.8990e-01,-1.6251e+00,3.0732e+00,4.7805e+00,2.7828e+01,-3.4342e+04
-7.0080e-02,-1.7795e+00,1.5621e+00,4.3918e+00,2.3295e+01,-3.4258e+04
-4.7709e-01,-1.6977e+00,2.3338e+00,3.0729e+00,2.5290e+01,-4.1479e+04
-2.9042e-02,-1.6395e+00,2.3115e+00,4.6919e+00,2.5424e+01,-3.2667e+04
-7.2648e-02,-1.6567e+00,2.3369e+00,3.9984e+00,2.5231e+01,-4.2740e+04
-4.2375e-03,-1.4530e+00,1.6677e+00,4.2205e+00,2.3415e+01,-4.4005e+04
-4.5874e-01,-1.5255e+00,2.4628e+00,4.8362e+00,2.5898e+01,-2.2387e+04
