nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,4.4000e+01,1.0000e+00,4.2065e+00,-2.3438e+04,-2.3446e+04,-4.3978e-02,-2.3446e+04,8.7413e-02,7.6449e+00,2.1456e+04,4.4448e+02,-5.5775e-01,-5.2336e-01,6.2820e-01,1.0445e+00,1.6605e+00,2.1050e+00,2.9508e+00,2.8587e+00,2.9242e+01
2.0000e+03,4.5000e+01,1.0000e+00,4.2980e+00,-2.3316e+04,-2.3324e+04,-4.4978e-02,-2.3324e+04,8.7419e-02,7.6459e+00,2.1405e+04,4.5415e+02,-6.3008e-01,-4.7044e-01,5.1153e-01,1.1616e+00,1.6219e+00,2.1809e+00,2.9908e+00,2.7828e+00,2.9230e+01
2.0000e+03,4.6000e+01,1.0000e+00,4.3893e+00,-2.3137e+04,-2.3145e+04,-4.5977e-02,-2.3145e+04,8.7425e-02,7.6469e+00,2.1284e+04,4.6380e+02,-8.0177e-01,-6.7092e-01,7.8918e-01,1.1865e+00,1.4317e+00,2.2908e+00,2.9485e+00,2.7841e+00,2.9376e+01
2.0000e+03,4.7000e+01,1.0000e+00,4.4805e+00,-2.3137e+04,-2.3144e+04,-4.6977e-02,-2.3144e+04,8.0913e-02,6.5503e+00,2.1105e+04,4.7338e+02,-7.7526e-01,-5.7230e-01,4.8688e-01,8.9383e-01,1.3584e+00,2.2202e+00,2.9606e+00,2.9271e+00,2.9315e+01
2.0000e+03,4.8000e+01,1.0000e+00,4.5714e+00,-2.3099e+04,-2.3107e+04,-4.7976e-02,-2.3107e+04,8.7436e-02,7.6489e+00,2.1103e+04,4.8307e+02,-5.6048e-01,-6.6964e-01,6.5299e-01,1.1642e+00,1.7190e+00,2.0488e+00,2.9462e+00,2.8648e+00,2.9330e+01
2.0000e+03,4.9000e+01,1.0000e+00,4.6622e+00,-2.3055e+04,-2.3062e+04,-4.8976e-02,-2.3062e+04,8.7442e-02,7.6499e+00,2.1066e+04,4.9264e+02,-6.3551e-01,-6.6215e-01,5.7917e-01,1.1772e+00,1.6177e+00,2.0226e+00,2.9196e+00,2.8187e+00,2.9241e+01
2.0000e+03,5.0000e+01,1.0000e+00,4.7529e+00,-2.3037e+04,-2.3044e+04,-4.9975e-02,-2.3044e+04,8.7447e-02,7.6509e+00,2.1022e+04,5.0236e+02,-7.6727e-01,-4.9805e-01,6.8682e-01,1.1963e+00,1.5367e+00,2.1152e+00,2.8545e+00,2.9213e+00,2.9240e+01
2.0000e+03,5.1000e+01,1.0000e+00,4.8433e+00,-2.2929e+04,-2.2937e+04,-5.0975e-02,-2.2937e+04,8.7453e-02,7.6519e+00,2.1004e+04,5.1208e+02,-7.9976e-01,-6.7245e-01,5.3250e-01,1.2095e+00,1.6331e+00,2.1084e+00,2.9433e+00,2.9379e+00,2.9410e+01
2.0000e+03,5.2000e+01,1.0000e+00,4.9336e+00,-2.2892e+04,-2.2899e+04,-5.1974e-02,-2.2899e+04,8.7459e-02,7.6529e+00,2.0896e+04,5.2170e+02,-6.0666e-01,-6.2293e-01,6.1359e-01,9.5818e-01,1.7261e+00,2.0070e+00,2.8946e+00,2.8525e+00,2.9238e+01
2.0000e+03,5.3000e+01,1.0000e+00,5.0237e+00,-2.2856e+04,-2.2864e+04,-5.2974e-02,-2.2864e+04,8.7465e-02,7.6539e+00,2.0859e+04,5.3131e+02,-5.0983e-01,-3.0631e-01,8.6096e-01,1.1693e+00,1.5927e+00,2.2698e+00,2.9124e+00,2.8924e+00,2.9232e+01
2.0000e+03,5.4000e+01,1.0000e+00,5.1136e+00,-2.2844e+04,-2.2851e+04,-5.3973e-02,-2.2851e+04,8.7469e-02,7.6547e+00,2.0823e+04,5.4103e+02,-5.5539e-01,-5.7485e-01,7.1577e-01,9.3817e-01,1.4284e+00,1.9378e+00,2.9161e+00,2.9542e+00,2.9258e+01
2.0000e+03,5.5000e+01,2.0000e+00,5.1985e+00,-2.2791e+04,-2.2798e+04,-5.4973e-02,-2.2798e+04,8.7476e-02,7.6559e+00,2.0811e+04,5.6024e+02,-5.9571e-01,-3.4362e-01,4.9259e-01,1.0462e+00,1.6108e+00,2.1376e+00,2.9816e+00,2.9504e+00,2.9235e+01
2.0000e+03,5.6000e+01,1.0000e+00,5.2880e+00,-2.2740e+04,-2.2747e+04,-5.5972e-02,-2.2747e+04,8.7482e-02,7.6569e+00,2.0758e+04,5.6999e+02,-7.5442e-01,-7.2323e-01,8.6201e-01,9.2180e-01,1.7109e+00,2.0962e+00,2.8796e+00,2.8729e+00,2.9396e+01
2.0000e+03,5.7000e+01,1.0000e+00,5.3774e+00,-2.2627e+04,-2.2635e+04,-5.6972e-02,-2.2635e+04,8.7487e-02,7.6579e+00,2.0707e+04,5.7969e+02,-5.3295e-01,-6.1841e-01,8.6107e-01,1.1756e+00,1.5485e+00,2.1728e+00,2.8976e+00,2.9118e+00,2.9363e+01
2.0000e+03,5.8000e+01,1.0000e+00,5.4665e+00,-2.2580e+04,-2.2588e+04,-5.7971e-02,-2.2588e+04,8.7493e-02,7.6589e+00,2.0595e+04,5.8929e+02,-6.6178e-01,-5.0439e-01,6.3167e-01,8.9960e-01,1.5434e+00,2.0936e+00,2.9664e+00,2.7886e+00,2.9214e+01
2.0000e+03,5.9000e+01,1.0000e+00,5.5556e+00,-2.2579e+04,-2.2586e+04,-5.8971e-02,-2.2586e+04,8.1957e-02,6.7203e+00,2.0547e+04,5.9899e+02,-7.1900e-01,-6.9173e-01,5.6579e-01,1.1230e+00,1.7132e+00,2.1148e+00,2.8931e+00,2.7884e+00,2.9273e+01
2.0000e+03,6.0000e+01,1.0000e+00,5.6444e+00,-2.2550e+04,-2.2557e+04,-5.9970e-02,-2.2557e+04,8.7505e-02,7.6609e+00,2.0546e+04,6.0859e+02,-8.1131e-01,-7.5985e-01,8.0805e-01,9.7043e-01,1.6928e+00,2.2232e+00,2.7996e+00,2.7544e+00,2.9285e+01
