logfeh,logdust,logNpix,tau,logl
-2.3378e-01,-5.0488e-01,4.5041e+00,2.4343e-01,-1.5189e+01
-2.4228e-01,-5.0310e-01,4.5017e+00,7.8473e-01,-1.6027e+01
-2.3098e-01,-5.0617e-01,4.5041e+00,4.2803e-01,-1.4396e+01
-2.4153e-01,-5.0260e-01,4.5029e+00,7.8595e-01,-1.6186e+01
-2.4052e-01,-5.0301e-01,4.5031e+00,2.1876e-01,-1.5222e+01
-2.4003e-01,-5.0260e-01,4.5029e+00,1.0139e+00,-1.6165e+01
-2.4985e-01,-5.0010e-01,4.5014e+00,7.9943e-01,-1.6260e+01
-2.3870e-01,-5.0357e-01,4.5033e+00,5.8107e-01,-1.5675e+01
-2.2867e-01,-5.0720e-01,4.5041e+00,2.1642e-01,-1.3755e+01
-2.3342e-01,-5.0536e-01,4.5039e+00,1.2711e-01,-1.5989e+01
-2.4137e-01,-5.0274e-01,4.5030e+00,2.9189e-01,-1.5923e+01
-2.5126e-01,-4.9935e-01,4.5018e+00,1.2002e-01,-1.6071e+01
-2.3254e-01,-5.0580e-01,4.5038e+00,3.6731e-01,-1.5688e+01
-2.5538e-01,-4.9818e-01,4.5017e+00,1.9640e-01,-1.6108e+01
-2.3891e-01,-5.0330e-01,4.5036e+00,5.8800e-01,-1.4386e+01
-2.4367e-01,-5.0204e-01,4.5023e+00,7.8253e-01,-1.5496e+01
-2.5227e-01,-4.9975e-01,4.5013e+00,4.9643e-01,-1.5071e+01
-2.4401e-01,-5.0200e-01,4.5024e+00,1.4768e-01,-1.5627e+01
-2.5020e-01,-5.0014e-01,4.5014e+00,4.7589e-01,-1.4279e+01
-2.3360e-01,-5.0539e-01,4.5039e+00,1.0902e-01,-1.5887e+01
-2.4461e-01,-5.0232e-01,4.5017e+00,6.3842e-01,-1.5594e+01
-2.4424e-01,-5.0156e-01,4.5027e+00,7.7174e-01,-1.5774e+01
-2.4088e-01,-5.0292e-01,4.5026e+00,7.8520e-01,-1.4865e+01
-2.3994e-01,-5.0331e-01,4.5030e+00,2.0521e-01,-1.6085e+01
-2.4343e-01,-5.0248e-01,4.5022e+00,5.9669e-01,-1.4208e+01
-2.3151e-01,-5.0569e-01,4.5044e+00,5.4351e-01,-1.5945e+01
-2.3493e-01,-5.0484e-01,4.5036e+00,5.9388e-01,-1.4529e+01
-2.5232e-01,-4.9965e-01,4.5012e+00,3.2486e-01,-1.6127e+01
-2.4305e-01,-5.0211e-01,4.5027e+00,3.6117e-01,-1.4886e+01
-2.3877e-01,-5.0369e-01,4.5025e+00,9.8164e-01,-1.4264e+01
-2.4303e-01,-5.0191e-01,4.5027e+00,6.4675e-01,-1.5430e+01
-2.5837e-01,-4.9736e-01,4.5014e+00,1.2100e-01,-1.6068e+01
-2.4223e-01,-5.0243e-01,4.5027e+00,7.7935e-01,-1.4843e+01
-2.5192e-01,-4.9940e-01,4.5016e+00,6.2047e-01,-1.5627e+01
-2.3914e-01,-5.0291e-01,4.5037e+00,2.6236e-01,-1.5353e+01
-2.3456e-01,-5.0471e-01,4.5024e+00,1.1612e+00,-1.4441e+01
-2.3107e-01,-5.0562e-01,4.5049e+00,3.5236e-01,-1.6160e+01
-2.4578e-01,-5.0158e-01,4.5019e+00,7.7550e-01,-1.5772e+01
-2.4100e-01,-5.0260e-01,4.5021e+00,1.0899e+00,-1.5814e+01
-2.3155e-01,-5.0616e-01,4.5040e+00,1.5425e-01,-1.6160e+01
-2.4390e-01,-5.0194e-01,4.5025e+00,2.9218e-01,-1.4805e+01
-2.4898e-01,-5.0082e-01,4.5012e+00,6.3070e-01,-1.5883e+01
-2.3518e-01,-5.0497e-01,4.5037e+00,1.9692e-01,-1.5439e+01
-2.5231e-01,-4.9974e-01,4.5009e+00,8.1813e-01,-1.3949e+01
-2.4383e-01,-5.0215e-01,4.5023e+00,6.1461e-01,-1.4393e+01
-2.3718e-01,-5.0208e-01,4.5010e+00,1.4191e+00,-1.5781e+01
-2.4294e-01,-5.0276e-01,4.5020e+00,6.3985e-01,-1.5460e+01
-2.3768e-01,-5.0360e-01,4.5038e+00,1.6702e-01,-1.5014e+01
-2.4070e-01,-5.0290e-01,4.5030e+00,1.9369e-01,-1.5661e+01
-2.3487e-01,-5.0431e-01,4.5043e+00,5.9935e-01,-1.5529e+01
-2.4323e-01,-5.0210e-01,4.5024e+00,7.7386e-01,-1.6065e+01
-2.4678e-01,-5.0042e-01,4.5027e+00,7.0118e-01,-1.6147e+01
-2.3334e-01,-5.0553e-01,4.5036e+00,7.8795e-01,-1.5269e+01
-2.4330e-01,-5.0220e-01,4.5026e+00,6.3012e-01,-1.4864e+01
-2.5324e-01,-4.9918e-01,4.5014e+00,3.8995e-01,-1.4735e+01
-2.3831e-01,-5.0346e-01,4.5035e+00,1.9208e-01,-1.5739e+01
-2.3750e-01,-5.0354e-01,4.5039e+00,5.7332e-01,-1.5302e+01
-2.5884e-01,-4.9718e-01,4.5016e+00,3.0212e-01,-1.6117e+01
