GPU acceleration enabled
Loading Setup File: setup_files/dynamic_2.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 1 | batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  3.226 | logz:   -inf +/-  0.368 | dlogz:    inf > 10.000 
iter: 112 | batch: 0 | bound: 7 | nc: 11 | ncall: 1090 | eff(%): 10.000 | logz: -12098.592 +/-  0.505 | dlogz: 13522.905 > 10.000 
iter: 113 | batch: 0 | bound: 8 | nc: 13 | ncall: 1103 | eff(%):  9.974 | logz: -11799.082 +/-  0.506 | dlogz: 12973.817 > 10.000 
iter: 114 | batch: 0 | bound: 8 | nc: 8 | ncall: 1111 | eff(%):  9.991 | logz: -11623.327 +/-  0.507 | dlogz: 12674.273 > 10.000 
iter: 115 | batch: 0 | bound: 9 | nc: 12 | ncall: 1123 | eff(%):  9.974 | logz: -10949.216 +/-  0.508 | dlogz: 12498.486 > 10.000 
iter: 116 | batch: 0 | bound: 9 | nc: 3 | ncall: 1126 | eff(%): 10.035 | logz: -10884.109 +/-  0.509 | dlogz: 11824.343 > 10.000 
iter: 117 | batch: 0 | bound: 9 | nc: 7 | ncall: 1133 | eff(%): 10.060 | logz: -10862.827 +/-  0.510 | dlogz: 11759.202 > 10.000 
iter: 118 | batch: 0 | bound: 10 | nc: 4 | ncall: 1137 | eff(%): 10.111 | logz: -10811.691 +/-  0.511 | dlogz: 11737.888 > 10.000 
iter: 119 | batch: 0 | bound: 10 | nc: 5 | ncall: 1142 | eff(%): 10.154 | logz: -10632.956 +/-  0.512 | dlogz: 11686.719 > 10.000 
iter: 120 | batch: 0 | bound: 10 | nc: 4 | ncall: 1146 | eff(%): 10.204 | logz: -9684.460 +/-  0.513 | dlogz: 11507.952 > 10.000 
iter: 121 | batch: 0 | bound: 11 | nc: 29 | ncall: 1175 | eff(%): 10.041 | logz: -9630.371 +/-  0.514 | dlogz: 10559.422 > 10.000 
iter: 122 | batch: 0 | bound: 12 | nc: 21 | ncall: 1196 | eff(%):  9.951 | logz: -9325.287 +/-  0.515 | dlogz: 10505.300 > 10.000 
iter: 123 | batch: 0 | bound: 12 | nc: 2 | ncall: 1198 | eff(%): 10.016 | logz: -8981.770 +/-  0.516 | dlogz: 10200.183 > 10.000 
iter: 124 | batch: 0 | bound: 12 | nc: 12 | ncall: 1210 | eff(%): 10.000 | logz: -8669.281 +/-  0.517 | dlogz: 9856.634 > 10.000 
iter: 125 | batch: 0 | bound: 12 | nc: 8 | ncall: 1218 | eff(%): 10.016 | logz: -8266.692 +/-  0.518 | dlogz: 9544.112 > 10.000 
iter: 126 | batch: 0 | bound: 14 | nc: 19 | ncall: 1237 | eff(%):  9.945 | logz: -8083.183 +/-  0.519 | dlogz: 9141.490 > 10.000 
iter: 127 | batch: 0 | bound: 14 | nc: 8 | ncall: 1245 | eff(%):  9.961 | logz: -7995.483 +/-  0.520 | dlogz: 8957.949 > 10.000 
iter: 128 | batch: 0 | bound: 14 | nc: 6 | ncall: 1251 | eff(%):  9.992 | logz: -7937.971 +/-  0.521 | dlogz: 8870.216 > 10.000 
iter: 129 | batch: 0 | bound: 14 | nc: 5 | ncall: 1256 | eff(%): 10.031 | logz: -7368.111 +/-  0.522 | dlogz: 8812.671 > 10.000 
iter: 130 | batch: 0 | bound: 16 | nc: 19 | ncall: 1275 | eff(%):  9.962 | logz: -7321.526 +/-  0.523 | dlogz: 8242.778 > 10.000 
iter: 131 | batch: 0 | bound: 16 | nc: 1 | ncall: 1276 | eff(%): 10.031 | logz: -7094.793 +/-  0.525 | dlogz: 8196.160 > 10.000 
iter: 132 | batch: 0 | bound: 16 | nc: 14 | ncall: 1290 | eff(%): 10.000 | logz: -6954.844 +/-  0.526 | dlogz: 7969.394 > 10.000 
iter: 133 | batch: 0 | bound: 16 | nc: 7 | ncall: 1297 | eff(%): 10.023 | logz: -6365.194 +/-  0.527 | dlogz: 7829.413 > 10.000 
iter: 134 | batch: 0 | bound: 18 | nc: 27 | ncall: 1324 | eff(%):  9.897 | logz: -6240.679 +/-  0.528 | dlogz: 7239.730 > 10.000 
iter: 135 | batch: 0 | bound: 18 | nc: 18 | ncall: 1342 | eff(%):  9.840 | logz: -5972.656 +/-  0.529 | dlogz: 7115.182 > 10.000 
iter: 136 | batch: 0 | bound: 19 | nc: 13 | ncall: 1355 | eff(%):  9.819 | logz: -5961.502 +/-  0.530 | dlogz: 6847.127 > 10.000 
iter: 137 | batch: 0 | bound: 19 | nc: 1 | ncall: 1356 | eff(%):  9.885 | logz: -5878.827 +/-  0.531 | dlogz: 6835.939 > 10.000 
iter: 138 | batch: 0 | bound: 19 | nc: 1 | ncall: 1357 | eff(%):  9.950 | logz: -5747.377 +/-  0.532 | dlogz: 6753.232 > 10.000 
iter: 139 | batch: 0 | bound: 19 | nc: 1 | ncall: 1358 | eff(%): 10.014 | logz: -5402.890 +/-  0.533 | dlogz: 6621.749 > 10.000 
iter: 140 | batch: 0 | bound: 19 | nc: 5 | ncall: 1363 | eff(%): 10.050 | logz: -5311.460 +/-  0.534 | dlogz: 6277.229 > 10.000 
iter: 141 | batch: 0 | bound: 21 | nc: 29 | ncall: 1392 | eff(%):  9.916 | logz: -4942.562 +/-  0.535 | dlogz: 6185.766 > 10.000 
iter: 142 | batch: 0 | bound: 21 | nc: 1 | ncall: 1393 | eff(%):  9.979 | logz: -4781.659 +/-  0.536 | dlogz: 5816.836 > 10.000 
iter: 143 | batch: 0 | bound: 21 | nc: 7 | ncall: 1400 | eff(%): 10.000 | logz: -4226.642 +/-  0.537 | dlogz: 5655.900 > 10.000 
iter: 144 | batch: 0 | bound: 22 | nc: 1 | ncall: 1401 | eff(%): 10.063 | logz: -4185.392 +/-  0.538 | dlogz: 5100.850 > 10.000 
iter: 145 | batch: 0 | bound: 28 | nc: 122 | ncall: 1523 | eff(%):  9.337 | logz: -4164.519 +/-  0.539 | dlogz: 5059.568 > 10.000 
iter: 146 | batch: 0 | bound: 33 | nc: 96 | ncall: 1619 | eff(%):  8.854 | logz: -4146.598 +/-  0.540 | dlogz: 5038.662 > 10.000 
iter: 147 | batch: 0 | bound: 33 | nc: 1 | ncall: 1620 | eff(%):  8.909 | logz: -3907.524 +/-  0.541 | dlogz: 5020.707 > 10.000 
iter: 148 | batch: 0 | bound: 33 | nc: 3 | ncall: 1623 | eff(%):  8.953 | logz: -3815.920 +/-  0.542 | dlogz: 4781.601 > 10.000 
iter: 149 | batch: 0 | bound: 33 | nc: 12 | ncall: 1635 | eff(%):  8.949 | logz: -3792.418 +/-  0.543 | dlogz: 4689.964 > 10.000 
iter: 150 | batch: 0 | bound: 34 | nc: 16 | ncall: 1651 | eff(%):  8.923 | logz: -3675.947 +/-  0.544 | dlogz: 4666.429 > 10.000 
iter: 151 | batch: 0 | bound: 34 | nc: 11 | ncall: 1662 | eff(%):  8.924 | logz: -3625.083 +/-  0.545 | dlogz: 4549.925 > 10.000 
iter: 152 | batch: 0 | bound: 37 | nc: 39 | ncall: 1701 | eff(%):  8.781 | logz: -3614.126 +/-  0.546 | dlogz: 4499.029 > 10.000 
iter: 153 | batch: 0 | bound: 40 | nc: 66 | ncall: 1767 | eff(%):  8.514 | logz: -3549.172 +/-  0.547 | dlogz: 4488.039 > 10.000 
iter: 154 | batch: 0 | bound: 40 | nc: 13 | ncall: 1780 | eff(%):  8.508 | logz: -3379.311 +/-  0.548 | dlogz: 4423.052 > 10.000 
iter: 155 | batch: 0 | bound: 41 | nc: 4 | ncall: 1784 | eff(%):  8.545 | logz: -3357.240 +/-  0.549 | dlogz: 4253.158 > 10.000 
iter: 156 | batch: 0 | bound: 41 | nc: 1 | ncall: 1785 | eff(%):  8.595 | logz: -3326.725 +/-  0.550 | dlogz: 4231.055 > 10.000 
iter: 157 | batch: 0 | bound: 41 | nc: 9 | ncall: 1794 | eff(%):  8.607 | logz: -3304.469 +/-  0.551 | dlogz: 4200.507 > 10.000 
iter: 158 | batch: 0 | bound: 42 | nc: 20 | ncall: 1814 | eff(%):  8.568 | logz: -3246.466 +/-  0.551 | dlogz: 4178.218 > 10.000 
iter: 159 | batch: 0 | bound: 42 | nc: 1 | ncall: 1815 | eff(%):  8.618 | logz: -3242.552 +/-  0.547 | dlogz: 4120.183 > 10.000 
iter: 160 | batch: 0 | bound: 42 | nc: 1 | ncall: 1816 | eff(%):  8.667 | logz: -3144.359 +/-  0.553 | dlogz: 4116.236 > 10.000 
