GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 97 | batch: 0 | bound: 0 | nc: 51 | ncall: 835 | eff(%): 11.214 | logz: -43051.935 +/-  0.488 | dlogz: 42818.563 > 10.000 
iter: 98 | batch: 0 | bound: 0 | nc: 31 | ncall: 866 | eff(%): 10.938 | logz: -42104.784 +/-  0.490 | dlogz: 39760.833 > 10.000 
iter: 99 | batch: 0 | bound: 0 | nc: 48 | ncall: 914 | eff(%): 10.487 | logz: -40246.578 +/-  0.491 | dlogz: 38813.649 > 10.000 
iter: 100 | batch: 0 | bound: 0 | nc: 42 | ncall: 956 | eff(%): 10.142 | logz: -38278.561 +/-  0.492 | dlogz: 36955.411 > 10.000 
iter: 101 | batch: 0 | bound: 0 | nc: 2 | ncall: 958 | eff(%): 10.223 | logz: -38131.306 +/-  0.493 | dlogz: 34987.361 > 10.000 
iter: 102 | batch: 0 | bound: 0 | nc: 38 | ncall: 996 | eff(%):  9.942 | logz: -37558.766 +/-  0.494 | dlogz: 34840.072 > 10.000 
iter: 103 | batch: 0 | bound: 1 | nc: 7 | ncall: 1003 | eff(%):  9.971 | logz: -37281.297 +/-  0.495 | dlogz: 34267.500 > 10.000 
iter: 104 | batch: 0 | bound: 1 | nc: 4 | ncall: 1007 | eff(%): 10.029 | logz: -37041.655 +/-  0.496 | dlogz: 33989.998 > 10.000 
iter: 105 | batch: 0 | bound: 1 | nc: 8 | ncall: 1015 | eff(%): 10.048 | logz: -36771.052 +/-  0.497 | dlogz: 33750.324 > 10.000 
iter: 106 | batch: 0 | bound: 2 | nc: 5 | ncall: 1020 | eff(%): 10.095 | logz: -35220.232 +/-  0.498 | dlogz: 33479.688 > 10.000 
iter: 107 | batch: 0 | bound: 2 | nc: 2 | ncall: 1022 | eff(%): 10.171 | logz: -34603.430 +/-  0.499 | dlogz: 31928.835 > 10.000 
iter: 108 | batch: 0 | bound: 2 | nc: 13 | ncall: 1035 | eff(%): 10.141 | logz: -33563.676 +/-  0.500 | dlogz: 31312.000 > 10.000 
iter: 109 | batch: 0 | bound: 3 | nc: 4 | ncall: 1039 | eff(%): 10.196 | logz: -32634.662 +/-  0.501 | dlogz: 30272.213 > 10.000 
iter: 110 | batch: 0 | bound: 3 | nc: 11 | ncall: 1050 | eff(%): 10.185 | logz: -31493.961 +/-  0.503 | dlogz: 29343.166 > 10.000 
iter: 111 | batch: 0 | bound: 3 | nc: 1 | ncall: 1051 | eff(%): 10.268 | logz: -30049.629 +/-  0.504 | dlogz: 28202.433 > 10.000 
iter: 112 | batch: 0 | bound: 3 | nc: 2 | ncall: 1053 | eff(%): 10.342 | logz: -27227.316 +/-  0.505 | dlogz: 26758.068 > 10.000 
iter: 113 | batch: 0 | bound: 4 | nc: 1 | ncall: 1054 | eff(%): 10.424 | logz: -26673.653 +/-  0.506 | dlogz: 23935.722 > 10.000 
iter: 114 | batch: 0 | bound: 4 | nc: 3 | ncall: 1057 | eff(%): 10.488 | logz: -26381.909 +/-  0.507 | dlogz: 23382.026 > 10.000 
iter: 115 | batch: 0 | bound: 4 | nc: 4 | ncall: 1061 | eff(%): 10.541 | logz: -26133.774 +/-  0.508 | dlogz: 23090.250 > 10.000 
iter: 116 | batch: 0 | bound: 5 | nc: 23 | ncall: 1084 | eff(%): 10.413 | logz: -25552.227 +/-  0.509 | dlogz: 22842.081 > 10.000 
iter: 117 | batch: 0 | bound: 5 | nc: 2 | ncall: 1086 | eff(%): 10.484 | logz: -25280.594 +/-  0.510 | dlogz: 22260.502 > 10.000 
iter: 118 | batch: 0 | bound: 5 | nc: 5 | ncall: 1091 | eff(%): 10.526 | logz: -25071.947 +/-  0.511 | dlogz: 21988.836 > 10.000 
iter: 119 | batch: 0 | bound: 6 | nc: 26 | ncall: 1117 | eff(%): 10.375 | logz: -24618.945 +/-  0.512 | dlogz: 21780.157 > 10.000 
iter: 120 | batch: 0 | bound: 13 | nc: 134 | ncall: 1251 | eff(%):  9.368 | logz: -23512.069 +/-  0.513 | dlogz: 21327.122 > 10.000 
iter: 121 | batch: 0 | bound: 13 | nc: 1 | ncall: 1252 | eff(%):  9.438 | logz: -23401.619 +/-  0.514 | dlogz: 20220.212 > 10.000 
iter: 122 | batch: 0 | bound: 13 | nc: 9 | ncall: 1261 | eff(%):  9.450 | logz: -22854.552 +/-  0.515 | dlogz: 20109.730 > 10.000 
iter: 123 | batch: 0 | bound: 14 | nc: 2 | ncall: 1263 | eff(%):  9.513 | logz: -21926.619 +/-  0.516 | dlogz: 19562.630 > 10.000 
iter: 124 | batch: 0 | bound: 14 | nc: 12 | ncall: 1275 | eff(%):  9.502 | logz: -21685.712 +/-  0.517 | dlogz: 18634.664 > 10.000 
iter: 125 | batch: 0 | bound: 14 | nc: 5 | ncall: 1280 | eff(%):  9.542 | logz: -21263.840 +/-  0.518 | dlogz: 18393.724 > 10.000 
