nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,2.1070e+03,2.0119e+04,1.0375e+01,1.7021e+05,1.7019e+05,-1.0514e+01,1.7019e+05,2.8126e-01,1.5861e+01,1.3967e+03,-3.9692e-01,-1.0325e+00,6.0046e+00
2.0000e+03,2.1080e+03,2.0122e+04,1.0378e+01,1.7021e+05,1.7019e+05,-1.0519e+01,1.7019e+05,2.7624e-01,1.5300e+01,1.3944e+03,-3.9125e-01,-9.6715e-01,6.0110e+00
2.0000e+03,2.1090e+03,2.0123e+04,1.0382e+01,1.7021e+05,1.7019e+05,-1.0524e+01,1.7019e+05,2.7578e-01,1.5249e+01,1.3931e+03,-4.4551e-01,-1.0497e+00,5.9996e+00
2.0000e+03,2.1100e+03,2.0129e+04,1.0384e+01,1.7021e+05,1.7019e+05,-1.0529e+01,1.7019e+05,2.7986e-01,1.5703e+01,1.3918e+03,-6.1349e-01,-9.3345e-01,5.9967e+00
2.0000e+03,2.1110e+03,2.0144e+04,1.0381e+01,1.7022e+05,1.7020e+05,-1.0534e+01,1.7020e+05,2.8702e-01,1.6517e+01,1.3898e+03,-4.7243e-01,-1.0600e+00,5.9977e+00
2.0000e+03,2.1120e+03,2.0147e+04,1.0385e+01,1.7024e+05,1.7022e+05,-1.0539e+01,1.7022e+05,2.8713e-01,1.6530e+01,1.3822e+03,-4.6213e-01,-9.6718e-01,6.0063e+00
2.0000e+03,2.1130e+03,2.0152e+04,1.0387e+01,1.7025e+05,1.7023e+05,-1.0544e+01,1.7023e+05,2.8717e-01,1.6534e+01,1.3597e+03,-4.6623e-01,-9.6225e-01,6.0021e+00
2.0000e+03,2.1140e+03,2.0154e+04,1.0391e+01,1.7025e+05,1.7024e+05,-1.0549e+01,1.7024e+05,2.7800e-01,1.5496e+01,1.3496e+03,-3.0599e-01,-1.0950e+00,6.0162e+00
2.0000e+03,2.1150e+03,2.0162e+04,1.0392e+01,1.7025e+05,1.7024e+05,-1.0554e+01,1.7024e+05,2.7906e-01,1.5614e+01,1.3482e+03,-3.4965e-01,-9.8584e-01,6.0162e+00
2.0000e+03,2.1160e+03,2.0169e+04,1.0393e+01,1.7026e+05,1.7024e+05,-1.0559e+01,1.7024e+05,2.7941e-01,1.5653e+01,1.3465e+03,-3.0410e-01,-1.0142e+00,6.0204e+00
2.0000e+03,2.1170e+03,2.0170e+04,1.0398e+01,1.7026e+05,1.7024e+05,-1.0564e+01,1.7024e+05,2.8596e-01,1.6396e+01,1.3446e+03,-5.0052e-01,-9.6878e-01,5.9991e+00
2.0000e+03,2.1180e+03,2.0171e+04,1.0402e+01,1.7026e+05,1.7025e+05,-1.0569e+01,1.7025e+05,2.8428e-01,1.6204e+01,1.3405e+03,-4.5118e-01,-9.9200e-01,6.0013e+00
2.0000e+03,2.1190e+03,2.0176e+04,1.0404e+01,1.7027e+05,1.7025e+05,-1.0574e+01,1.7025e+05,2.8654e-01,1.6462e+01,1.3373e+03,-4.6360e-01,-9.7020e-01,6.0058e+00
2.0000e+03,2.1200e+03,2.0178e+04,1.0408e+01,1.7027e+05,1.7025e+05,-1.0579e+01,1.7025e+05,2.8145e-01,1.5882e+01,1.3326e+03,-3.2752e-01,-1.0129e+00,6.0150e+00
2.0000e+03,2.1210e+03,2.0179e+04,1.0413e+01,1.7027e+05,1.7026e+05,-1.0584e+01,1.7026e+05,2.8556e-01,1.6349e+01,1.3304e+03,-3.0975e-01,-1.0498e+00,6.0198e+00
2.0000e+03,2.1220e+03,2.0180e+04,1.0417e+01,1.7028e+05,1.7026e+05,-1.0589e+01,1.7026e+05,2.8233e-01,1.5982e+01,1.3267e+03,-4.1536e-01,-9.6054e-01,6.0083e+00
2.0000e+03,2.1230e+03,2.0188e+04,1.0418e+01,1.7028e+05,1.7027e+05,-1.0594e+01,1.7027e+05,2.8732e-01,1.6552e+01,1.3243e+03,-4.1201e-01,-9.9188e-01,6.0053e+00
2.0000e+03,2.1240e+03,2.0194e+04,1.0420e+01,1.7029e+05,1.7027e+05,-1.0599e+01,1.7027e+05,2.8753e-01,1.6577e+01,1.3182e+03,-6.0282e-01,-9.8534e-01,5.9941e+00
2.0000e+03,2.1250e+03,2.0195e+04,1.0424e+01,1.7030e+05,1.7029e+05,-1.0604e+01,1.7029e+05,2.8769e-01,1.6595e+01,1.3111e+03,-2.9200e-01,-1.0010e+00,6.0224e+00
2.0000e+03,2.1260e+03,2.0196e+04,1.0429e+01,1.7031e+05,1.7029e+05,-1.0609e+01,1.7029e+05,2.8684e-01,1.6496e+01,1.2966e+03,-6.4074e-01,-9.4178e-01,5.9990e+00
2.0000e+03,2.1270e+03,2.0197e+04,1.0433e+01,1.7031e+05,1.7029e+05,-1.0613e+01,1.7029e+05,2.8002e-01,1.5722e+01,1.2918e+03,-5.5626e-01,-1.0282e+00,5.9971e+00
2.0000e+03,2.1280e+03,2.0198e+04,1.0437e+01,1.7032e+05,1.7030e+05,-1.0618e+01,1.7030e+05,2.8774e-01,1.6600e+01,1.2901e+03,-5.0192e-01,-1.0517e+00,5.9989e+00
2.0000e+03,2.1290e+03,2.0201e+04,1.0441e+01,1.7032e+05,1.7030e+05,-1.0623e+01,1.7030e+05,2.8302e-01,1.6060e+01,1.2827e+03,-5.8443e-01,-9.2373e-01,5.9990e+00
2.0000e+03,2.1300e+03,2.0207e+04,1.0442e+01,1.7035e+05,1.7033e+05,-1.0628e+01,1.7033e+05,2.8791e-01,1.6620e+01,1.2802e+03,-5.2223e-01,-9.7976e-01,6.0026e+00
