"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-3778.376466323149,-809.0293009372596,-167.8050023710406,-2250.8286578216835,-739.9935346835827,-252.07567557650214,-3873.5392682922875,-830.1338435512189,-168.14975713613603,-3928.5669979428535,-827.6419613605291,-185.3225551879573,-3733.0772954301824,-863.4329674464523,-166.7772531784348
-4498.301082933071,-850.1167385640529,-161.78606234129313,-3115.8544390115535,-1143.328068908057,-165.66749912588364,-3939.536314748346,-835.9471272953417,-166.88068184519508,-4620.50816332524,-855.1482875780781,-148.87056092530213,-4196.241863685245,-862.0639406963573,-139.01301930669737
-3932.673560655576,-814.7375173369425,-173.74294108943417,-2457.082489438586,-1048.8037506458002,-149.30684176169922,-4164.671215585594,-855.0690206369254,-167.43427586130764,-2762.5968796674324,-846.4116941569351,-169.81776684334926,-3459.2041840221536,-790.2564986300354,-186.4341646536263
-4306.248266286093,-818.3346332563649,-148.75953017894687,-2000.6543464508545,-804.9770886851929,-118.24353818279131,-4065.8644536349298,-848.2094088257732,-158.9263042896521,-3043.314755190409,-996.0014641078774,-118.60472612519081,-3536.5791811542545,-841.24762882688,-154.47886831102966
-4326.506374987646,-875.3177294231966,-164.82725545184815,-3521.042284144601,-863.9735673454722,-163.93388019033608,-4127.726486952169,-841.4254469065413,-172.05198997448937,-2948.1260190273306,-824.7045664996944,-140.242712330372,-4548.683397789999,-882.8042232716348,-153.8488663761221
-3685.4547112928726,-834.0912234518107,-183.55970830530683,-2350.1671756100404,-771.3914655791986,-86.86516072487532,-3925.8890816686426,-827.1372942874402,-173.98638536323418,-3799.258496803628,-803.8642544666787,-135.16019794575632,-3507.8296707078766,-824.7624616901517,-133.61765775246616
-4050.05080909246,-857.7683938004087,-159.21850286963203,-2901.6435591670206,-1106.055135467295,-352.90421496141437,-3932.3689209578,-860.4166301913787,-167.03976305997506,-4638.220696653919,-823.1105054941205,-214.82495062186777,-3949.1744619090887,-1003.5604378961539,-177.70689099100457
-3649.382963583491,-843.3872460054916,-160.99538319259298,-2063.458468050271,-857.5957561814977,-204.28965084545715,-4036.357807804747,-841.2688296867374,-164.92906692457058,-3617.387430036845,-857.2068571528895,-183.6798606897255,-3738.2732434953004,-866.4574776012831,-148.37105470585354
-3620.1700207047984,-844.548637644956,-138.7083001031002,-2347.529896655007,-750.0043667865644,-138.15952445752077,-3975.5619391433866,-853.6986000532545,-158.0287363874894,-4479.513960827311,-851.4870150173996,-139.51142450908284,-3376.2185323341405,-819.8737508598607,-131.06632280359779
-4222.246234830231,-916.5958662596875,-170.3050020195905,-2298.1392980613928,-913.6185423088756,-150.1729999734157,-4141.649407698668,-839.4695627883424,-162.1130021901682,-3393.655747027506,-807.3085937508869,-133.609457791138,-3869.7244732927234,-861.7305002377799,-166.8711985533684
-3568.6954971795785,-840.0989751910134,-173.35062361723223,-2582.905245799111,-780.8287256939384,-124.02568812052255,-4197.042926344027,-852.9026885527663,-160.95594189679014,-4590.365723055498,-822.4681944464148,-251.99066179084684,-3406.2119169506773,-832.896602337933,-164.19581018269565
-4107.867602849623,-839.5529262429733,-181.91851543796278,-2648.5813401780547,-965.3801430049857,-231.3816647008998,-4171.489955231414,-858.4309066410873,-169.7202359357884,-3771.917525787978,-937.584786993978,-108.6288523245215,-4512.59199075256,-827.8996157120752,-148.80074151798942
