logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-9.9151e-01,-1.9144e+00,1.7328e+00,2.7525e+00,4.5979e-01,1.6578e+00,3.8239e+00,-2.2826e+03
-9.7533e-01,-1.9731e+00,1.7323e+00,2.7418e+00,1.0508e+00,1.9396e+00,3.8144e+00,-2.2866e+03
-9.8812e-01,-1.9292e+00,1.7330e+00,2.7528e+00,1.0337e+00,2.0119e+00,3.8056e+00,-2.2957e+03
-9.5736e-01,-1.9708e+00,1.7311e+00,2.7444e+00,9.6514e-01,2.6769e+00,3.7695e+00,-2.2768e+03
-9.7656e-01,-1.9080e+00,1.7332e+00,2.7325e+00,5.4297e-01,2.8705e+00,3.7448e+00,-2.2958e+03
-9.8844e-01,-1.9126e+00,1.7321e+00,2.7468e+00,1.4191e+00,2.4802e+00,3.7991e+00,-2.2973e+03
-9.8036e-01,-1.9404e+00,1.7272e+00,2.7359e+00,1.8002e+00,2.7624e+00,3.7554e+00,-2.2807e+03
-9.7775e-01,-1.8549e+00,1.7324e+00,2.7573e+00,1.3410e+00,1.7435e+00,3.8191e+00,-2.2798e+03
-9.5652e-01,-1.7833e+00,1.7335e+00,2.7348e+00,1.1653e+00,2.8514e+00,3.7468e+00,-2.2887e+03
-9.5347e-01,-1.8973e+00,1.7327e+00,2.7604e+00,8.8609e-01,2.1475e+00,3.7989e+00,-2.2712e+03
-9.7753e-01,-1.9265e+00,1.7297e+00,2.7517e+00,1.0512e+00,1.9738e+00,3.8163e+00,-2.2969e+03
-9.6362e-01,-1.8914e+00,1.7334e+00,2.7368e+00,1.3513e+00,1.7136e+00,3.8194e+00,-2.2809e+03
-9.5383e-01,-1.8527e+00,1.7326e+00,2.7634e+00,1.1996e+00,1.9754e+00,3.8081e+00,-2.2894e+03
-9.5256e-01,-1.8347e+00,1.7337e+00,2.7462e+00,1.4641e+00,2.7264e+00,3.7577e+00,-2.2919e+03
-9.6695e-01,-1.8860e+00,1.7278e+00,2.7446e+00,1.8138e+00,2.7639e+00,3.7482e+00,-2.2924e+03
-9.8450e-01,-1.8899e+00,1.7283e+00,2.7460e+00,1.4800e+00,2.4781e+00,3.7947e+00,-2.2702e+03
-9.6793e-01,-1.8898e+00,1.7333e+00,2.7540e+00,9.6045e-01,1.7375e+00,3.8210e+00,-2.2843e+03
-9.9210e-01,-1.8552e+00,1.7333e+00,2.7435e+00,2.1329e+00,2.1326e+00,3.7843e+00,-2.2707e+03
-9.9393e-01,-1.8480e+00,1.7309e+00,2.7528e+00,1.2226e+00,1.7145e+00,3.8191e+00,-2.2432e+03
-9.8454e-01,-1.8259e+00,1.7315e+00,2.7501e+00,1.5932e+00,2.7703e+00,3.7522e+00,-2.2940e+03
-9.6928e-01,-1.9406e+00,1.7336e+00,2.7590e+00,4.5007e-01,1.9635e+00,3.8112e+00,-2.2803e+03
-9.7574e-01,-1.9221e+00,1.7316e+00,2.7577e+00,1.3032e+00,1.7439e+00,3.8061e+00,-2.2899e+03
-9.5054e-01,-1.9902e+00,1.7326e+00,2.7418e+00,1.5630e+00,2.7457e+00,3.7529e+00,-2.2879e+03
-9.6975e-01,-1.9195e+00,1.7316e+00,2.7636e+00,1.1056e+00,2.0447e+00,3.8056e+00,-2.2914e+03
-9.7383e-01,-1.9811e+00,1.7268e+00,2.7413e+00,1.1023e+00,1.8864e+00,3.8179e+00,-2.2824e+03
-9.7983e-01,-1.9351e+00,1.7275e+00,2.7611e+00,1.4932e+00,2.0620e+00,3.7998e+00,-2.2969e+03
