logfeh,logdust_med,logNpix,tau,dmod,logl
-6.9232e-01,-1.7481e+00,3.6328e+00,9.5642e+00,2.9639e+01,-1.6105e+03
-9.2616e-01,-1.0160e+00,3.6643e+00,9.8570e+00,2.9704e+01,-1.5866e+03
-9.0677e-01,-1.0425e+00,3.6630e+00,9.8896e+00,2.9705e+01,-1.6077e+03
-9.4635e-01,-1.0015e+00,3.6653e+00,9.5881e+00,2.9696e+01,-1.6095e+03
-6.3773e-01,-1.9694e+00,3.6137e+00,9.9296e+00,2.9587e+01,-1.6145e+03
-6.9715e-01,-1.8702e+00,3.6344e+00,9.4971e+00,2.9651e+01,-1.6044e+03
-6.9797e-01,-1.6276e+00,3.6307e+00,9.7005e+00,2.9637e+01,-1.5905e+03
-9.3306e-01,-1.0335e+00,3.7118e+00,9.9427e+00,2.9835e+01,-1.6055e+03
-9.2303e-01,-1.0271e+00,3.6625e+00,9.9365e+00,2.9698e+01,-1.6043e+03
-9.1660e-01,-1.0098e+00,3.6627e+00,9.9517e+00,2.9692e+01,-1.6135e+03
-6.7438e-01,-1.9180e+00,3.6774e+00,9.9580e+00,2.9770e+01,-1.6148e+03
-6.5262e-01,-1.9592e+00,3.6155e+00,9.9561e+00,2.9604e+01,-1.5958e+03
-6.9375e-01,-1.8833e+00,3.6314e+00,9.6435e+00,2.9649e+01,-1.6090e+03
-6.2874e-01,-1.8746e+00,3.6154e+00,9.9607e+00,2.9589e+01,-1.5975e+03
-6.2829e-01,-1.9559e+00,3.6163e+00,9.8546e+00,2.9597e+01,-1.6037e+03
-6.9249e-01,-1.7870e+00,3.6324e+00,9.5795e+00,2.9639e+01,-1.5995e+03
-9.3583e-01,-1.0296e+00,3.6628e+00,9.8381e+00,2.9701e+01,-1.6083e+03
-9.1239e-01,-1.0330e+00,3.6618e+00,9.9821e+00,2.9704e+01,-1.5677e+03
-6.7262e-01,-1.8103e+00,3.6316e+00,9.7814e+00,2.9645e+01,-1.5943e+03
-6.7087e-01,-1.9314e+00,3.6308e+00,9.8438e+00,2.9644e+01,-1.6097e+03
-6.9596e-01,-1.8854e+00,3.6350e+00,9.4891e+00,2.9653e+01,-1.6120e+03
