logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.9503e-01,-1.9022e+00,1.7304e+00,2.5742e+00,2.3536e+00,2.2305e+00,4.2831e+00,-8.7582e+03
-2.6443e-01,-1.8512e+00,1.7282e+00,2.5816e+00,2.3535e+00,1.7149e+00,4.2829e+00,-8.7502e+03
-2.4977e-01,-1.8297e+00,1.7307e+00,2.5772e+00,1.7165e+00,2.0268e+00,4.3104e+00,-8.7698e+03
-2.8311e-01,-1.9644e+00,1.7316e+00,2.5679e+00,2.1875e+00,2.4460e+00,4.2857e+00,-8.7317e+03
-2.1767e-01,-1.9742e+00,1.7333e+00,2.5858e+00,2.3509e+00,2.2281e+00,4.2838e+00,-8.7175e+03
-2.6472e-01,-1.7332e+00,1.7330e+00,2.5834e+00,1.9440e+00,1.7603e+00,4.3075e+00,-8.7524e+03
-2.5418e-01,-1.8853e+00,1.7336e+00,2.6118e+00,2.5228e+00,2.1968e+00,4.2612e+00,-8.7560e+03
-2.1091e-01,-1.9967e+00,1.7314e+00,2.5861e+00,2.5406e+00,2.8019e+00,4.2416e+00,-8.7094e+03
-2.7919e-01,-1.8607e+00,1.7285e+00,2.5795e+00,2.1757e+00,1.7332e+00,4.2975e+00,-8.7774e+03
-2.2794e-01,-1.9327e+00,1.7321e+00,2.5929e+00,2.1853e+00,1.6192e+00,4.2956e+00,-8.7554e+03
-2.3045e-01,-1.9692e+00,1.7311e+00,2.6010e+00,1.8390e+00,1.6573e+00,4.3091e+00,-8.7648e+03
-2.8238e-01,-1.9892e+00,1.7327e+00,2.5704e+00,2.1538e+00,1.7733e+00,4.2997e+00,-8.7459e+03
-2.6507e-01,-1.7155e+00,1.7336e+00,2.6287e+00,2.2263e+00,2.2881e+00,4.2921e+00,-8.7655e+03
-2.8722e-01,-1.9989e+00,1.7327e+00,2.5870e+00,2.3709e+00,2.2081e+00,4.2806e+00,-8.7256e+03
