logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.1992e-01,-1.6617e+00,1.7206e+00,1.5342e+00,5.2476e-01,3.4771e+00,3.8340e+00,2.8731e+01,-5.3337e+03
6.6861e-02,-1.3877e+00,1.6703e+00,2.1284e+00,1.5312e+00,1.6264e+00,4.0204e+00,2.8669e+01,-5.2777e+03
1.5324e-01,-1.9462e+00,1.7154e+00,1.3952e+00,2.1648e+00,3.6281e+00,3.5685e+00,2.8668e+01,-5.1336e+03
1.7541e-01,-1.0742e+00,1.5954e+00,1.8617e+00,2.1460e+00,3.5850e+00,3.2714e+00,2.8342e+01,-5.0315e+03
6.7023e-02,-1.4769e+00,1.7294e+00,1.3542e+00,1.4483e+00,2.1114e+00,3.9193e+00,2.8414e+01,-5.2226e+03
1.4109e-01,-1.9028e+00,1.6446e+00,1.8201e+00,1.6863e+00,3.5908e+00,3.5730e+00,2.8572e+01,-5.2623e+03
1.2444e-01,-1.8025e+00,1.7317e+00,8.2080e-01,2.7293e+00,3.2153e+00,3.8012e+00,2.8608e+01,-5.2345e+03
1.5761e-01,-1.6478e+00,1.5928e+00,2.0275e+00,1.8148e+00,3.1011e+00,3.8459e+00,2.8460e+01,-5.1377e+03
7.2674e-02,-1.5721e+00,1.5663e+00,2.2066e+00,1.2093e+00,1.7788e+00,3.9544e+00,2.8550e+01,-5.2627e+03
1.4773e-01,-1.2939e+00,1.7147e+00,1.3406e-01,2.2502e+00,3.1581e+00,3.7852e+00,2.8396e+01,-5.0966e+03
1.3426e-01,-1.7424e+00,1.7080e+00,2.1674e+00,2.0554e+00,2.5266e+00,4.0774e+00,2.8874e+01,-5.0934e+03
1.8337e-01,-1.1536e+00,1.7208e+00,2.1899e+00,7.7089e-01,3.6584e+00,3.7062e+00,2.8797e+01,-5.1363e+03
1.7912e-01,-1.0719e+00,1.6563e+00,1.9005e+00,1.3917e+00,3.0749e+00,3.8617e+00,2.8449e+01,-4.9337e+03
2.4824e-01,-1.8064e+00,1.6567e+00,-8.6149e-02,1.2025e+00,3.6974e+00,3.1985e+00,2.8437e+01,-5.5173e+03
1.6873e-01,-1.8604e+00,1.6132e+00,1.5390e+00,1.2855e+00,2.9964e+00,3.7887e+00,2.8272e+01,-5.2459e+03
1.9507e-01,-1.2871e+00,1.6696e+00,1.0130e+00,2.2012e+00,3.5971e+00,3.4564e+00,2.8484e+01,-5.4117e+03
2.3091e-01,-1.1651e+00,1.4840e+00,2.0958e+00,6.5324e-01,3.0091e+00,3.7497e+00,2.8151e+01,-4.9360e+03
8.3054e-02,-1.0516e+00,1.6751e+00,1.4553e+00,2.4116e+00,3.0392e+00,3.7784e+00,2.8403e+01,-5.4142e+03
1.9974e-01,-1.6948e+00,1.5931e+00,5.4176e-01,2.7720e+00,2.7662e+00,3.7392e+00,2.8280e+01,-5.5436e+03
1.7230e-01,-1.5788e+00,1.6857e+00,1.5198e+00,1.5824e+00,2.2768e+00,3.8853e+00,2.8285e+01,-5.3421e+03
1.2979e-01,-1.8896e+00,1.6229e+00,1.6905e+00,1.1939e+00,3.0681e+00,3.7754e+00,2.8318e+01,-5.5252e+03
1.6030e-01,-1.3385e+00,1.4897e+00,1.9462e+00,2.8819e+00,1.7881e+00,3.7809e+00,2.8384e+01,-5.5677e+03
-2.5982e-02,-1.2644e+00,1.6694e+00,1.7285e+00,1.8627e+00,2.0618e+00,3.9203e+00,2.8483e+01,-5.3952e+03
1.8500e-01,-1.3196e+00,1.7047e+00,1.8506e+00,9.5832e-01,3.3906e+00,3.8627e+00,2.8623e+01,-5.3372e+03
8.1130e-02,-1.6790e+00,1.7069e+00,1.9020e+00,7.0460e-01,2.4912e+00,4.0145e+00,2.8692e+01,-4.9817e+03
1.6126e-01,-1.3630e+00,1.6931e+00,1.2686e+00,1.9964e+00,2.6110e+00,3.8447e+00,2.8243e+01,-5.4090e+03
1.4946e-01,-1.9943e+00,1.6740e+00,1.4480e+00,1.9532e+00,3.7513e+00,2.9776e+00,2.8570e+01,-5.3696e+03
1.7891e-01,-1.1203e+00,1.6215e+00,2.3563e+00,1.4874e+00,3.2788e+00,3.9415e+00,2.8766e+01,-5.2379e+03
1.2309e-01,-1.1435e+00,1.7218e+00,2.8841e-01,1.8299e+00,3.5137e+00,3.5694e+00,2.8410e+01,-5.4387e+03
1.4607e-01,-1.9372e+00,1.6478e+00,1.6038e+00,2.8209e+00,3.2514e+00,3.8217e+00,2.8728e+01,-5.5484e+03
1.9811e-01,-1.5625e+00,1.6698e+00,1.6093e+00,2.7411e+00,1.6263e+00,3.9318e+00,2.8559e+01,-5.0814e+03
2.2670e-01,-1.1062e+00,1.6904e+00,1.0603e+00,2.6778e+00,3.7231e+00,2.9054e+00,2.8562e+01,-5.5018e+03
1.7786e-01,-1.3393e+00,1.6907e+00,1.5944e+00,1.3814e+00,3.1412e+00,3.8910e+00,2.8520e+01,-5.3049e+03
1.9415e-01,-1.2669e+00,1.4547e+00,2.1357e+00,2.3830e+00,3.0143e+00,3.7656e+00,2.8371e+01,-5.5137e+03
1.4958e-01,-1.6604e+00,1.7321e+00,1.0500e+00,2.7815e+00,2.9555e+00,3.8929e+00,2.8677e+01,-4.9749e+03
1.8381e-01,-1.0523e+00,1.6257e+00,1.7805e+00,1.9126e+00,2.8517e+00,3.8252e+00,2.8267e+01,-4.9358e+03
1.7220e-01,-1.0015e+00,1.7205e+00,4.9762e-03,2.7210e+00,2.8467e+00,3.7901e+00,2.8376e+01,-4.9189e+03
2.1540e-01,-1.4110e+00,1.7065e+00,3.1434e-01,2.5209e+00,3.6801e+00,3.3545e+00,2.8555e+01,-5.4503e+03
1.8889e-01,-1.0542e+00,1.6508e+00,4.0479e-01,1.9232e+00,3.6174e+00,2.9024e+00,2.8179e+01,-5.5653e+03
1.8138e-01,-1.5570e+00,1.6245e+00,1.8749e+00,1.5936e+00,3.0404e+00,3.8434e+00,2.8380e+01,-5.2186e+03
1.8608e-01,-1.4846e+00,1.7223e+00,1.9752e-01,1.3826e+00,3.6216e+00,3.4960e+00,2.8477e+01,-5.1787e+03
1.7130e-01,-1.3410e+00,1.6533e+00,2.2003e+00,6.6442e-01,2.2935e+00,3.9798e+00,2.8570e+01,-5.0191e+03
2.2206e-01,-1.5880e+00,1.6577e+00,7.8883e-01,3.0097e+00,1.8714e+00,3.8584e+00,2.8552e+01,-5.5102e+03
4.4254e-02,-1.0041e+00,1.7062e+00,1.5865e+00,2.9302e+00,1.9598e+00,3.8410e+00,2.8581e+01,-5.5258e+03
1.2072e-01,-1.6975e+00,1.6859e+00,-1.6094e-01,1.8173e+00,2.8764e+00,3.8651e+00,2.8397e+01,-5.3303e+03
1.5827e-01,-1.0792e+00,1.7168e+00,1.6254e+00,2.1604e+00,2.1374e+00,3.8680e+00,2.8287e+01,-5.2446e+03
1.7395e-01,-1.5969e+00,1.6354e+00,2.0130e+00,1.2138e+00,2.6819e+00,3.9618e+00,2.8520e+01,-5.1917e+03
9.6514e-02,-1.8676e+00,1.7082e+00,1.8007e+00,3.9802e-01,3.4143e+00,3.8175e+00,2.8675e+01,-4.9905e+03
1.9189e-01,-1.9311e+00,1.5999e+00,1.8881e+00,1.6530e+00,2.2910e+00,3.9012e+00,2.8376e+01,-5.3356e+03
1.0007e-01,-1.7526e+00,1.6806e+00,1.1449e+00,1.1377e+00,3.2122e+00,3.7852e+00,2.8414e+01,-5.3434e+03
1.6487e-01,-1.3982e+00,1.4740e+00,2.3244e+00,7.9388e-01,2.1955e+00,3.9174e+00,2.8424e+01,-5.5655e+03
-2.8877e-02,-1.3803e+00,1.6731e+00,1.3295e+00,2.2391e+00,2.7539e+00,3.8352e+00,2.8419e+01,-5.4183e+03
1.3457e-01,-1.0033e+00,1.3488e+00,2.2053e+00,1.1520e+00,2.5728e+00,3.7501e+00,2.8066e+01,-5.4308e+03
7.7149e-02,-1.5431e+00,1.6466e+00,-1.1262e-01,2.7577e+00,2.2088e+00,3.8352e+00,2.8447e+01,-5.4969e+03
2.1875e-01,-1.3578e+00,1.5906e+00,2.0652e+00,1.2138e+00,3.4125e+00,3.7445e+00,2.8481e+01,-5.1065e+03
9.1352e-02,-1.6625e+00,1.6403e+00,1.7013e+00,1.2095e+00,2.9211e+00,3.8954e+00,2.8494e+01,-5.4917e+03
1.2880e-01,-1.3456e+00,1.7279e+00,1.8405e+00,1.6985e+00,1.7515e+00,4.0382e+00,2.8670e+01,-5.2653e+03
4.2767e-02,-1.0903e+00,1.7120e+00,1.5959e+00,1.3915e+00,3.3257e+00,3.7527e+00,2.8512e+01,-5.4247e+03
1.8161e-01,-1.5326e+00,1.7114e+00,1.9552e+00,1.0888e+00,2.4439e+00,4.0621e+00,2.8740e+01,-5.3188e+03
1.7144e-01,-1.4022e+00,1.7245e+00,6.5035e-01,5.4218e-01,3.5356e+00,3.5607e+00,2.8390e+01,-5.3815e+03
1.1317e-01,-1.7413e+00,1.5321e+00,1.9097e+00,2.1141e+00,2.4764e+00,3.8073e+00,2.8245e+01,-5.3818e+03
7.9600e-02,-1.5533e+00,1.6292e+00,1.6211e+00,9.3333e-01,1.7813e+00,3.8815e+00,2.8301e+01,-5.3953e+03
2.4642e-01,-1.3740e+00,1.6306e+00,2.0603e-01,2.6462e+00,3.4751e+00,3.4185e+00,2.8335e+01,-5.5558e+03
7.7769e-02,-1.2334e+00,1.5139e+00,2.0289e+00,1.6943e+00,2.7948e+00,3.7896e+00,2.8278e+01,-5.4015e+03
7.8315e-02,-1.7628e+00,1.7166e+00,1.5498e+00,1.0941e+00,2.1794e+00,3.9577e+00,2.8527e+01,-5.1835e+03
1.9259e-01,-1.1270e+00,1.6515e+00,1.4432e+00,1.7040e+00,3.3506e+00,3.5962e+00,2.8184e+01,-5.3670e+03
1.9889e-01,-1.9497e+00,1.6567e+00,1.5188e+00,2.8147e+00,2.1497e+00,3.8609e+00,2.8490e+01,-5.2842e+03
8.7836e-03,-1.0515e+00,1.5764e+00,2.0474e+00,2.1076e+00,2.6157e+00,3.8414e+00,2.8405e+01,-5.4984e+03
1.6057e-01,-1.6494e+00,1.6299e+00,1.7910e+00,1.5041e+00,3.5403e+00,3.5215e+00,2.8419e+01,-5.4651e+03
1.8514e-01,-1.5055e+00,1.4956e+00,2.2597e+00,5.2126e-01,1.6208e+00,3.9507e+00,2.8491e+01,-5.3165e+03
3.0090e-02,-1.3428e+00,1.7259e+00,5.1582e-01,2.0182e+00,3.5185e+00,3.6071e+00,2.8583e+01,-5.5572e+03
1.9836e-01,-1.4621e+00,1.7003e+00,1.2281e+00,7.6208e-01,1.7439e+00,3.9159e+00,2.8299e+01,-5.2026e+03
1.0629e-01,-1.9991e+00,1.6940e+00,2.0064e+00,1.5884e+00,3.5429e+00,3.8104e+00,2.8817e+01,-5.2371e+03
1.0544e-01,-1.0427e+00,1.7162e+00,2.2002e+00,2.8757e+00,1.7430e+00,3.9581e+00,2.8737e+01,-5.5679e+03
1.9587e-01,-1.6410e+00,1.6370e+00,5.2025e-01,2.7547e+00,2.6335e+00,3.7658e+00,2.8285e+01,-5.4359e+03
1.4146e-01,-1.7204e+00,1.6920e+00,1.4114e+00,2.3550e+00,3.7418e+00,3.1920e+00,2.8650e+01,-5.4521e+03
-8.7362e-03,-1.8147e+00,1.7213e+00,1.9231e+00,8.9862e-01,2.8053e+00,3.9563e+00,2.8638e+01,-5.5386e+03
1.9387e-01,-1.7464e+00,1.7304e+00,-1.6134e-01,1.0236e+00,3.7170e+00,3.5241e+00,2.8672e+01,-5.3591e+03
2.4354e-01,-1.5595e+00,1.5398e+00,2.2083e+00,2.0264e+00,3.2679e+00,3.8422e+00,2.8575e+01,-5.4257e+03
1.3708e-01,-1.2784e+00,1.6775e+00,1.4809e+00,1.9750e+00,2.5462e+00,3.8696e+00,2.8335e+01,-5.0321e+03
1.4396e-01,-1.1869e+00,1.6276e+00,1.7954e+00,1.4924e+00,3.6871e+00,3.2099e+00,2.8483e+01,-5.2847e+03
1.4972e-01,-1.3691e+00,1.7209e+00,1.5703e+00,4.4774e-01,2.5655e+00,3.9575e+00,2.8524e+01,-5.2984e+03
8.0056e-02,-1.9575e+00,1.6548e+00,1.3787e+00,1.2983e+00,3.5919e+00,3.5466e+00,2.8570e+01,-5.4853e+03
1.3447e-01,-1.4894e+00,1.6438e+00,1.6499e+00,1.3100e+00,3.7665e+00,2.9054e+00,2.8589e+01,-5.3392e+03
-1.5909e-02,-1.0445e+00,1.7189e+00,1.7771e+00,1.9272e+00,1.9090e+00,3.8995e+00,2.8397e+01,-5.3233e+03
1.8605e-01,-1.6277e+00,1.7107e+00,1.9265e+00,4.8926e-01,3.7953e+00,3.3471e+00,2.8783e+01,-5.3187e+03
2.2464e-01,-1.6179e+00,1.7244e+00,1.6913e+00,2.3211e+00,2.0321e+00,3.9602e+00,2.8471e+01,-5.5187e+03
1.2904e-01,-1.5071e+00,1.6869e+00,2.2249e+00,2.2097e+00,3.3209e+00,3.9677e+00,2.8888e+01,-5.3866e+03
1.7272e-01,-1.7990e+00,1.4893e+00,2.1320e+00,1.7447e+00,2.1307e+00,3.8757e+00,2.8308e+01,-5.1833e+03
-4.1688e-02,-1.0637e+00,1.6520e+00,2.0485e+00,1.0722e+00,1.9765e+00,3.9777e+00,2.8591e+01,-5.4893e+03
1.1363e-01,-1.4313e+00,1.6527e+00,2.0175e+00,2.1080e+00,3.1935e+00,3.8744e+00,2.8643e+01,-5.0179e+03
1.8909e-01,-1.1984e+00,1.7063e+00,1.0163e+00,6.9608e-01,3.5406e+00,3.6234e+00,2.8497e+01,-5.3989e+03
5.0995e-02,-1.4882e+00,1.6710e+00,1.8674e+00,1.8545e+00,2.1955e+00,3.9304e+00,2.8485e+01,-5.1157e+03
2.3485e-01,-1.3218e+00,1.6277e+00,2.0745e+00,1.5907e+00,1.9569e+00,3.9371e+00,2.8392e+01,-5.2813e+03
1.8069e-01,-1.9816e+00,1.7014e+00,1.7194e-01,2.3908e+00,1.9068e+00,3.9031e+00,2.8370e+01,-5.2740e+03
1.2312e-01,-1.0629e+00,1.6946e+00,5.2292e-02,2.7551e+00,3.3566e+00,3.5617e+00,2.8447e+01,-5.4692e+03
