logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
3.9067e-01,-8.8989e-01,-1.7636e+00,1.9779e-01,-5.9318e-01,2.6928e+00,1.3594e+00,2.4862e+01,-1.5277e+03
4.4017e-01,-9.3432e-01,-8.9193e-01,2.5002e-01,1.1471e+00,2.7693e+00,1.6165e+00,2.5178e+01,-1.4302e+03
4.6165e-01,-1.9007e+00,-1.3290e+00,-6.4732e-01,4.9128e-01,1.8980e+00,2.8441e+00,2.5052e+01,-1.5421e+03
4.6612e-01,-1.6759e+00,-1.8870e+00,2.3830e-01,9.1499e-01,1.3874e+00,2.9390e+00,2.5156e+01,-1.8510e+03
1.9815e-01,-8.6076e-01,-5.7439e-01,-1.1962e+00,9.5263e-01,2.7125e+00,1.5556e+00,2.4995e+01,-1.6743e+03
3.9092e-01,-1.1107e+00,-1.4141e+00,-9.1060e-02,1.6805e+00,3.5002e-01,2.7923e+00,2.4882e+01,-1.7306e+03
2.5611e-01,-1.4815e+00,-2.0948e+00,-1.5456e-01,1.2101e+00,9.1135e-01,2.9672e+00,2.5288e+01,-1.8287e+03
4.2793e-01,-1.0704e+00,-2.2340e+00,-3.4573e-01,7.3876e-01,2.4101e+00,2.4186e+00,2.4727e+01,-1.3073e+03
2.5374e-01,-1.0339e+00,-2.1121e+00,-2.2010e-01,2.0147e+00,8.4645e-01,2.9512e+00,2.5486e+01,-1.8110e+03
4.1926e-01,-1.1306e+00,-6.7593e-01,-5.6387e-01,1.0032e+00,2.5045e+00,2.5722e+00,2.5077e+01,-1.3406e+03
1.2593e-01,-1.0255e+00,-2.2638e+00,-1.2402e-01,1.6057e+00,1.4373e+00,2.8308e+00,2.5051e+01,-1.5290e+03
4.9870e-01,-1.0501e+00,-1.3586e+00,-1.2193e+00,-3.3407e-02,2.5227e+00,2.0174e+00,2.4614e+01,-1.7671e+03
3.7803e-01,-1.2026e+00,-1.2084e+00,-9.2793e-01,-1.4990e-01,2.4109e+00,2.6137e+00,2.4965e+01,-1.5491e+03
4.6412e-01,-1.2118e+00,-2.0646e+00,-1.5715e+00,1.8532e+00,9.3995e-01,2.8738e+00,2.5190e+01,-1.8124e+03
3.8296e-01,-1.1978e+00,-2.2709e+00,-1.8703e-01,1.6079e+00,1.4524e+00,2.7775e+00,2.4928e+01,-1.7442e+03
3.0600e-01,-9.8435e-01,-6.6874e-01,-1.8665e-01,-9.8478e-01,2.5582e+00,2.3282e+00,2.4882e+01,-1.4255e+03
4.5769e-01,-9.0854e-01,-1.7493e+00,-6.9986e-02,2.1977e-01,2.5957e+00,1.5402e+00,2.4632e+01,-1.6941e+03
4.4012e-01,-9.1051e-01,-2.3756e+00,-1.2437e+00,1.2747e+00,2.5062e+00,1.9426e+00,2.4627e+01,-1.6164e+03
2.8019e-01,-1.3366e+00,-1.3746e+00,-8.9748e-01,1.4958e+00,4.8504e-01,2.9408e+00,2.5221e+01,-1.6453e+03
1.2049e-01,-1.0024e+00,-2.7112e+00,-6.2641e-01,1.6731e+00,1.7583e+00,2.8193e+00,2.5099e+01,-1.4537e+03
2.5757e-01,-9.1859e-01,-7.0043e-01,-1.4097e+00,5.6517e-01,2.5393e+00,2.0931e+00,2.4722e+01,-1.5151e+03
3.9801e-01,-1.1008e+00,-1.1800e+00,-1.1490e+00,9.4562e-01,2.5219e+00,2.4095e+00,2.4947e+01,-1.6103e+03
3.5044e-01,-1.0547e+00,-8.1661e-01,-9.7693e-01,9.2229e-01,2.5345e+00,2.4542e+00,2.4991e+01,-1.2033e+03
3.3897e-01,-8.3115e-01,-2.0308e+00,-2.2161e-01,1.7432e+00,2.5089e+00,1.9670e+00,2.4847e+01,-1.2902e+03
1.2825e-01,-7.6795e-01,-4.2635e-01,-2.8623e-01,1.3876e+00,2.6513e+00,1.7058e+00,2.4902e+01,-1.8723e+03
4.8738e-01,-1.3199e+00,-1.8575e+00,-3.1073e-02,7.2000e-01,2.1442e+00,2.6597e+00,2.4762e+01,-1.7817e+03
3.4438e-01,-1.2707e+00,-1.3117e+00,4.6273e-02,1.6431e+00,2.4317e-01,2.9389e+00,2.5237e+01,-1.5123e+03
1.8486e-01,-8.5093e-01,-1.8376e+00,-6.7721e-01,1.3644e+00,2.6864e+00,1.4557e+00,2.5007e+01,-1.8167e+03
4.7434e-01,-9.8081e-01,-2.0022e+00,-1.1909e+00,-1.7393e-01,2.5782e+00,1.4748e+00,2.4613e+01,-1.6640e+03
1.5410e-01,-7.4610e-01,-6.4089e-01,3.6572e-01,1.7791e+00,2.7125e+00,1.4832e+00,2.5199e+01,-1.5985e+03
4.0357e-01,-1.2873e+00,-8.7967e-01,-2.6249e-01,1.6644e+00,1.4215e+00,2.9140e+00,2.5267e+01,-1.7851e+03
4.7457e-01,-1.6565e+00,-1.2279e+00,-9.4467e-02,1.1818e+00,1.4224e+00,2.8778e+00,2.5057e+01,-1.4255e+03
-2.1830e-01,-7.4244e-01,-1.0537e+00,4.5713e-01,1.5447e+00,2.5793e+00,2.6504e+00,2.5440e+01,-1.8653e+03
4.6029e-01,-1.6321e+00,-1.3763e+00,-1.6510e+00,1.2278e+00,1.6453e+00,2.8567e+00,2.5030e+01,-1.5456e+03
4.8831e-01,-9.1174e-01,-2.1173e+00,-3.9129e-01,-1.0707e+00,2.5815e+00,9.7444e-01,2.4518e+01,-1.7733e+03
1.6650e-01,-1.1674e+00,-2.5100e+00,-5.4080e-01,1.7267e+00,8.7775e-01,2.9490e+00,2.5369e+01,-1.7618e+03
3.0220e-01,-9.0421e-01,-2.4192e+00,-1.3795e+00,8.8095e-01,2.6098e+00,1.6199e+00,2.4759e+01,-1.5532e+03
3.1929e-01,-1.6264e+00,-2.5508e+00,-6.9570e-01,7.1063e-01,1.5611e+00,2.8692e+00,2.5028e+01,-1.8738e+03
1.0534e-01,-8.3658e-01,-1.1902e+00,2.4614e-01,1.3707e+00,2.5375e+00,2.4066e+00,2.5038e+01,-1.3315e+03
1.4212e-01,-8.3340e-01,-1.8106e+00,6.3346e-01,-3.0978e-01,2.6901e+00,2.1710e+00,2.5075e+01,-1.6341e+03
4.4089e-01,-1.7681e+00,-2.2716e+00,-8.7798e-01,1.0226e+00,1.2542e+00,2.8515e+00,2.4952e+01,-1.7603e+03
4.1485e-01,-1.3629e+00,-1.1055e+00,-1.4023e+00,1.6414e+00,1.0712e+00,2.8850e+00,2.5149e+01,-1.4441e+03
1.7584e-01,-1.2777e+00,-1.0952e+00,-2.9485e-01,-5.7061e-02,1.9560e+00,2.8534e+00,2.5093e+01,-1.8437e+03
2.4877e-01,-8.7953e-01,-1.8563e+00,4.4613e-01,1.2270e+00,2.6285e+00,2.2608e+00,2.5037e+01,-1.6454e+03
