logfeh,logdust,logNpix,logage,logl
3.1584e-01,-1.3715e+00,4.6252e+00,9.8427e+00,-2.2823e+03
-8.7290e-02,-1.0174e+00,4.6140e+00,9.9620e+00,-2.4322e+03
2.1701e-02,-1.4110e+00,4.6676e+00,1.0066e+01,-1.7405e+03
3.0490e-01,-1.1195e+00,4.4584e+00,9.5857e+00,-2.3324e+03
1.4131e-01,-1.8658e+00,4.6106e+00,9.9504e+00,-2.0837e+03
2.2060e-01,-1.0418e+00,4.5327e+00,9.6788e+00,-2.1995e+03
3.9327e-01,-1.7085e+00,4.5950e+00,9.8139e+00,-2.7213e+03
-1.4274e-01,-1.1047e+00,4.5832e+00,9.9273e+00,-1.8148e+03
2.8230e-01,-1.2284e+00,4.5432e+00,9.7678e+00,-1.6846e+03
-7.6610e-02,-1.0463e+00,4.5346e+00,9.8311e+00,-1.2323e+03
1.5548e-01,-1.6898e+00,4.6246e+00,9.9628e+00,-1.4336e+03
2.7749e-01,-1.8113e+00,4.6497e+00,9.9675e+00,-1.8345e+03
2.0571e-01,-1.3642e+00,4.5695e+00,9.7994e+00,-2.6776e+03
-2.7213e-01,-1.3017e+00,4.6337e+00,1.0095e+01,-2.8307e+03
7.9869e-02,-1.1920e+00,4.6397e+00,9.9657e+00,-2.7403e+03
-2.3948e-01,-1.3240e+00,4.6772e+00,1.0130e+01,-1.3677e+03
1.5675e-01,-1.2288e+00,4.6221e+00,9.9180e+00,-2.1342e+03
-1.8639e-01,-1.1245e+00,4.6145e+00,9.9771e+00,-9.8476e+02
-1.8861e-01,-1.4393e+00,4.7047e+00,1.0178e+01,-2.3239e+03
-5.5734e-03,-1.5287e+00,4.7045e+00,1.0121e+01,-1.4454e+03
-7.1211e-02,-1.1614e+00,4.6740e+00,1.0071e+01,-2.7715e+03
4.0378e-02,-1.4144e+00,4.5897e+00,9.9367e+00,-2.8085e+03
2.4465e-01,-1.9624e+00,4.6389e+00,9.9583e+00,-2.1784e+03
-3.3802e-01,-1.0081e+00,4.6979e+00,1.0158e+01,-1.7118e+03
-1.3246e-01,-1.2592e+00,4.6117e+00,1.0011e+01,-1.5388e+03
3.7625e-01,-1.0381e+00,4.4182e+00,9.5016e+00,-2.0978e+03
-6.4585e-02,-1.4100e+00,4.6901e+00,1.0117e+01,-1.0770e+03
-3.5844e-01,-1.0217e+00,4.6902e+00,1.0138e+01,-2.1033e+03
1.2553e-01,-1.0558e+00,4.4498e+00,9.6530e+00,-2.3258e+03
4.2154e-01,-1.6685e+00,4.6409e+00,9.8713e+00,-2.5426e+03
4.2515e-01,-1.4296e+00,4.5778e+00,9.7534e+00,-2.2326e+03
1.0062e-01,-1.9297e+00,4.7203e+00,1.0124e+01,-2.2820e+03
4.1542e-01,-1.4691e+00,4.5328e+00,9.6843e+00,-2.6013e+03
-5.2640e-04,-1.2939e+00,4.5745e+00,9.8830e+00,-2.7500e+03
8.8160e-02,-1.3321e+00,4.6234e+00,9.9397e+00,-1.5484e+03
9.0010e-02,-1.0045e+00,4.4463e+00,9.6308e+00,-1.8895e+03
1.4479e-01,-1.6870e+00,4.6193e+00,9.9570e+00,-1.5125e+03
2.9953e-01,-1.9839e+00,4.6502e+00,9.9407e+00,-2.5181e+03
9.2683e-03,-1.2170e+00,4.5843e+00,9.8754e+00,-1.9269e+03
-1.1432e-01,-1.1451e+00,4.6690e+00,1.0025e+01,-1.6913e+03
4.0267e-01,-1.0926e+00,4.4994e+00,9.6093e+00,-2.2138e+03
9.7835e-02,-1.8670e+00,4.7241e+00,1.0098e+01,-2.4116e+03
-3.2396e-01,-1.4022e+00,4.6839e+00,1.0198e+01,-2.5337e+03
3.0235e-01,-1.4680e+00,4.6125e+00,9.8418e+00,-1.8439e+03
2.2845e-01,-1.0316e+00,4.4969e+00,9.6611e+00,-1.9359e+03
-1.0484e-01,-1.7615e+00,4.7264e+00,1.0197e+01,-1.3982e+03
2.9731e-01,-1.4057e+00,4.5604e+00,9.7774e+00,-2.4840e+03
5.2612e-02,-1.2789e+00,4.6175e+00,9.9596e+00,-1.4656e+03
4.1511e-01,-1.1274e+00,4.5361e+00,9.6292e+00,-2.4503e+03
2.6003e-02,-1.0121e+00,4.4540e+00,9.6964e+00,-2.3382e+03
3.6973e-01,-1.0530e+00,4.4939e+00,9.6124e+00,-2.1417e+03
4.4967e-02,-1.5763e+00,4.6545e+00,1.0029e+01,-2.0168e+03
1.0061e-01,-1.4479e+00,4.6200e+00,9.9460e+00,-1.1671e+03
3.0669e-01,-1.4439e+00,4.5805e+00,9.8209e+00,-2.4288e+03
-1.6403e-01,-1.1470e+00,4.6548e+00,1.0049e+01,-9.9697e+02
2.6907e-03,-1.1311e+00,4.5499e+00,9.8571e+00,-1.8872e+03
-2.5300e-01,-1.3134e+00,4.6990e+00,1.0188e+01,-7.7391e+02
-4.0860e-01,-1.1259e+00,4.6914e+00,1.0180e+01,-2.5620e+03
3.9517e-01,-1.1816e+00,4.5209e+00,9.6692e+00,-1.9904e+03
-1.8269e-01,-1.8623e+00,4.6997e+00,1.0188e+01,-1.2091e+03
-1.6670e-01,-1.4518e+00,4.6522e+00,1.0083e+01,-1.5924e+03
-2.6103e-01,-1.3678e+00,4.6936e+00,1.0181e+01,-8.2840e+02
2.5611e-01,-1.4133e+00,4.6303e+00,9.9193e+00,-2.5662e+03
-2.4568e-01,-1.1422e+00,4.7028e+00,1.0170e+01,-2.1835e+03
-1.4273e-01,-1.1292e+00,4.5931e+00,9.9597e+00,-2.5757e+03
3.3654e-01,-1.4771e+00,4.6223e+00,9.8657e+00,-2.1283e+03
-1.5883e-02,-1.1279e+00,4.5912e+00,9.9199e+00,-8.2126e+02
1.4928e-01,-1.7095e+00,4.6291e+00,9.9487e+00,-2.6889e+03
3.6559e-01,-1.5166e+00,4.6265e+00,9.8644e+00,-2.5485e+03
-1.2875e-01,-1.6007e+00,4.6969e+00,1.0127e+01,-1.1549e+03
7.1104e-02,-1.9163e+00,4.7091e+00,1.0119e+01,-1.7871e+03
9.7681e-02,-1.4535e+00,4.5867e+00,9.9105e+00,-2.2125e+03
-1.8610e-01,-1.3528e+00,4.6929e+00,1.0169e+01,-5.7747e+02
2.9397e-01,-1.9720e+00,4.7026e+00,1.0001e+01,-2.3079e+03
6.1942e-02,-1.7079e+00,4.6796e+00,1.0053e+01,-1.3119e+03
1.5481e-01,-1.4200e+00,4.6035e+00,9.9145e+00,-1.4038e+03
1.7533e-01,-1.2078e+00,4.5615e+00,9.7925e+00,-2.0903e+03
1.9709e-01,-1.5488e+00,4.6156e+00,9.9217e+00,-2.5208e+03
1.5091e-02,-1.2025e+00,4.6509e+00,1.0008e+01,-2.6923e+03
-6.9414e-02,-1.1545e+00,4.6359e+00,9.9837e+00,-2.1867e+03
7.3428e-02,-1.5378e+00,4.6441e+00,9.9980e+00,-2.6127e+03
-1.3373e-01,-1.3382e+00,4.6324e+00,1.0053e+01,-1.6531e+03
2.2000e-02,-1.4174e+00,4.7171e+00,1.0107e+01,-2.8268e+03
-1.4724e-01,-1.6491e+00,4.6524e+00,1.0079e+01,-2.5448e+03
4.4163e-02,-1.3736e+00,4.6479e+00,1.0016e+01,-2.3065e+03
3.3264e-01,-1.1460e+00,4.5456e+00,9.7010e+00,-2.6678e+03
2.7771e-01,-1.7739e+00,4.6450e+00,9.9414e+00,-2.1826e+03
6.5224e-02,-1.0703e+00,4.5776e+00,9.8610e+00,-1.7157e+03
1.0996e-01,-1.6571e+00,4.6968e+00,1.0032e+01,-2.0267e+03
2.3097e-01,-1.0594e+00,4.4631e+00,9.6137e+00,-2.6249e+03
3.1696e-02,-1.5367e+00,4.6731e+00,1.0051e+01,-2.6309e+03
2.7709e-01,-1.2410e+00,4.5738e+00,9.8101e+00,-1.7661e+03
7.6844e-02,-1.2097e+00,4.5973e+00,9.9174e+00,-1.4331e+03
1.7429e-01,-1.1508e+00,4.4879e+00,9.6885e+00,-2.2794e+03
2.8727e-01,-1.3870e+00,4.5989e+00,9.8630e+00,-2.0104e+03
-8.2703e-02,-1.5841e+00,4.7092e+00,1.0129e+01,-1.1204e+03
2.8099e-01,-1.1577e+00,4.5151e+00,9.6816e+00,-1.5927e+03
1.9137e-01,-1.5619e+00,4.6913e+00,1.0021e+01,-2.5417e+03
-9.8080e-02,-1.5695e+00,4.6935e+00,1.0153e+01,-2.6873e+03
4.2606e-01,-1.7508e+00,4.6353e+00,9.8292e+00,-2.7489e+03
-4.5204e-02,-1.9748e+00,4.7174e+00,1.0130e+01,-1.5379e+03
8.3047e-02,-1.3039e+00,4.6330e+00,9.9408e+00,-1.8266e+03
2.9502e-02,-1.4311e+00,4.6270e+00,1.0004e+01,-2.7475e+03
3.9084e-01,-1.8667e+00,4.6615e+00,9.9221e+00,-2.8319e+03
-1.5017e-01,-1.3667e+00,4.6355e+00,1.0049e+01,-2.3042e+03
2.3172e-01,-1.3289e+00,4.6051e+00,9.8454e+00,-1.8546e+03
3.0065e-01,-1.4209e+00,4.5376e+00,9.7295e+00,-2.6814e+03
3.7510e-01,-1.8091e+00,4.6563e+00,9.8915e+00,-2.4649e+03
-8.6209e-02,-1.8880e+00,4.6686e+00,1.0098e+01,-2.7972e+03
9.1092e-02,-1.2843e+00,4.6319e+00,9.9310e+00,-1.6707e+03
2.0244e-01,-1.5677e+00,4.6606e+00,9.9432e+00,-2.6986e+03
-4.0148e-01,-1.0647e+00,4.6768e+00,1.0127e+01,-2.8035e+03
2.1623e-01,-1.3543e+00,4.6380e+00,9.8879e+00,-2.5598e+03
-1.0927e-01,-1.3016e+00,4.6181e+00,1.0017e+01,-2.0005e+03
-1.0970e-01,-1.1160e+00,4.6402e+00,1.0018e+01,-1.0566e+03
3.2517e-01,-1.8329e+00,4.6314e+00,9.8985e+00,-2.6879e+03
5.6555e-02,-1.7491e+00,4.7064e+00,1.0084e+01,-2.6013e+03
3.6393e-01,-1.2464e+00,4.5424e+00,9.6884e+00,-2.3254e+03
1.4769e-02,-1.4604e+00,4.6412e+00,1.0001e+01,-2.4986e+03
3.0044e-01,-1.0450e+00,4.4778e+00,9.5972e+00,-1.8632e+03
-1.7224e-02,-1.5314e+00,4.7055e+00,1.0123e+01,-1.4602e+03
1.7526e-01,-1.3208e+00,4.5825e+00,9.8409e+00,-1.5506e+03
2.3567e-01,-1.2373e+00,4.5090e+00,9.6835e+00,-2.6711e+03
-4.6261e-02,-1.5644e+00,4.6585e+00,1.0049e+01,-1.1780e+03
2.3815e-01,-1.4716e+00,4.6327e+00,9.8882e+00,-1.8161e+03
1.3175e-02,-1.3346e+00,4.6410e+00,1.0018e+01,-1.0015e+03
-2.5183e-01,-1.0703e+00,4.6379e+00,1.0038e+01,-6.9951e+02
1.5769e-01,-1.1584e+00,4.5872e+00,9.8527e+00,-2.4626e+03
-1.2668e-02,-1.3951e+00,4.6006e+00,9.9349e+00,-2.2373e+03
3.1985e-01,-1.0330e+00,4.4400e+00,9.5690e+00,-1.6755e+03
-7.0990e-02,-1.4738e+00,4.7207e+00,1.0153e+01,-2.3169e+03
-1.0752e-01,-1.0857e+00,4.5694e+00,9.9166e+00,-1.2539e+03
7.8834e-02,-1.1171e+00,4.5337e+00,9.7967e+00,-1.3190e+03
1.8858e-01,-1.7139e+00,4.6828e+00,9.9805e+00,-1.8378e+03
1.2262e-01,-1.4080e+00,4.5924e+00,9.8998e+00,-1.6867e+03
7.8200e-02,-1.5460e+00,4.6924e+00,1.0041e+01,-2.0958e+03
2.7790e-01,-1.6658e+00,4.6492e+00,9.9580e+00,-2.4968e+03
2.4204e-01,-1.1324e+00,4.4823e+00,9.6367e+00,-2.1139e+03
3.8366e-01,-1.7461e+00,4.6229e+00,9.8438e+00,-2.2683e+03
1.4150e-01,-1.6065e+00,4.6226e+00,9.9742e+00,-1.3619e+03
-1.6796e-02,-1.3427e+00,4.6400e+00,1.0020e+01,-1.0142e+03
2.8698e-01,-1.3190e+00,4.6152e+00,9.8441e+00,-2.5866e+03
1.9827e-01,-1.3116e+00,4.5914e+00,9.8603e+00,-1.4947e+03
-1.4038e-01,-1.3391e+00,4.7101e+00,1.0163e+01,-1.5946e+03
