logfeh,logdust_med,logNpix,tau,dmod,logl
2.1814e-01,-1.9015e+00,3.7273e+00,9.9634e+00,2.8166e+01,-6.3060e+03
2.2716e-01,-1.9640e+00,3.7261e+00,9.9980e+00,2.8165e+01,-6.3039e+03
2.0866e-01,-1.8985e+00,3.7272e+00,9.9737e+00,2.8169e+01,-6.3053e+03
2.0878e-01,-1.9617e+00,3.7260e+00,9.9983e+00,2.8159e+01,-6.3014e+03
2.3666e-01,-1.9982e+00,3.7282e+00,9.9850e+00,2.8174e+01,-6.3138e+03
2.0247e-01,-1.9131e+00,3.7261e+00,9.9996e+00,2.8158e+01,-6.2878e+03
2.5000e-01,-1.9999e+00,3.7277e+00,9.9945e+00,2.8170e+01,-6.3130e+03
2.3952e-01,-1.9883e+00,3.7298e+00,9.9877e+00,2.8170e+01,-6.3141e+03
2.3092e-01,-1.9285e+00,3.7251e+00,1.0000e+01,2.8155e+01,-6.3099e+03
2.2465e-01,-1.9365e+00,3.7298e+00,9.9875e+00,2.8173e+01,-6.3117e+03
2.0906e-01,-1.9775e+00,3.7259e+00,9.9951e+00,2.8164e+01,-6.3089e+03
2.2655e-01,-1.9453e+00,3.7263e+00,9.9852e+00,2.8162e+01,-6.3133e+03
2.3529e-01,-1.9880e+00,3.7269e+00,9.9794e+00,2.8167e+01,-6.3010e+03
2.4379e-01,-1.9939e+00,3.7262e+00,9.9963e+00,2.8171e+01,-6.3108e+03
2.1381e-01,-1.9967e+00,3.7284e+00,9.9877e+00,2.8165e+01,-6.3032e+03
2.0047e-01,-1.9686e+00,3.7274e+00,9.9643e+00,2.8162e+01,-6.3158e+03
2.0825e-01,-1.9239e+00,3.7259e+00,9.9951e+00,2.8167e+01,-6.3062e+03
2.2732e-01,-1.9906e+00,3.7289e+00,9.9307e+00,2.8168e+01,-6.3156e+03
2.3897e-01,-1.9349e+00,3.7263e+00,9.9896e+00,2.8162e+01,-6.3156e+03
2.0926e-01,-1.8939e+00,3.7260e+00,9.9921e+00,2.8159e+01,-6.3033e+03
2.1233e-01,-1.9960e+00,3.7265e+00,9.9902e+00,2.8165e+01,-6.3038e+03
2.3417e-01,-1.8664e+00,3.7259e+00,9.9965e+00,2.8165e+01,-6.3137e+03
2.4323e-01,-1.9649e+00,3.7285e+00,9.9920e+00,2.8171e+01,-6.3151e+03
2.0134e-01,-1.9892e+00,3.7278e+00,9.9988e+00,2.8168e+01,-6.3128e+03
2.0094e-01,-1.9124e+00,3.7262e+00,9.9956e+00,2.8164e+01,-6.3150e+03
2.3179e-01,-1.9655e+00,3.7265e+00,9.9845e+00,2.8165e+01,-6.2982e+03
2.1141e-01,-1.9546e+00,3.7284e+00,9.9863e+00,2.8171e+01,-6.3141e+03
2.4679e-01,-1.9819e+00,3.7281e+00,9.9963e+00,2.8166e+01,-6.3029e+03
2.1964e-01,-1.9324e+00,3.7261e+00,9.9962e+00,2.8162e+01,-6.2883e+03
2.1470e-01,-1.9320e+00,3.7285e+00,9.9959e+00,2.8167e+01,-6.3004e+03
2.0194e-01,-1.9618e+00,3.7283e+00,9.9905e+00,2.8169e+01,-6.2989e+03
2.2316e-01,-1.9428e+00,3.7262e+00,9.9905e+00,2.8169e+01,-6.3115e+03
2.4699e-01,-1.9908e+00,3.7265e+00,9.9825e+00,2.8169e+01,-6.2858e+03
2.4351e-01,-1.9634e+00,3.7272e+00,9.9625e+00,2.8167e+01,-6.2956e+03
2.3609e-01,-1.9797e+00,3.7260e+00,9.9958e+00,2.8155e+01,-6.3097e+03
2.1529e-01,-1.8974e+00,3.7263e+00,9.9888e+00,2.8157e+01,-6.3099e+03
2.1155e-01,-1.9555e+00,3.7259e+00,9.9811e+00,2.8161e+01,-6.3118e+03
2.2100e-01,-1.9699e+00,3.7277e+00,9.9638e+00,2.8168e+01,-6.3122e+03
2.0902e-01,-1.9320e+00,3.7289e+00,9.9761e+00,2.8171e+01,-6.3155e+03
2.1450e-01,-1.9945e+00,3.7272e+00,9.9792e+00,2.8165e+01,-6.3127e+03
2.3314e-01,-1.9211e+00,3.7267e+00,9.9847e+00,2.8164e+01,-6.2992e+03
2.3419e-01,-1.9885e+00,3.7283e+00,9.9915e+00,2.8175e+01,-6.3138e+03
2.4057e-01,-1.9963e+00,3.7259e+00,9.9977e+00,2.8159e+01,-6.3011e+03
2.1606e-01,-1.9935e+00,3.7264e+00,9.9887e+00,2.8161e+01,-6.3075e+03
2.4319e-01,-1.8169e+00,3.7259e+00,9.9945e+00,2.8161e+01,-6.3075e+03
2.2675e-01,-1.9830e+00,3.7258e+00,9.9839e+00,2.8167e+01,-6.3057e+03
2.3821e-01,-1.9994e+00,3.7266e+00,9.9906e+00,2.8166e+01,-6.3029e+03
2.3310e-01,-1.9936e+00,3.7265e+00,9.9836e+00,2.8158e+01,-6.3068e+03
2.2476e-01,-1.9916e+00,3.7258e+00,9.9923e+00,2.8161e+01,-6.3156e+03
2.1731e-01,-1.9813e+00,3.7268e+00,9.9829e+00,2.8168e+01,-6.3162e+03
2.2730e-01,-1.9648e+00,3.7251e+00,9.9958e+00,2.8161e+01,-6.3147e+03
2.0129e-01,-1.9737e+00,3.7261e+00,9.9945e+00,2.8166e+01,-6.3125e+03
2.0998e-01,-1.9986e+00,3.7263e+00,9.9879e+00,2.8163e+01,-6.3100e+03
2.3944e-01,-1.9326e+00,3.7266e+00,9.9864e+00,2.8158e+01,-6.3154e+03
2.3152e-01,-1.9792e+00,3.7280e+00,9.9940e+00,2.8167e+01,-6.3070e+03
2.2223e-01,-1.9871e+00,3.7264e+00,9.9933e+00,2.8163e+01,-6.2756e+03
2.2564e-01,-1.8910e+00,3.7271e+00,9.9750e+00,2.8164e+01,-6.3089e+03
2.3462e-01,-1.8757e+00,3.7284e+00,9.9992e+00,2.8170e+01,-6.3081e+03
2.0435e-01,-1.9121e+00,3.7268e+00,9.9819e+00,2.8162e+01,-6.3052e+03
2.3205e-01,-1.9148e+00,3.7261e+00,9.9958e+00,2.8163e+01,-6.2792e+03
2.2154e-01,-1.9996e+00,3.7255e+00,9.9533e+00,2.8165e+01,-6.3161e+03
2.4949e-01,-1.9877e+00,3.7283e+00,9.9989e+00,2.8171e+01,-6.2916e+03
2.3530e-01,-1.9884e+00,3.7260e+00,9.9856e+00,2.8168e+01,-6.3137e+03
2.0758e-01,-1.9694e+00,3.7299e+00,9.9872e+00,2.8172e+01,-6.3107e+03
2.3522e-01,-1.8026e+00,3.7260e+00,9.9931e+00,2.8155e+01,-6.3020e+03
2.4744e-01,-1.9362e+00,3.7260e+00,9.9881e+00,2.8159e+01,-6.3149e+03
2.1070e-01,-1.8657e+00,3.7261e+00,9.9879e+00,2.8165e+01,-6.3064e+03
2.2338e-01,-1.9692e+00,3.7272e+00,9.9732e+00,2.8168e+01,-6.2939e+03
2.4265e-01,-1.9545e+00,3.7255e+00,9.9960e+00,2.8162e+01,-6.3151e+03
2.2650e-01,-1.9153e+00,3.7258e+00,9.9851e+00,2.8162e+01,-6.3119e+03
2.4672e-01,-1.9663e+00,3.7284e+00,9.9864e+00,2.8170e+01,-6.3056e+03
2.2773e-01,-1.9314e+00,3.7259e+00,9.9828e+00,2.8163e+01,-6.2934e+03
2.2995e-01,-1.9689e+00,3.7282e+00,9.9880e+00,2.8165e+01,-6.2944e+03
2.2057e-01,-1.9898e+00,3.7300e+00,9.9957e+00,2.8174e+01,-6.3102e+03
2.4747e-01,-1.9326e+00,3.7283e+00,9.9879e+00,2.8166e+01,-6.3076e+03
2.0945e-01,-1.9516e+00,3.7265e+00,9.9880e+00,2.8166e+01,-6.3138e+03
2.4863e-01,-1.9855e+00,3.7247e+00,9.9948e+00,2.8159e+01,-6.3145e+03
2.2806e-01,-1.9491e+00,3.7260e+00,9.9900e+00,2.8159e+01,-6.2882e+03
2.2146e-01,-1.9714e+00,3.7260e+00,9.9950e+00,2.8167e+01,-6.2935e+03
