logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
9.0309e-02,-1.4445e+00,1.3402e+00,2.1289e+00,2.5507e+00,3.3906e+00,2.6507e+00,2.9571e+01,-1.9065e+03
-5.5048e-01,-6.0811e-01,1.6961e+00,1.9976e+00,1.3716e+00,3.2636e+00,3.6368e+00,2.9828e+01,-1.7237e+03
-7.3804e-02,-7.7812e-01,2.2581e+00,1.5120e+00,3.7575e+00,1.3852e+00,3.2510e+00,3.1063e+01,-1.4751e+03
-2.7527e-01,-1.3204e+00,1.2310e+00,2.0303e+00,1.6843e+00,3.5335e+00,2.6176e+00,2.9673e+01,-1.9546e+03
-9.6215e-01,-1.3684e+00,1.4595e+00,5.9733e-01,7.2228e-01,3.7276e+00,2.7498e+00,3.0118e+01,-1.6310e+03
-4.5564e-01,-1.5387e+00,1.4501e+00,1.5770e+00,1.5564e+00,2.8431e+00,3.5127e+00,2.9307e+01,-1.3795e+03
-5.3474e-01,-1.3797e+00,1.6503e+00,8.8096e-01,2.5754e+00,3.8505e+00,2.9594e+00,3.0516e+01,-1.9712e+03
-2.0191e-01,-1.8624e+00,1.8762e+00,1.5906e+00,2.6178e+00,3.0355e+00,3.8625e+00,3.0242e+01,-1.0521e+03
-1.2661e-01,-6.0365e-01,2.3899e+00,1.7875e+00,3.8968e+00,1.4321e+00,3.2910e+00,3.1395e+01,-7.5677e+02
-4.6924e-02,-7.0936e-01,1.8870e+00,1.8552e+00,2.3570e+00,3.1163e+00,3.6278e+00,2.9738e+01,-1.8802e+03
-2.5857e-01,-6.6590e-01,1.5146e+00,1.9197e+00,2.2030e+00,3.4324e+00,3.0166e+00,2.9481e+01,-1.5281e+03
-1.3459e-01,-9.9725e-01,2.2725e+00,2.3785e+00,1.6579e+00,4.2251e+00,2.3847e+00,3.1275e+01,-1.7835e+03
1.2682e-01,-1.5478e+00,2.0234e+00,3.4746e-01,2.8903e+00,2.1715e+00,4.0226e+00,3.0389e+01,-1.2671e+03
3.7396e-01,-1.4430e+00,1.7743e+00,2.2650e+00,3.4877e+00,3.4303e+00,2.4884e+00,3.0616e+01,-1.7094e+03
-6.5923e-01,-6.3504e-01,1.0105e+00,2.4426e+00,2.4614e+00,3.3051e+00,3.2915e+00,2.9755e+01,-1.8771e+03
2.4946e-01,-8.8855e-01,1.7132e+00,3.7953e-02,2.9525e+00,2.9534e+00,3.2849e+00,2.9506e+01,-1.8422e+03
-6.0052e-01,-1.5617e+00,1.6327e+00,6.2880e-01,2.8010e+00,3.6512e+00,3.1619e+00,3.0280e+01,-1.2436e+03
1.5484e-01,-1.3940e+00,2.3350e+00,7.7740e-01,2.5907e+00,2.2440e+00,4.3704e+00,3.1071e+01,-1.8160e+03
2.8418e-02,-1.7480e+00,2.0262e+00,1.7305e+00,3.7713e+00,1.8575e+00,3.5550e+00,3.1139e+01,-1.9685e+03
1.5557e-01,-1.7586e+00,2.4572e+00,2.1486e+00,3.5596e+00,2.2654e+00,4.4688e+00,3.1690e+01,-1.9205e+03
-7.7315e-01,-1.6612e+00,3.3336e-01,1.9739e+00,6.0936e-01,1.6354e+00,3.5919e+00,2.9243e+01,-1.9750e+03
8.8992e-02,-1.3927e+00,1.2917e+00,2.6725e+00,1.0330e+00,2.5827e+00,3.9190e+00,3.0132e+01,-1.7446e+03
3.0124e-01,-1.2438e+00,1.4183e+00,1.9763e+00,3.2456e+00,2.7377e+00,2.9338e+00,2.9814e+01,-1.6110e+03
-5.1651e-01,-9.1041e-01,1.9879e+00,3.0757e-01,1.5840e+00,3.8859e+00,2.2390e+00,3.0478e+01,-1.7502e+03
-6.4023e-01,-5.2095e-01,2.0725e+00,2.0038e+00,1.2982e+00,2.1450e+00,4.1139e+00,3.0452e+01,-1.6488e+03
-1.3157e-01,-1.3268e+00,2.4356e+00,2.2201e+00,3.4589e+00,2.3613e+00,4.5151e+00,3.1800e+01,-1.5163e+03
2.9299e-01,-6.0158e-01,1.6816e+00,2.4774e+00,9.5854e-01,3.4483e+00,3.6514e+00,2.9868e+01,-1.7143e+03
