logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.6797e-01,-1.3535e+00,-7.8482e-02,2.1767e+00,1.3041e+00,3.3092e+00,3.5464e+00,2.9536e+01,-1.5301e+03
-2.5480e-01,-1.0883e+00,1.6313e+00,1.7101e+00,1.6891e+00,3.7029e+00,3.7348e+00,3.0249e+01,-1.3971e+03
-3.6395e-01,-1.4608e+00,1.2079e+00,1.6548e+00,2.1076e+00,3.7094e+00,3.1830e+00,2.9960e+01,-1.2744e+03
-2.0232e-01,-1.2533e+00,-2.8091e-01,2.1089e+00,1.9594e+00,2.8179e+00,3.6737e+00,2.9411e+01,-1.6051e+03
-3.8998e-01,-1.0908e+00,8.0641e-01,1.8328e+00,7.8515e-01,1.7385e+00,3.6052e+00,2.8968e+01,-1.5840e+03
-5.5929e-01,-1.1866e+00,1.0867e+00,1.8027e+00,1.6671e+00,3.2954e+00,3.6040e+00,2.9678e+01,-1.5195e+03
-6.4848e-01,-1.1292e+00,3.3046e-01,1.8883e+00,1.4021e+00,3.1461e+00,3.6558e+00,2.9606e+01,-1.5400e+03
-2.5805e-01,-1.6741e+00,1.6098e+00,1.6084e+00,2.6223e+00,3.8949e+00,3.3726e+00,3.0570e+01,-1.3198e+03
-1.9191e-01,-1.2251e+00,3.5165e-01,1.8567e+00,1.1707e+00,2.8104e+00,3.4553e+00,2.8855e+01,-1.5454e+03
-3.5178e-02,-1.1170e+00,9.5306e-01,1.8219e+00,1.9413e+00,3.3845e+00,3.2075e+00,2.9152e+01,-1.2280e+03
-3.5975e-01,-1.4481e+00,1.3536e+00,7.6399e-01,1.4361e+00,3.2798e+00,3.6252e+00,2.9584e+01,-1.5313e+03
-3.4983e-01,-1.0254e+00,1.7200e+00,1.4628e+00,2.3812e+00,3.9959e+00,2.9654e+00,3.0604e+01,-1.5446e+03
-1.0402e-01,-1.6726e+00,8.2925e-01,1.9466e+00,2.2037e+00,2.2788e+00,3.6663e+00,2.9224e+01,-1.1312e+03
-1.8740e-01,-1.0270e+00,1.3882e+00,2.6914e+00,2.8279e+00,2.5205e+00,4.2150e+00,3.0716e+01,-1.4271e+03
-6.3083e-01,-1.0765e+00,1.1134e+00,9.1043e-01,1.4321e+00,3.5199e+00,3.4638e+00,2.9705e+01,-1.6350e+03
-3.4848e-01,-1.1456e+00,1.4384e+00,1.7230e-02,2.3522e+00,3.9060e+00,2.8566e+00,3.0317e+01,-1.5410e+03
-2.5675e-01,-1.6559e+00,1.5764e+00,1.9414e+00,2.9899e+00,3.7825e+00,3.1903e+00,3.0587e+01,-1.3814e+03
-3.3509e-01,-1.8945e+00,8.7116e-01,1.8594e+00,1.5996e+00,3.4577e+00,3.5477e+00,2.9752e+01,-1.0809e+03
