,NGC4993,NGC3377,M49,M87
183,,552.3623772971014,661.1464556172931,861.7013000969083
184,,567.7524353612413,677.5324073826594,845.2982982898686
185,,531.1483607643904,638.2296342223441,818.8262309485827
186,,524.3361123104154,638.7468331413527,831.3808245945073
187,,527.6859465008143,637.9680604923898,833.4855693336569
188,,536.193275849377,650.077187940745,820.4222699024353
189,,504.18070325167156,620.2438146914855,790.9586120835926
190,,499.9340339825809,612.7753627652664,808.2012537864505
191,,506.3046089419416,620.8831599384604,806.4871077371541
192,,503.6377635917706,623.5096980228193,792.2507287232028
193,,476.6269646094581,592.2451659464261,763.5551816855835
194,,483.3952987904777,589.1598851726652,779.9917172044392
195,,486.7837482429381,594.5966069518273,780.2106928036005
196,,473.70413050894916,596.4067410054798,764.9012016738003
197,,443.5177221040805,560.8706597184265,734.2303464153824
198,,458.94927389916325,566.7524708332643,753.3350642472087
199,,456.0502441998368,566.827715712091,750.2556758449258
200,,443.1155013489874,571.9313286957315,742.9808694836839
201,,413.0595110697708,539.8638158186856,708.2449774142027
202,,429.01869164036407,543.9445944433742,731.3575690754624
203,,425.6663437410041,542.6248314109217,722.981390736284
204,,412.16179564961425,554.918740247214,717.6454742158725
205,,375.9197731600959,523.0437951656558,685.0032245744851
206,,411.65407005705237,524.5479438913812,705.2701636669688
207,,391.8327635493165,520.1118816995101,700.0117603967215
208,,381.51055136868746,540.8039412634516,688.6476320695458
209,,341.1577802361373,505.1875275260916,661.8795307698264
210,,376.1632945744438,507.9702009000874,676.3161731156314
211,,354.0752637229196,500.39399226002905,678.1757941316617
212,,355.0438473450221,515.0652332469925,656.0789109571083
213,,318.4558397388534,484.94731171331966,640.582653856789
214,,326.9262523719095,483.6482984545296,643.3359761967015
215,,324.0309792100279,478.40039073516033,656.3868907135311
216,,329.06085880735685,491.3195681604072,639.1865909173156
217,,299.56485088319306,461.89553187126546,607.3708443689013
218,,306.83128074368875,461.9118742542993,625.077868381083
219,,307.0114048846371,456.7305911919517,621.587782607401
220,,303.76538271032456,466.9728854141645,614.4618367492066
221,,279.0158888914718,438.2642505978943,582.8880803450394
222,,283.80031590019667,440.3073842962826,601.9482845765693
223,,285.58166712101956,432.7398610491548,597.680821615756
224,,281.0436587646257,443.95665720355686,591.034875895624
225,,258.23389793251226,418.991156424819,564.44124108914
226,,261.7114470572787,419.25041421993774,579.914960735943
227,,264.3536827764861,410.3409465801282,579.1643568553428
228,,259.9984720518229,413.24866662999693,567.481985042988
229,,235.74049900057935,413.4443090636219,541.6774185425138
230,,241.65202024983984,387.81887634896367,555.5676687511384
231,,241.65532100441226,401.16390578395715,557.8158576552372
232,,239.46840455647842,402.1907510253129,538.8178008492074
233,,220.2631800332002,384.4940713060426,521.1545089831145
234,,222.36614921800995,380.1052071898884,529.0018990821933
235,,226.1227098390474,377.0837301725583,536.9116869363371
236,,223.01745540833795,384.85917072501167,521.7175998923708
237,,205.42915083498343,364.0799767944419,492.2644373093857
238,,206.77365301509604,363.8182180757439,512.1786773519154
239,,211.71431913263072,362.1226748553932,506.31128298392593
240,,206.1854705074498,365.3545977209237,501.0907862394708
241,,186.90882555657421,338.6114857374245,471.15922690611364
242,,190.55179845548219,345.3667601495224,491.4124193567427
243,,193.08373216654664,339.04711432191755,486.1120415096171
244,,191.679242922817,351.31836111115354,468.10990385646403
245,,164.6414747479447,320.93952301110517,461.24753994820304
246,,175.46370955990116,331.08607807048816,459.44060792533537
247,,170.78660522150975,325.5374705603494,477.7795295788138
248,,175.33190787152103,330.2526211787044,461.3206976207741
249,,155.44971933748505,302.03465195103917,433.89052647050283
250,,164.36717753561163,310.16866771619243,449.70686409974536
251,,161.84071753884152,305.66511121207793,449.54813268718607
252,,163.9861611963394,309.1019567463986,441.14680236175957
253,,150.38148502436297,285.9771502177366,419.4010409114062
254,,153.31043659319633,290.32266227632465,430.5805501772955
255,,157.01153361963796,287.85256386190645,434.6984142289201
256,,150.80376680294754,292.00222521721685,420.2352826173471
257,,138.57963715867675,272.82293381729176,400.06556680198435
258,,141.04794863274188,273.0080075568642,409.47962683554965
