logfeh,logdust_med,logNpix,tau,dmod,logl
3.0649e-01,-1.9508e+00,3.8088e+00,9.9686e+00,2.8356e+01,-6.2154e+03
3.0235e-01,-1.9074e+00,3.8023e+00,9.9628e+00,2.8336e+01,-6.2665e+03
3.0817e-01,-1.9751e+00,3.8050e+00,9.9309e+00,2.8345e+01,-6.2421e+03
3.0764e-01,-1.9268e+00,3.8086e+00,9.9862e+00,2.8355e+01,-6.2358e+03
3.0806e-01,-1.9730e+00,3.8086e+00,9.9829e+00,2.8356e+01,-6.2189e+03
3.0563e-01,-1.9388e+00,3.8082e+00,9.9930e+00,2.8353e+01,-6.2010e+03
3.0619e-01,-1.9190e+00,3.8044e+00,9.9510e+00,2.8342e+01,-6.2663e+03
3.0490e-01,-1.9652e+00,3.8021e+00,9.9680e+00,2.8328e+01,-6.2151e+03
3.0617e-01,-1.9426e+00,3.8085e+00,9.9607e+00,2.8355e+01,-6.1966e+03
3.0539e-01,-1.9899e+00,3.8082e+00,9.9836e+00,2.8345e+01,-6.2038e+03
3.0732e-01,-1.9566e+00,3.8080e+00,9.9906e+00,2.8357e+01,-6.2583e+03
3.0788e-01,-1.9344e+00,3.8086e+00,9.9965e+00,2.8340e+01,-6.2413e+03
3.0448e-01,-1.9703e+00,3.8027e+00,9.9769e+00,2.8342e+01,-6.2349e+03
3.0383e-01,-1.9864e+00,3.8023e+00,9.9536e+00,2.8338e+01,-6.2076e+03
2.8193e-01,-1.9477e+00,3.7261e+00,9.9965e+00,2.8163e+01,-6.2629e+03
2.5201e-01,-1.9856e+00,3.7260e+00,9.9880e+00,2.8166e+01,-6.2636e+03
3.0424e-01,-1.9713e+00,3.8028e+00,9.9682e+00,2.8337e+01,-6.2182e+03
3.0412e-01,-1.9004e+00,3.8026e+00,9.9673e+00,2.8330e+01,-6.2503e+03
3.0783e-01,-1.9916e+00,3.8082e+00,9.9846e+00,2.8356e+01,-6.1876e+03
3.0731e-01,-1.9767e+00,3.8086e+00,9.9676e+00,2.8350e+01,-6.1831e+03
3.0451e-01,-1.9759e+00,3.8014e+00,9.9829e+00,2.8330e+01,-6.2418e+03
3.0729e-01,-1.9831e+00,3.8089e+00,9.9481e+00,2.8350e+01,-6.2416e+03
2.8480e-01,-1.9594e+00,3.7260e+00,9.9953e+00,2.8160e+01,-6.2641e+03
3.0887e-01,-1.9455e+00,3.8088e+00,9.9900e+00,2.8354e+01,-6.2318e+03
3.0532e-01,-1.9867e+00,3.8024e+00,9.9870e+00,2.8335e+01,-6.2653e+03
3.0789e-01,-1.9613e+00,3.8087e+00,9.9905e+00,2.8354e+01,-6.2019e+03
3.0457e-01,-1.9433e+00,3.8026e+00,9.9933e+00,2.8334e+01,-6.2515e+03
2.4565e-01,-1.9558e+00,3.7261e+00,9.9989e+00,2.8167e+01,-6.2603e+03
3.0444e-01,-1.9851e+00,3.8031e+00,9.9593e+00,2.8340e+01,-6.2625e+03
2.2729e-01,-1.9889e+00,3.7259e+00,9.9914e+00,2.8160e+01,-6.2662e+03
2.5657e-01,-1.9913e+00,3.7288e+00,9.9707e+00,2.8169e+01,-6.2635e+03
3.0457e-01,-1.9423e+00,3.8019e+00,9.9482e+00,2.8335e+01,-6.2582e+03
2.1442e-01,-1.9841e+00,3.7266e+00,9.9877e+00,2.8165e+01,-6.2673e+03
3.0761e-01,-1.9933e+00,3.8087e+00,9.9942e+00,2.8350e+01,-6.1802e+03
3.0725e-01,-1.9926e+00,3.8090e+00,9.9727e+00,2.8354e+01,-6.2353e+03
3.0409e-01,-1.9399e+00,3.8022e+00,9.9658e+00,2.8342e+01,-6.2305e+03
3.0326e-01,-1.9665e+00,3.8023e+00,9.9715e+00,2.8333e+01,-6.2679e+03
3.0832e-01,-1.9705e+00,3.8051e+00,9.9438e+00,2.8339e+01,-6.2558e+03
3.0327e-01,-1.9757e+00,3.8017e+00,9.9092e+00,2.8331e+01,-6.2615e+03
3.0408e-01,-1.9925e+00,3.8008e+00,9.9874e+00,2.8327e+01,-6.2627e+03
3.0989e-01,-1.9469e+00,3.8085e+00,9.9632e+00,2.8345e+01,-6.2668e+03
3.0749e-01,-1.9700e+00,3.8084e+00,9.9843e+00,2.8350e+01,-6.1944e+03
3.0293e-01,-1.9816e+00,3.8022e+00,9.9707e+00,2.8333e+01,-6.2530e+03
3.0306e-01,-1.9727e+00,3.8023e+00,9.9695e+00,2.8338e+01,-6.2661e+03
3.0502e-01,-1.9825e+00,3.8026e+00,9.9879e+00,2.8340e+01,-6.2636e+03
3.0470e-01,-1.9929e+00,3.8025e+00,9.9763e+00,2.8332e+01,-6.2171e+03
3.0343e-01,-1.9851e+00,3.8077e+00,9.9935e+00,2.8353e+01,-6.2387e+03
3.0495e-01,-1.9792e+00,3.8031e+00,9.9974e+00,2.8341e+01,-6.2652e+03
3.0659e-01,-1.9778e+00,3.8047e+00,9.9881e+00,2.8337e+01,-6.2217e+03
3.0634e-01,-1.9841e+00,3.8090e+00,9.9686e+00,2.8352e+01,-6.2526e+03
3.0416e-01,-1.9856e+00,3.8022e+00,9.9464e+00,2.8336e+01,-6.2513e+03
3.0478e-01,-1.9690e+00,3.8015e+00,9.9329e+00,2.8335e+01,-6.2389e+03
