logfeh_mean,logdust,logNpix,logage,dmod,logl
2.1896e-01,-1.6958e+00,4.3367e+00,9.9938e+00,3.0232e+01,-3.7824e+01
1.7397e-01,-1.5730e+00,4.3627e+00,9.9811e+00,3.0308e+01,-3.7360e+01
1.1057e-01,-1.5976e+00,4.4160e+00,1.0052e+01,3.0386e+01,-4.0245e+01
2.5442e-01,-1.7871e+00,4.3459e+00,1.0015e+01,3.0243e+01,-3.8552e+01
2.6468e-01,-1.9137e+00,4.3425e+00,9.9889e+00,3.0240e+01,-3.0244e+01
1.7782e-01,-1.5819e+00,4.3914e+00,9.9796e+00,3.0379e+01,-4.0703e+01
2.3942e-01,-1.7703e+00,4.3560e+00,9.9869e+00,3.0276e+01,-3.1779e+01
1.7123e-01,-1.8067e+00,4.4044e+00,1.0035e+01,3.0338e+01,-3.8053e+01
9.4051e-02,-1.9330e+00,4.4532e+00,1.0120e+01,3.0429e+01,-4.2276e+01
8.9775e-02,-1.5396e+00,4.4215e+00,1.0040e+01,3.0405e+01,-3.8219e+01
2.4206e-01,-1.7857e+00,4.3308e+00,1.0004e+01,3.0213e+01,-3.6744e+01
8.6967e-02,-1.8755e+00,4.4379e+00,1.0078e+01,3.0389e+01,-3.6680e+01
3.2786e-01,-1.6953e+00,4.2789e+00,9.9338e+00,3.0132e+01,-4.2995e+01
9.7977e-02,-1.5802e+00,4.4213e+00,1.0043e+01,3.0404e+01,-4.0087e+01
1.8806e-01,-1.6284e+00,4.3717e+00,1.0024e+01,3.0329e+01,-4.3225e+01
1.7645e-01,-1.8287e+00,4.3975e+00,1.0037e+01,3.0319e+01,-3.9592e+01
2.6971e-01,-1.8978e+00,4.3605e+00,9.9821e+00,3.0280e+01,-4.0523e+01
8.2246e-02,-1.8721e+00,4.4622e+00,1.0076e+01,3.0454e+01,-4.2192e+01
2.7145e-01,-1.5439e+00,4.3272e+00,9.9383e+00,3.0269e+01,-4.2747e+01
2.5291e-01,-1.8300e+00,4.3497e+00,1.0017e+01,3.0259e+01,-3.3654e+01
2.6296e-01,-1.3437e+00,4.2939e+00,9.9196e+00,3.0241e+01,-4.2649e+01
2.6632e-01,-1.9127e+00,4.3377e+00,9.9922e+00,3.0227e+01,-4.2021e+01
2.5424e-01,-1.8336e+00,4.3517e+00,1.0016e+01,3.0263e+01,-3.6074e+01
8.0202e-02,-1.5399e+00,4.4438e+00,1.0039e+01,3.0468e+01,-4.2942e+01
2.5297e-01,-1.7815e+00,4.3433e+00,1.0016e+01,3.0239e+01,-4.3696e+01
1.7329e-01,-1.8290e+00,4.4230e+00,1.0073e+01,3.0386e+01,-4.3051e+01
5.5615e-02,-1.7170e+00,4.4468e+00,1.0109e+01,3.0419e+01,-3.5420e+01
3.8210e-01,-1.8749e+00,4.2762e+00,9.9725e+00,3.0115e+01,-4.0372e+01
1.0067e-01,-1.9879e+00,4.4406e+00,1.0122e+01,3.0394e+01,-4.1541e+01
2.5376e-01,-1.8085e+00,4.3342e+00,1.0000e+01,3.0218e+01,-3.9625e+01
3.9324e-01,-1.9178e+00,4.2783e+00,9.9615e+00,3.0119e+01,-3.8907e+01
3.8903e-01,-1.8451e+00,4.2633e+00,9.9352e+00,3.0079e+01,-3.7484e+01
1.3912e-01,-1.7326e+00,4.4149e+00,1.0036e+01,3.0379e+01,-4.1613e+01
1.6879e-01,-1.8731e+00,4.3935e+00,1.0033e+01,3.0318e+01,-4.2696e+01
8.5026e-02,-1.8360e+00,4.4485e+00,1.0118e+01,3.0415e+01,-3.9829e+01
7.2324e-02,-1.8291e+00,4.4430e+00,1.0114e+01,3.0409e+01,-4.2729e+01
4.1223e-01,-1.9415e+00,4.2719e+00,9.9331e+00,3.0096e+01,-4.1302e+01
2.9795e-01,-1.6110e+00,4.3223e+00,9.9484e+00,3.0250e+01,-4.1634e+01
6.0189e-02,-1.7462e+00,4.4661e+00,1.0091e+01,3.0468e+01,-4.3218e+01
2.0789e-01,-1.6746e+00,4.3594e+00,9.9946e+00,3.0292e+01,-3.6643e+01
1.6701e-01,-1.8145e+00,4.4120e+00,1.0065e+01,3.0362e+01,-3.4001e+01
2.4014e-01,-1.7460e+00,4.3366e+00,1.0006e+01,3.0226e+01,-4.2020e+01
2.5958e-01,-1.8720e+00,4.3452e+00,1.0008e+01,3.0245e+01,-3.7434e+01
3.6581e-01,-1.8042e+00,4.2912e+00,9.9504e+00,3.0157e+01,-3.7368e+01
2.8600e-01,-1.5562e+00,4.3250e+00,9.9699e+00,3.0256e+01,-4.2846e+01
1.6952e-01,-1.7931e+00,4.3998e+00,1.0055e+01,3.0327e+01,-4.1340e+01
2.4518e-01,-1.8195e+00,4.3290e+00,9.9929e+00,3.0210e+01,-4.3794e+01
8.1170e-02,-1.8538e+00,4.4414e+00,1.0104e+01,3.0399e+01,-4.1161e+01
2.0860e-01,-1.4353e+00,4.3163e+00,9.9592e+00,3.0257e+01,-4.2210e+01
2.4258e-01,-1.4935e+00,4.3212e+00,9.9504e+00,3.0260e+01,-3.5446e+01
4.0694e-01,-1.9592e+00,4.2611e+00,9.9410e+00,3.0074e+01,-3.6260e+01
2.7019e-01,-1.9137e+00,4.3320e+00,9.9837e+00,3.0208e+01,-3.9296e+01
4.2064e-01,-1.9642e+00,4.2629e+00,9.9633e+00,3.0073e+01,-3.7922e+01
4.9066e-01,-1.6818e+00,4.2310e+00,9.8849e+00,3.0033e+01,-3.9955e+01
1.3886e-01,-1.4965e+00,4.3942e+00,9.9859e+00,3.0396e+01,-3.7577e+01
1.9846e-01,-1.6677e+00,4.3747e+00,9.9958e+00,3.0336e+01,-4.1348e+01
9.3606e-02,-1.9178e+00,4.4372e+00,1.0111e+01,3.0387e+01,-3.4488e+01
3.8945e-01,-1.9138e+00,4.2795e+00,9.9521e+00,3.0123e+01,-3.9462e+01
2.7896e-01,-1.3672e+00,4.2866e+00,9.9191e+00,3.0219e+01,-4.0110e+01
2.8066e-01,-1.9578e+00,4.3330e+00,9.9958e+00,3.0212e+01,-3.8956e+01
1.5638e-01,-1.7867e+00,4.4016e+00,1.0072e+01,3.0341e+01,-3.8074e+01
2.9630e-01,-1.5905e+00,4.3211e+00,9.9618e+00,3.0246e+01,-3.5395e+01
3.0437e-01,-1.6374e+00,4.3162e+00,9.9543e+00,3.0236e+01,-4.1862e+01
2.1300e-01,-1.6730e+00,4.3684e+00,9.9943e+00,3.0314e+01,-4.3106e+01
2.2931e-01,-1.7548e+00,4.3608e+00,9.9797e+00,3.0294e+01,-4.2217e+01
5.0732e-02,-1.7555e+00,4.4539e+00,1.0086e+01,3.0445e+01,-4.1699e+01
3.1493e-01,-1.6982e+00,4.2947e+00,9.9298e+00,3.0178e+01,-4.0432e+01
2.0222e-01,-1.9343e+00,4.3779e+00,1.0030e+01,3.0262e+01,-3.8900e+01
3.5645e-01,-1.7804e+00,4.2898e+00,9.9568e+00,3.0155e+01,-4.3738e+01
2.5375e-01,-1.8413e+00,4.3285e+00,9.9791e+00,3.0205e+01,-4.0026e+01
1.0463e-01,-1.4040e+00,4.3887e+00,1.0021e+01,3.0385e+01,-4.1197e+01
1.3759e-01,-1.6920e+00,4.4119e+00,1.0026e+01,3.0367e+01,-4.3619e+01
4.1137e-01,-1.9649e+00,4.2671e+00,9.9358e+00,3.0086e+01,-3.7848e+01
2.7358e-01,-1.9490e+00,4.3468e+00,9.9800e+00,3.0249e+01,-3.8175e+01
1.1503e-01,-1.6066e+00,4.4329e+00,1.0040e+01,3.0426e+01,-4.3207e+01
1.7736e-01,-1.5842e+00,4.3717e+00,1.0011e+01,3.0331e+01,-3.8014e+01
2.2542e-01,-1.7476e+00,4.3587e+00,1.0000e+01,3.0288e+01,-3.9696e+01
1.3283e-01,-1.7002e+00,4.4240e+00,1.0046e+01,3.0403e+01,-3.8931e+01
2.1956e-01,-1.6666e+00,4.3593e+00,1.0003e+01,3.0286e+01,-3.7681e+01
2.7571e-01,-1.8775e+00,4.3511e+00,9.9993e+00,3.0253e+01,-4.1581e+01
2.6860e-01,-1.9539e+00,4.3317e+00,9.9896e+00,3.0212e+01,-4.0684e+01
1.5987e-01,-1.5246e+00,4.3968e+00,1.0003e+01,3.0394e+01,-4.1910e+01
2.0365e-01,-1.6703e+00,4.3723e+00,1.0007e+01,3.0328e+01,-3.0788e+01
7.5593e-02,-1.7903e+00,4.4593e+00,1.0107e+01,3.0445e+01,-4.2607e+01
4.0686e-01,-1.9378e+00,4.2648e+00,9.9651e+00,3.0082e+01,-3.4199e+01
1.7648e-01,-1.5889e+00,4.3852e+00,9.9925e+00,3.0365e+01,-4.2089e+01
3.6638e-01,-1.7902e+00,4.3015e+00,9.9438e+00,3.0179e+01,-4.0050e+01
3.7470e-01,-1.8038e+00,4.2910e+00,9.9563e+00,3.0151e+01,-4.2383e+01
2.5206e-01,-1.8019e+00,4.3479e+00,1.0013e+01,3.0252e+01,-3.0757e+01
