logfeh,logdust,logNpix,tau,logl
-4.2571e-01,-8.6006e-01,5.2760e+00,2.6055e+00,-2.0977e+02
-3.8214e-01,-8.8348e-01,5.2737e+00,2.7037e+00,-2.1219e+02
-4.3760e-01,-8.5588e-01,5.2766e+00,2.5554e+00,-2.1039e+02
-4.9374e-01,-8.1567e-01,5.2800e+00,2.4809e+00,-2.1147e+02
-3.6805e-01,-8.9786e-01,5.2741e+00,2.6746e+00,-2.1171e+02
-4.8495e-01,-8.1824e-01,5.2802e+00,2.4589e+00,-2.1238e+02
-3.6828e-01,-8.9754e-01,5.2741e+00,2.6757e+00,-2.1150e+02
-4.0569e-01,-8.6820e-01,5.2733e+00,2.7034e+00,-2.1183e+02
-4.3690e-01,-8.5314e-01,5.2751e+00,2.6135e+00,-2.1097e+02
-4.6883e-01,-8.1709e-01,5.2797e+00,2.4880e+00,-2.1049e+02
-4.2429e-01,-8.6207e-01,5.2755e+00,2.6231e+00,-2.1214e+02
-4.4341e-01,-8.4802e-01,5.2759e+00,2.6085e+00,-2.1011e+02
-3.5633e-01,-9.0814e-01,5.2745e+00,2.6538e+00,-2.1090e+02
-4.6298e-01,-8.0833e-01,5.2785e+00,2.5848e+00,-2.0834e+02
-4.6832e-01,-8.2623e-01,5.2815e+00,2.3553e+00,-2.1247e+02
-4.1460e-01,-8.6894e-01,5.2750e+00,2.6190e+00,-2.1308e+02
-4.2765e-01,-8.6143e-01,5.2765e+00,2.5753e+00,-2.1235e+02
-4.1517e-01,-8.7096e-01,5.2757e+00,2.5918e+00,-2.0880e+02
-3.9583e-01,-8.7377e-01,5.2734e+00,2.7071e+00,-2.1202e+02
-4.2283e-01,-8.6011e-01,5.2752e+00,2.6262e+00,-2.1194e+02
-4.1301e-01,-8.6691e-01,5.2752e+00,2.6347e+00,-2.0391e+02
-4.4545e-01,-8.4942e-01,5.2772e+00,2.5632e+00,-2.0481e+02
-4.4661e-01,-8.4312e-01,5.2754e+00,2.6359e+00,-2.1296e+02
-4.3370e-01,-8.5926e-01,5.2769e+00,2.5605e+00,-2.0781e+02
-4.1709e-01,-8.6621e-01,5.2755e+00,2.6163e+00,-2.1089e+02
-4.3953e-01,-8.5111e-01,5.2755e+00,2.6254e+00,-2.1162e+02
-4.9112e-01,-8.0146e-01,5.2770e+00,2.6904e+00,-2.1028e+02
-4.4161e-01,-8.5494e-01,5.2782e+00,2.5228e+00,-2.1162e+02
-4.2568e-01,-8.5676e-01,5.2749e+00,2.6534e+00,-2.1242e+02
-3.9161e-01,-8.8612e-01,5.2754e+00,2.6155e+00,-2.0855e+02
-4.4302e-01,-8.5174e-01,5.2760e+00,2.5957e+00,-2.1257e+02
-4.1167e-01,-8.6997e-01,5.2746e+00,2.6462e+00,-2.0837e+02
-3.9482e-01,-8.7160e-01,5.2715e+00,2.7628e+00,-2.0901e+02
-4.2979e-01,-8.5898e-01,5.2748e+00,2.6124e+00,-2.1296e+02
-4.9435e-01,-8.0222e-01,5.2769e+00,2.6738e+00,-2.1265e+02
-4.2654e-01,-8.5623e-01,5.2757e+00,2.6311e+00,-2.0992e+02
-3.9413e-01,-8.9284e-01,5.2770e+00,2.5170e+00,-2.0910e+02
-4.8607e-01,-8.0052e-01,5.2769e+00,2.6815e+00,-2.1081e+02
-4.1261e-01,-8.7021e-01,5.2757e+00,2.6001e+00,-2.1268e+02
-4.0927e-01,-8.6830e-01,5.2734e+00,2.6768e+00,-2.0746e+02
-4.3926e-01,-8.4950e-01,5.2759e+00,2.6077e+00,-2.1209e+02
-4.5340e-01,-8.1341e-01,5.2796e+00,2.5176e+00,-2.0808e+02
-4.4881e-01,-8.4745e-01,5.2772e+00,2.5667e+00,-2.1245e+02
-4.3331e-01,-8.4444e-01,5.2731e+00,2.7331e+00,-2.1128e+02
-4.5788e-01,-8.1166e-01,5.2787e+00,2.5524e+00,-2.1263e+02
-4.3453e-01,-8.5489e-01,5.2753e+00,2.6070e+00,-2.1272e+02
-4.3930e-01,-8.5436e-01,5.2758e+00,2.5879e+00,-2.0888e+02
