logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.3869e-02,-7.0377e-01,1.4490e+00,2.5380e+00,1.1404e+00,3.4079e+00,3.3728e+00,-4.8837e+02
5.1489e-02,-1.4862e+00,1.4642e+00,2.2319e+00,2.8731e+00,1.7622e+00,3.6421e+00,-4.9964e+02
9.5929e-02,-9.1076e-01,1.5082e+00,2.3535e+00,2.7464e+00,3.4872e+00,2.2077e+00,-4.5792e+02
8.6733e-04,-1.1855e+00,1.3729e+00,2.3383e+00,2.3810e+00,3.5306e+00,2.3969e+00,-5.0108e+02
4.1516e-02,-1.8534e+00,1.4153e+00,2.3550e+00,1.6832e+00,2.2176e+00,3.7900e+00,-4.8911e+02
1.4607e-02,-7.8034e-01,1.4851e+00,2.4092e+00,2.3023e+00,3.4998e+00,3.0051e+00,-4.7052e+02
5.3760e-02,-1.4156e+00,1.4864e+00,2.1495e+00,2.9952e+00,2.0901e+00,3.5418e+00,-4.8778e+02
-1.5503e-01,-1.8298e+00,1.4280e+00,2.2977e+00,1.0677e+00,2.5076e+00,3.7411e+00,-4.4544e+02
1.9250e-02,-1.1711e+00,1.4922e+00,2.1536e+00,3.0068e+00,2.1615e+00,3.5058e+00,-5.0030e+02
-3.6397e-02,-1.9524e+00,1.3908e+00,2.3490e+00,9.0999e-01,2.9510e+00,3.7011e+00,-4.3216e+02
1.1742e-01,-5.7419e-01,1.5048e+00,2.5562e+00,2.2483e+00,3.5912e+00,2.2584e+00,-4.5805e+02
-1.5413e-01,-1.2884e+00,1.3835e+00,2.4105e+00,1.1866e+00,1.5371e+00,3.7619e+00,-4.6097e+02
-8.3102e-02,-1.2876e+00,1.2687e+00,2.4704e+00,1.1792e+00,2.1889e+00,3.7572e+00,-5.0476e+02
3.4723e-02,-1.3109e+00,1.4752e+00,2.2307e+00,2.3918e+00,3.4380e+00,3.1980e+00,-4.8744e+02
7.2470e-02,-5.9429e-01,1.4972e+00,2.5493e+00,2.4477e+00,3.5472e+00,2.3141e+00,-4.5461e+02
-5.5258e-02,-1.3555e+00,1.3630e+00,2.3746e+00,8.1425e-01,3.3542e+00,3.4101e+00,-5.0428e+02
1.2743e-01,-5.3628e-01,1.5668e+00,2.6208e+00,1.3430e+00,3.2532e+00,3.5907e+00,-4.4912e+02
