logfeh,logdust,logNpix,tau,logl
-3.1684e-01,-1.7003e+00,4.0900e+00,3.9919e+00,-2.3689e+02
-3.6334e-01,-1.4484e+00,4.0808e+00,4.2799e+00,-2.3479e+02
-2.5756e-01,-1.9679e+00,4.0860e+00,4.1156e+00,-2.3670e+02
-2.2503e-01,-1.8518e+00,4.0799e+00,4.2781e+00,-2.3647e+02
-2.0635e-01,-1.8055e+00,4.0794e+00,4.3136e+00,-2.3765e+02
-2.2271e-01,-1.9814e+00,4.0872e+00,4.0909e+00,-2.3619e+02
-2.5680e-01,-1.7661e+00,4.0805e+00,4.3142e+00,-2.3604e+02
-2.0815e-01,-1.9567e+00,4.0859e+00,4.1157e+00,-2.3600e+02
-2.5036e-01,-1.7953e+00,4.0834e+00,4.2596e+00,-2.3473e+02
-3.2680e-01,-1.6037e+00,4.0864e+00,4.0926e+00,-2.3498e+02
-3.2978e-01,-1.6430e+00,4.0880e+00,4.0208e+00,-2.3705e+02
-4.2256e-01,-1.2234e+00,4.0841e+00,4.5060e+00,-2.3737e+02
-2.6000e-01,-1.7683e+00,4.0802e+00,4.3325e+00,-2.3542e+02
-3.7192e-01,-1.4090e+00,4.0822e+00,4.2950e+00,-2.3498e+02
-3.9188e-01,-1.3539e+00,4.0838e+00,4.2930e+00,-2.3741e+02
-3.4818e-01,-1.4743e+00,4.0821e+00,4.2536e+00,-2.3404e+02
-3.4152e-01,-1.5102e+00,4.0851e+00,4.1896e+00,-2.3768e+02
-2.4689e-01,-1.8074e+00,4.0789e+00,4.3304e+00,-2.3689e+02
-3.8183e-01,-1.3716e+00,4.0810e+00,4.3484e+00,-2.3627e+02
-4.0239e-01,-1.2857e+00,4.0813e+00,4.4683e+00,-2.3355e+02
-2.5854e-01,-1.8518e+00,4.0806e+00,4.2786e+00,-2.3707e+02
-4.1114e-01,-1.2704e+00,4.0807e+00,4.4928e+00,-2.3761e+02
-3.1760e-01,-1.6111e+00,4.0850e+00,4.1442e+00,-2.3613e+02
-2.1303e-01,-1.9916e+00,4.0834e+00,4.1458e+00,-2.3666e+02
-3.2354e-01,-1.6115e+00,4.0853e+00,4.1203e+00,-2.3702e+02
-3.3309e-01,-1.5461e+00,4.0850e+00,4.1638e+00,-2.3698e+02
-3.4372e-01,-1.5767e+00,4.0871e+00,4.0472e+00,-2.3754e+02
-3.6126e-01,-1.4341e+00,4.0861e+00,4.2266e+00,-2.3741e+02
-2.0132e-01,-1.7527e+00,4.0806e+00,4.3343e+00,-2.3556e+02
-3.5502e-01,-1.5326e+00,4.0874e+00,4.0751e+00,-2.3741e+02
-3.9530e-01,-1.2888e+00,4.0797e+00,4.5069e+00,-2.3537e+02
-3.4728e-01,-1.4812e+00,4.0825e+00,4.2467e+00,-2.3608e+02
-2.0960e-01,-1.8474e+00,4.0801e+00,4.2809e+00,-2.3646e+02
-2.4234e-01,-1.9519e+00,4.0879e+00,4.0939e+00,-2.3654e+02
-2.5422e-01,-1.9985e+00,4.0868e+00,4.0908e+00,-2.3452e+02
-2.3332e-01,-1.7652e+00,4.0801e+00,4.3308e+00,-2.3710e+02
-3.4591e-01,-1.5388e+00,4.0879e+00,4.0931e+00,-2.3444e+02
-2.0058e-01,-1.8349e+00,4.0800e+00,4.3026e+00,-2.3719e+02
-4.1024e-01,-1.2910e+00,4.0843e+00,4.3733e+00,-2.3453e+02
-2.8230e-01,-1.9384e+00,4.0873e+00,4.1164e+00,-2.3638e+02
-2.3711e-01,-1.8540e+00,4.0807e+00,4.2591e+00,-2.3664e+02
-4.2478e-01,-1.2309e+00,4.0852e+00,4.4606e+00,-2.3554e+02
-2.1274e-01,-1.9799e+00,4.0871e+00,4.0994e+00,-2.3595e+02
-3.3248e-01,-1.6678e+00,4.0881e+00,4.0033e+00,-2.3711e+02
-2.8091e-01,-1.7973e+00,4.0802e+00,4.3137e+00,-2.3686e+02
-4.0658e-01,-1.2887e+00,4.0841e+00,4.4158e+00,-2.3704e+02
-2.1758e-01,-1.9046e+00,4.0825e+00,4.2055e+00,-2.3714e+02
-3.3016e-01,-1.5388e+00,4.0845e+00,4.2171e+00,-2.3410e+02
-2.5478e-01,-1.7781e+00,4.0800e+00,4.3275e+00,-2.3677e+02
-2.8318e-01,-1.9765e+00,4.0864e+00,4.1073e+00,-2.3755e+02
-2.5861e-01,-1.8962e+00,4.0872e+00,4.1317e+00,-2.3510e+02
-4.0548e-01,-1.2817e+00,4.0818e+00,4.4630e+00,-2.3671e+02
-2.2810e-01,-1.9369e+00,4.0833e+00,4.1798e+00,-2.3629e+02
