logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
8.1200e-02,-1.6916e+00,2.0515e+00,2.1584e+00,1.6782e+00,2.3646e+00,3.0678e+00,3.1857e+01,-1.0197e+05
4.9564e-01,-1.8195e+00,2.1689e+00,-1.2810e-01,1.0980e+00,3.4124e+00,4.0531e+00,3.0691e+01,-9.9138e+04
-4.2617e-01,-1.8583e+00,2.4400e+00,6.9310e-01,3.3560e+00,2.8506e+00,4.0508e+00,3.1340e+01,-9.9867e+04
2.4520e-01,-1.2849e+00,4.9475e-01,2.5003e+00,3.1402e+00,4.1263e+00,3.4528e+00,2.9608e+01,-1.0196e+05
-1.9907e-01,-1.2267e+00,-2.0060e-01,9.8676e-01,2.2792e+00,2.1065e+00,3.0271e+00,2.9167e+01,-1.0307e+05
1.2534e-01,-1.3197e+00,9.8364e-01,1.0654e+00,2.7628e+00,4.1075e+00,4.1733e+00,2.9791e+01,-6.5138e+04
-6.8156e-02,-1.5695e+00,2.6239e+00,2.4619e+00,3.1862e+00,2.5777e+00,3.7365e+00,3.2642e+01,-1.0111e+05
-5.5843e-01,-1.8181e+00,2.5696e+00,3.3855e+00,2.8959e+00,1.9114e+00,3.4888e+00,3.0057e+01,-9.9633e+04
-9.8071e-01,-1.1846e+00,2.1746e+00,1.3871e+00,2.3926e+00,2.4861e+00,3.2625e+00,3.1420e+01,-9.9285e+04
7.0544e-02,-1.1358e+00,2.7297e+00,1.4369e+00,1.8791e+00,2.6482e+00,3.0951e+00,3.2320e+01,-9.3220e+04
-9.3170e-01,-6.0898e-01,2.1955e+00,6.5750e-01,1.3190e+00,1.7052e+00,3.3526e+00,2.9802e+01,-8.5779e+04
4.4686e-01,-1.5952e+00,2.0489e+00,1.5592e+00,1.8403e+00,2.4175e+00,2.6495e+00,2.9450e+01,-7.5727e+04
-4.9449e-01,-1.3456e+00,2.4779e+00,1.2091e+00,2.7781e+00,2.3576e+00,3.1383e+00,2.9142e+01,-7.2198e+04
4.4603e-01,-9.0598e-01,2.1896e+00,2.3577e+00,3.6112e+00,1.6151e+00,3.2196e+00,2.9544e+01,-9.7242e+04
-6.0642e-01,-8.5791e-01,1.7517e+00,9.7760e-01,1.5191e+00,2.7420e+00,2.7373e+00,3.0089e+01,-9.3660e+04
-3.4863e-01,-5.4222e-01,2.6251e+00,1.1496e+00,2.1453e+00,3.9070e+00,5.0933e+00,3.0888e+01,-4.4590e+04
-6.7417e-01,-1.3000e+00,2.4819e+00,1.4222e+00,1.4637e+00,1.8494e+00,3.8661e+00,3.0640e+01,-8.7222e+04
-8.4836e-01,-1.7934e+00,2.3156e+00,9.4118e-01,1.1297e+00,2.5632e+00,2.9085e+00,2.9172e+01,-7.2095e+04
4.2981e-01,-9.3128e-01,2.0945e+00,1.3785e+00,2.4032e+00,2.4086e+00,3.4879e+00,3.0886e+01,-9.5251e+04
