logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-3.3215e-01,-7.8846e-01,1.6157e+00,4.0176e+00,2.6306e+01,-2.8166e+02
-8.3235e-02,-9.2708e-01,2.5141e+00,3.7426e+00,2.8893e+01,-3.4993e+02
-3.7059e-01,-1.8390e-01,3.1558e+00,4.1551e+00,2.7936e+01,-3.1100e+02
-4.5115e-01,-4.2107e-01,2.0760e+00,3.8858e+00,2.6568e+01,-1.0739e+01
2.4322e-01,-9.9400e-01,2.3410e+00,6.3351e+00,2.5493e+01,-5.5343e+02
1.1470e-01,-9.9581e-01,4.5544e+00,1.4188e+00,2.9901e+01,-1.4252e+03
-4.8152e-01,-3.0649e-01,2.6848e+00,6.8810e+00,2.7875e+01,-2.9032e+01
2.0505e-01,-1.1974e-01,2.8326e+00,2.3675e-01,2.5343e+01,-1.1695e+03
-2.5954e-01,-4.0770e-01,3.4402e+00,4.1482e+00,2.5724e+01,-3.6695e+03
1.5761e-01,-2.6176e-01,2.4933e+00,6.6466e+00,2.5451e+01,-7.3082e+02
-9.6364e-02,-3.3675e-01,1.6589e+00,6.2842e+00,2.5972e+01,-1.3795e+02
-4.5519e-01,-8.3072e-01,1.2761e+00,7.2576e+00,2.7237e+01,-3.6123e+03
-4.2021e-01,-3.3474e-01,3.0091e+00,3.3327e+00,2.8640e+01,-6.8844e+00
-3.7093e-01,-6.1554e-01,2.0680e+00,2.5349e+00,2.5887e+01,-3.0136e+01
-3.0795e-01,-7.9849e-01,4.3896e+00,7.0582e+00,2.8615e+01,-3.5702e+03
3.0865e-02,-6.7257e-01,2.7012e+00,5.6677e+00,2.5795e+01,-1.0926e+03
-1.7045e-01,-3.7067e-01,4.7002e+00,2.9202e+00,2.9096e+01,-3.0695e+03
-1.0755e-01,-1.8835e-01,3.0714e+00,7.5853e+00,2.5718e+01,-2.2851e+03
8.6342e-02,-2.4210e-01,2.9097e+00,3.5143e-01,2.8676e+01,-8.9470e+01
2.0060e-01,-5.2921e-01,3.0494e+00,2.1775e+00,2.5494e+01,-1.9307e+03
9.9135e-02,-8.5720e-01,4.2227e+00,7.0483e+00,2.7500e+01,-4.3612e+03
1.8569e-01,-5.8759e-01,1.8015e+00,5.1842e+00,2.6999e+01,-4.9629e+02
-3.9326e-02,-5.6269e-01,3.3724e+00,7.6164e+00,2.7766e+01,-1.0398e+03
-3.6255e-02,-3.5261e-01,2.5672e+00,7.8414e+00,2.7222e+01,-6.7828e+01
8.7664e-02,-1.0445e-01,2.8433e+00,2.9700e-01,2.9419e+01,-5.4670e+02
1.2011e-01,-6.2398e-01,3.4367e+00,4.9982e+00,2.7207e+01,-1.4887e+03
-3.7453e-02,-3.5232e-01,3.1003e+00,6.2433e+00,2.5057e+01,-3.3305e+03
-5.7360e-02,-4.3932e-01,2.1384e+00,5.8650e+00,2.5642e+01,-1.6454e+02
-2.1959e-01,-5.9849e-01,4.7004e+00,2.0344e+00,2.8320e+01,-4.5151e+03
