logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod,logl
-1.0171e+00,-1.9217e+00,4.8014e-01,1.3901e+00,2.8034e+00,3.1165e+01,-1.5393e+03
-1.0840e+00,-1.9793e+00,1.7376e+00,1.4402e+00,2.6915e+00,3.1137e+01,-1.5464e+03
-1.1022e+00,-1.8442e+00,2.2961e+00,1.1266e+00,1.5644e+00,3.0725e+01,-1.5222e+03
-1.0896e+00,-1.8816e+00,6.6154e-01,1.2184e+00,3.0954e+00,3.1744e+01,-1.5645e+03
-1.0704e+00,-1.8907e+00,1.8020e+00,1.7289e+00,2.6317e+00,3.1087e+01,-1.4089e+03
-1.1714e+00,-1.6377e+00,1.0057e+00,1.9478e+00,2.6210e+00,3.0850e+01,-1.4691e+03
-1.0852e+00,-1.9766e+00,2.2384e+00,1.1508e+00,2.3331e+00,3.0995e+01,-1.3875e+03
-1.0021e+00,-1.8919e+00,1.5009e+00,2.4927e+00,1.3397e+00,3.0868e+01,-1.3941e+03
-1.0394e+00,-1.8757e+00,2.1528e+00,2.2035e+00,2.1136e+00,3.1135e+01,-1.4642e+03
-1.1360e+00,-1.9549e+00,2.1369e+00,2.6779e+00,1.2287e+00,3.1572e+01,-1.4295e+03
-1.2335e+00,-1.7216e+00,6.6876e-01,1.0523e+00,2.8690e+00,3.1327e+01,-1.5111e+03
-1.1414e+00,-1.5941e+00,2.8934e-01,2.0928e+00,2.8106e+00,3.1281e+01,-1.3595e+03
-1.0599e+00,-1.6391e+00,1.1593e+00,2.8975e+00,1.1700e+00,3.1688e+01,-1.4600e+03
-1.2427e+00,-1.9356e+00,1.8097e+00,2.6301e+00,2.1977e+00,3.1541e+01,-1.5726e+03
-1.1748e+00,-1.5586e+00,7.7721e-01,2.8540e+00,1.0824e+00,3.1520e+01,-1.5285e+03
-1.1157e+00,-1.6079e+00,1.1709e+00,2.8901e+00,1.2535e+00,3.1624e+01,-1.5999e+03
-1.0663e+00,-1.8593e+00,2.3264e+00,2.3365e+00,2.2062e+00,3.1516e+01,-1.5344e+03
-1.0836e+00,-1.8603e+00,1.6942e+00,1.5854e+00,2.5139e+00,3.0761e+01,-1.4163e+03
-1.1352e+00,-1.5751e+00,2.1729e+00,2.6365e+00,2.1567e+00,3.1648e+01,-1.4939e+03
-1.1879e+00,-1.7100e+00,9.1747e-01,2.5465e+00,1.6755e+00,3.0886e+01,-1.5050e+03
-1.0764e+00,-1.6408e+00,3.5839e-01,2.9431e+00,2.2938e+00,3.1902e+01,-1.6028e+03
