# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
23.686396 1.362943
23.662432 1.362104
23.646903 1.322949
23.625682 1.283452
23.599731 1.297037
23.591212 1.310447
23.588220 1.324576
23.559389 1.341128
23.568338 1.355202
23.559922 1.330868
23.527572 1.294199
23.561411 1.285824
23.601284 1.347992
23.633617 1.380559
23.649650 1.368764
23.660037 1.364101
23.673201 1.446700
23.702678 1.442935
23.731905 1.506604
23.803993 1.522962
23.876289 1.509081
23.858124 1.499370
23.868989 1.520915
23.839380 1.491576
23.802582 1.547257
23.791437 1.512289
23.796001 1.500821
23.788373 1.477282
23.788840 1.503599
23.818398 1.475720
23.797662 1.543658
23.828603 1.512269
23.858545 1.507123
23.852106 1.472851
23.841720 1.458316
23.776428 1.480680
23.733259 1.433273
23.672626 1.401985
23.656046 1.368742
23.654291 1.389526
23.619747 1.442083
23.630934 1.420997
23.638500 1.390260
23.633483 1.414042
23.643972 1.382370
23.699498 1.352969
23.711872 1.392699
23.756549 1.444273
23.787788 1.401673
23.795656 1.411913
23.823656 1.436283
23.800754 1.479274
23.775942 1.478368
23.728045 1.495498
23.718610 1.503864
23.692248 1.486856
23.665485 1.461971
23.662467 1.375233
23.629855 1.351802
23.632891 1.352049
23.619516 1.384039
23.634393 1.369964
23.660273 1.388342
23.659749 1.359448
23.650006 1.363097
23.651187 1.372412
23.643789 1.353876
23.638725 1.387229
23.678145 1.385785
23.733592 1.369815
23.720067 1.441808
23.718626 1.423160
23.684028 1.434628
23.665738 1.398589
23.650353 1.399555
23.675215 1.386693
23.681643 1.371576
23.662481 1.389006
23.620598 1.347291
23.572748 1.315771
23.547149 1.324896
23.547685 1.279133
23.578440 1.244981
23.620425 1.245811
23.642793 1.231375
23.652232 1.243430
23.639539 1.263859
23.647795 1.288951
23.699896 1.345634
23.699809 1.314944
23.713379 1.346000
23.682581 1.365641
23.690138 1.351243
23.666163 1.377849
23.646200 1.355250
23.652571 1.310918
23.658373 1.331817
23.651803 1.307424
23.646574 1.318447
23.671052 1.330740
23.674301 1.306510
23.670638 1.297639
23.674547 1.330357
23.734443 1.332415
23.785740 1.326509
23.805307 1.385502
23.869791 1.365955
23.845904 1.366380
23.846820 1.391001
23.835751 1.360222
23.830734 1.359533
23.860751 1.369825
23.850103 1.356458
23.783754 1.373831
23.734338 1.372523
23.716302 1.334706
23.717253 1.269357
23.696509 1.275756
23.640476 1.287485
23.625092 1.243779
23.652727 1.231582
23.650192 1.232553
23.653581 1.225360
23.633184 1.264395
23.635556 1.270291
23.627525 1.271114
23.662366 1.257955
23.666493 1.247504
23.648574 1.310086
23.697721 1.302749
23.716025 1.291221
23.718628 1.238302
23.698887 1.294500
23.742603 1.303810
23.796351 1.367778
23.865753 1.330934
23.921706 1.346775
23.926203 1.330394
23.873247 1.334695
23.835903 1.319471
23.812539 1.336551
23.803463 1.355531
23.782904 1.357538
23.780472 1.376730
23.746289 1.394817
23.742607 1.376706
23.820060 1.324510
23.836422 1.346946
23.786147 1.337130
23.724948 1.363915
23.722636 1.302048
23.735338 1.307636
23.728892 1.344168
23.772521 1.332656
23.811207 1.323208
23.829548 1.370244
23.866615 1.408644
23.953735 1.349540
23.963604 1.353638
23.926693 1.302565
23.823127 1.227960
23.694912 1.151921
23.605455 1.140951
23.602047 1.125576
23.645491 1.083710
23.670619 1.073084
23.681864 1.132530
23.697069 1.206721
23.689958 1.211217
23.676999 1.168105
23.656867 1.150759
23.617038 1.150748
23.587358 1.099860
23.609195 1.057962
23.642268 1.108205
23.670120 1.133813
23.690871 1.144233
23.727909 1.141482
23.766392 1.129763
23.732928 1.176699
23.711804 1.213204
23.677476 1.241819
23.678824 1.233525
23.709050 1.279692
23.759341 1.312241
23.786065 1.373088
23.821259 1.317639
23.831195 1.203942
23.753931 1.163407
23.680559 1.107089
23.587731 0.992350
23.523452 0.847189
23.540251 0.853888
23.642699 1.052380
23.712586 1.151976
23.702616 1.178740
23.601620 1.071660
23.422302 0.866428
23.277552 0.672566
23.371641 0.746156
23.508336 0.958697
23.602790 1.047827
23.647365 1.090644
23.686693 1.099469
23.721090 1.128293
23.707218 1.126019
23.706142 1.155099
23.713069 1.132211
23.729219 1.133946
23.778926 1.165972
23.812079 1.217319
23.833678 1.196340
23.752669 1.084815
23.760877 1.100168
23.840435 1.155273
23.858187 1.182965
23.860334 1.096907
23.862674 1.091851
23.895418 1.160314
23.952341 1.205343
23.973638 1.218016
