# Vega Mags
# m51b region extracted from square X=[2652,2908), Y=[10412, 10668) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.100200 1.248620 0.807407
25.151649 1.198946 0.733680
25.182600 1.200811 0.852296
25.173594 1.256796 0.865959
25.202127 1.215828 0.808815
25.178992 1.216641 0.853572
25.149211 1.222388 0.863415
25.160439 1.205589 0.885022
25.105231 1.222919 0.879542
25.038194 1.264464 0.872097
25.100908 1.271655 0.833665
25.163054 1.284337 0.785868
25.213107 1.383177 0.761509
25.194862 1.406805 0.909752
25.189232 1.422469 0.943674
25.188896 1.380279 1.041299
25.208765 1.348893 1.019877
25.209378 1.385651 1.066753
25.254481 1.283066 1.028209
25.261200 1.282777 0.970516
25.215614 1.291948 1.002934
25.226781 1.269203 0.952986
25.204539 1.292450 0.943851
25.226925 1.228930 0.950345
25.206313 1.247807 0.930416
25.223264 1.240335 0.845022
25.202990 1.297087 0.896518
25.182155 1.375026 0.778260
25.218729 1.260912 0.945779
25.216203 1.328354 0.868568
25.201759 1.307348 0.897894
25.215291 1.234583 0.889563
25.266170 1.240735 0.809610
25.260928 1.208205 0.916666
25.252179 1.300843 0.851450
25.227821 1.333648 0.787202
25.238476 1.202118 0.907498
25.239370 1.189849 0.971393
25.213343 1.319794 0.830754
25.192291 1.269588 0.936791
25.191892 1.311543 0.881938
25.206940 1.286465 0.887246
25.219095 1.257963 0.918057
25.276929 1.286092 0.872174
25.236533 1.243462 0.939892
25.208676 1.244206 0.954370
25.157086 1.293216 0.939797
25.210574 1.259488 0.870984
25.158831 1.398745 0.876633
25.170203 1.315632 0.970887
25.236967 1.278926 0.837942
25.263390 1.312261 0.832715
25.218868 1.321754 0.870691
25.200199 1.358762 0.871407
25.248207 1.266007 0.915273
25.216170 1.343914 0.812898
25.185403 1.344809 0.914835
25.162838 1.335210 0.899495
25.177131 1.239040 0.949268
25.153967 1.309440 0.911476
25.091859 1.175849 0.861851
25.130462 1.149928 0.803212
25.191677 1.143356 0.750912
25.159420 1.163778 0.759591
25.119525 1.216099 0.746607
25.083204 1.245281 0.744000
25.092323 1.172456 0.797226
25.078263 1.260678 0.764952
25.055471 1.240517 0.784215
25.121708 1.205218 0.718172
25.210846 1.073727 0.713804
25.260940 1.095632 0.727144
25.251872 1.140898 0.708445
25.257188 1.143195 0.733205
25.235834 1.126493 0.749693
25.258291 1.109948 0.708780
25.243603 1.106432 0.759552
25.155351 1.145297 0.824647
25.182698 1.145579 0.820382
25.191646 1.139969 0.756458
25.164755 1.177719 0.801837
25.130785 1.239940 0.720833
25.033192 1.252315 0.847422
25.029218 1.243049 0.813372
25.136259 1.146685 0.815465
25.276876 1.075163 0.722981
25.290678 1.067259 0.722412
25.233923 1.068961 0.775385
25.209956 1.146765 0.736787
25.167334 1.172027 0.748501
25.153924 1.174907 0.776323
25.055967 1.291161 0.797543
25.074670 1.207643 0.851884
25.104451 1.144415 0.860292
25.193846 1.113697 0.787853
25.218149 1.099009 0.793381
25.214803 1.095308 0.777554
25.134944 1.144029 0.770575
25.142333 1.202938 0.735525
25.102801 1.251546 0.714452
25.113374 1.187267 0.723044
25.075286 1.131196 0.776229
24.974950 1.148153 0.871563
24.951255 1.151578 0.844500
25.056834 1.082930 0.793830
25.079786 1.185721 0.706754
25.123412 1.215442 0.704873
25.170663 1.153461 0.775582
25.132829 1.150230 0.817049
25.183627 1.108379 0.824444
25.179509 1.176969 0.807032
25.092926 1.189283 0.884007
25.074835 1.215790 0.810363
25.059413 1.252499 0.807547
25.162226 1.242778 0.688877
25.200503 1.208666 0.717768
25.254779 1.166323 0.724796
25.187066 1.122650 0.766791
25.116136 1.209324 0.795541
25.100411 1.153064 0.832313
25.097873 1.235023 0.758802
25.109687 1.317162 0.732956
25.132743 1.241446 0.813162
25.097989 1.228559 0.923511
25.085390 1.216347 0.883649
25.074626 1.209774 0.894343
25.103694 1.163578 0.837853
25.108855 1.226317 0.759974
25.036643 1.249877 0.765145
25.069026 1.173111 0.870252
25.077443 1.181777 0.808989
25.115301 1.180588 0.792577
25.179740 1.158287 0.688033
25.222304 1.125435 0.676519
25.156788 1.197844 0.670746
25.156013 1.157011 0.741411
25.215977 1.138184 0.749263
25.146685 1.178212 0.783083
25.109368 1.240031 0.828974
25.123073 1.269367 0.855085
25.129383 1.184117 0.908692
25.152994 1.186726 0.866201
25.170706 1.158361 0.869351
25.103611 1.201681 0.813435
25.107675 1.245445 0.750845
25.139227 1.267880 0.764503
25.131874 1.176220 0.856649
25.111197 1.122731 0.924269
25.146754 1.146807 0.872933
25.114385 1.176107 0.824319
25.131411 1.191377 0.795344
25.114004 1.203202 0.798054
25.088766 1.212588 0.839249
25.197395 1.178829 0.759240
25.181772 1.162321 0.772969
25.120073 1.262256 0.822461
25.070873 1.326150 0.822963
25.058223 1.236313 0.892116
25.137336 1.186622 0.818892
25.141734 1.182937 0.848848
25.062678 1.279121 0.790611
25.098019 1.202191 0.848432
25.104798 1.239458 0.778318
25.149361 1.228808 0.808658
25.104611 1.190309 0.899739
25.098600 1.222197 0.849376
25.091977 1.261305 0.901211
25.065796 1.213134 0.910060
25.012659 1.212885 0.914909
25.100040 1.116601 0.930607
25.091627 1.198697 0.796820
25.042830 1.264969 0.822978
25.052064 1.296318 0.810896
25.079929 1.276060 0.883863
25.117393 1.242389 0.793263
25.140734 1.233051 0.800805
25.231142 1.160588 0.761897
25.270921 1.180076 0.753695
25.205959 1.223859 0.828103
25.113923 1.250664 0.912682
25.145161 1.188232 0.922747
