# Imag Bmag-Vmag
# F814W F435W-F555W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
26.787169 0.886920
26.739214 0.836399
26.709319 0.848869
26.730615 0.940905
26.762873 0.763172
26.576144 0.651832
26.629477 0.685020
26.686013 0.730239
26.739539 0.693047
26.635289 0.618447
26.660543 0.548073
26.803254 0.756084
26.788554 0.778460
26.739757 0.590815
26.689641 0.571585
26.594785 0.640769
26.571826 0.805489
26.737267 0.748146
26.675063 0.716720
26.583811 0.869247
26.575696 0.760279
26.584597 0.830631
26.652131 0.709399
26.524441 0.632625
26.343916 0.763295
26.427862 0.771529
26.659398 0.901299
26.685892 0.962544
26.731423 0.640949
26.707324 0.740814
26.532949 0.907436
26.542514 0.832936
26.680017 0.661488
26.758041 0.739242
26.745206 0.769983
26.818375 0.834855
26.732559 0.646353
26.476766 0.519288
26.512701 0.595573
26.562202 0.660515
26.547900 0.689613
26.486587 0.784069
26.542956 0.695302
26.708108 0.639272
26.799950 0.639012
26.806925 0.434895
26.707568 0.749016
26.575500 0.686349
26.539415 0.833341
26.617371 1.049217
26.644058 0.846434
26.549451 0.789890
26.597552 0.874422
26.685141 0.651823
26.768756 0.712273
26.634663 0.762184
26.445102 0.796942
26.546457 0.800484
26.484115 0.706725
26.501811 0.666362
26.513124 0.850211
26.488225 0.730030
26.310848 0.895972
26.371890 0.787931
26.517595 0.820501
26.640040 0.821944
26.829848 0.687355
26.862565 0.785006
26.887191 0.799142
26.845362 0.688285
26.801579 0.689070
26.682415 0.778817
26.602280 0.746899
26.642443 0.755889
26.712138 0.790203
26.706494 0.810421
26.820235 0.829771
26.778206 0.642276
26.680974 0.781932
26.764878 0.688012
26.730039 0.776483
26.696030 0.640812
26.748098 0.834558
26.704169 0.892749
26.713508 0.849842
26.765803 0.885820
26.660423 0.645385
26.713926 0.819832
26.705125 0.693350
26.637039 0.708954
26.467646 0.915721
26.512481 0.906794
26.632056 0.930521
26.679465 0.876133
26.667721 0.899992
26.465952 0.719023
26.463171 0.731248
