age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.1,7.7769,4.265,3.598,-3.61,-2.7044,-2.5226,-1.8738,-1.3212,-0.7389,-2.7682,-2.6367,-2.972,-2.873
5.1,7.9808,4.2988,3.6436,-3.5894,-2.6311,-2.442,-1.7723,-1.2017,-0.6118,-2.8202,-2.6506,-3.085,-2.936
5.1,8.2105,4.3332,3.6874,-3.5511,-2.5517,-2.3559,-1.667,-1.0794,-0.4817,-2.8563,-2.6526,-3.192,-2.991
5.1,8.4876,4.3682,3.7285,-3.474,-2.4645,-2.2625,-1.5555,-0.9508,-0.3451,-2.8796,-2.6451,-3.286,-3.032
5.1,8.8673,4.4046,3.7666,-3.3699,-2.3599,-2.1496,-1.4193,-0.7957,-0.1797,-2.8877,-2.6174,-3.147,-2.871
5.1,9.4163,4.443,3.8167,-3.3595,-2.2774,-2.0578,-1.3029,-0.6605,-0.0339,-2.9149,-2.6071,-3.232,-2.923
5.1,9.9492,4.4471,3.8092,-3.2831,-2.2373,-2.0173,-1.2612,-0.6175,0.0094,-2.8827,-2.5729,-3.208,-2.895
5.1,10.9231,4.4598,3.8856,-3.2377,-2.3659,-2.1435,-1.3816,-0.7327,-0.1031,-3.0432,-2.7245,-3.404,-3.067
5.1,11.9873,4.4761,3.9978,-3.2973,-2.57,-2.3446,-1.5755,-0.9197,-0.2865,-3.2874,-2.9585,-3.7,-3.323
5.1,13.1318,4.4928,4.1135,-3.3217,-2.7877,-2.5603,-1.7868,-1.1252,-0.4895,-3.5403,-3.2059,-3.988,-3.607
5.1,14.6003,4.5117,4.2456,-3.3513,-3.0395,-2.8109,-2.0354,-1.3685,-0.7311,-3.8249,-3.4886,-4.295,-3.919
5.1,16.2377,4.5301,4.3753,-3.4085,-3.2839,-3.0548,-2.2798,-1.6091,-0.9711,-4.095,-3.7597,-4.589,-4.21
5.1,18.1005,4.5484,4.5047,-3.4333,-3.5181,-3.2888,-2.5155,-1.8422,-1.2042,-4.3503,-4.0163,-4.861,-4.455
5.1,20.5465,4.5687,4.6513,-3.4171,-3.7675,-3.5376,-2.766,-2.0905,-1.4525,-4.6208,-4.286,-5.174,-4.711
5.1,24.2054,4.5933,4.8336,-3.4477,-4.062,-3.8305,-3.0592,-2.3811,-1.7426,-4.939,-4.6001,-5.491,-5.015
5.1,28.79,4.6178,5.0182,-3.5487,-4.3488,-4.1148,-3.3413,-2.6599,-2.0196,-5.2486,-4.9029,-5.755,-5.278
5.1,33.9162,4.6392,5.1845,-3.632,-4.6145,-4.3785,-3.6025,-2.9187,-2.2769,-5.5305,-5.1799,-5.977,-5.493
5.1,40.7851,4.6609,5.3625,-3.6869,-4.927,-4.6906,-3.9141,-3.2296,-2.588,-5.851,-5.5007,-6.224,-5.73
5.1,50.3047,4.6831,5.5531,-3.7164,-5.2935,-5.0584,-4.2835,-3.6003,-2.9606,-6.2176,-5.8728,-6.504,-6.001
5.1,66.7098,4.7088,5.7919,-3.8494,-5.7612,-5.5266,-4.7516,-4.0689,-3.4304,-6.6887,-6.3469,-7.115,-6.789
5.1,85.0747,4.7274,5.9828,-4.0878,-6.1319,-5.8963,-5.1186,-4.4344,-3.7951,-7.068,-6.7233,-7.511,-7.15
5.1,101.4777,4.739,6.1135,-4.206,-6.3881,-6.1515,-5.3714,-4.6859,-4.0457,-7.3311,-6.9833,-7.784,-7.398
5.15,0.1118,3.5105,-0.7222,0.1836,9.3381,8.6562,6.5368,5.7367,5.4656,17.3335,12.8606,33.0,22.223
5.15,0.1322,3.5183,-0.5929,-0.3713,8.9069,8.2177,6.1989,5.4339,5.1388,16.9394,12.4648,33.0,21.978
5.15,0.1595,3.5277,-0.4419,-0.4487,8.4215,7.7252,5.814,5.085,4.7556,16.4861,12.0204,33.0,33.0
5.15,0.1939,3.539,-0.3019,-0.5909,7.9481,7.2455,5.4595,4.7716,4.4029,16.0294,11.5833,33.0,33.0
5.15,0.2281,3.5498,-0.1855,-0.7059,7.5335,6.83,5.1635,4.514,4.1134,15.619,11.1854,31.307,17.814
5.15,0.2732,3.5637,-0.0524,-0.8293,7.0222,6.3269,4.8185,4.2194,3.7905,15.0954,10.6562,31.113,17.62
5.15,0.3166,3.5764,0.055,-1.0185,6.5799,5.9025,4.5324,3.9803,3.5437,14.6079,10.1369,30.421,16.159
5.15,0.3538,3.5868,0.1424,-1.0364,6.2145,5.5591,4.2948,3.7814,3.354,14.1584,9.6579,30.306,16.044
5.15,0.4235,3.6053,0.2792,-1.0741,5.6107,5.0076,3.9121,3.4667,3.0809,13.1186,8.7659,30.283,15.621
5.15,0.4958,3.6237,0.4027,-1.0124,5.0517,4.5088,3.559,3.18,2.8567,11.6918,7.8691,28.928,14.199
5.15,0.6929,3.6549,0.6548,-1.1358,4.0739,3.6184,2.8751,2.6005,2.3869,9.2666,6.4415,23.807,11.477
5.15,0.8756,3.6708,0.82,-1.3084,3.5213,3.1033,2.4462,2.2212,2.0604,8.1954,5.7032,21.735,10.194
5.15,1.1782,3.6871,1.0212,-1.0818,2.8961,2.5148,1.9352,1.7585,1.6488,7.1475,4.903,19.802,8.961
5.15,4.3865,3.7365,2.0427,-1.8217,0.0574,-0.214,-0.5896,-0.6383,-0.6107,3.4315,1.6877,14.02,4.869
5.15,5.1531,3.7727,2.4599,-2.7484,-1.1492,-1.3411,-1.5724,-1.5405,-1.419,1.8397,0.3815,10.267,2.936
5.15,5.3935,3.8094,2.5737,-3.2042,-1.5658,-1.6873,-1.772,-1.6679,-1.4545,1.1285,-0.0395,7.521,1.982
5.15,5.5683,3.8427,2.6623,-3.3239,-1.8891,-1.9518,-1.8995,-1.7364,-1.4391,0.6375,-0.3055,5.591,1.359
5.15,5.7355,3.876,2.751,-3.3899,-2.194,-2.1955,-2.0064,-1.7925,-1.4173,0.217,-0.5458,3.785,0.778
5.15,5.8829,3.9078,2.8343,-3.4587,-2.4377,-2.3858,-2.0833,-1.8267,-1.3913,-0.1718,-0.7939,1.906,0.185
5.15,6.0207,3.9387,2.9139,-3.5034,-2.6002,-2.5173,-2.1373,-1.8432,-1.3678,-0.5625,-1.059,0.55,-0.359
5.15,6.1548,3.9694,2.9914,-3.542,-2.7055,-2.6023,-2.1712,-1.8423,-1.3428,-0.9349,-1.3214,-0.282,-0.827
5.15,6.2827,4.0,3.0652,-3.5784,-2.7706,-2.6549,-2.1911,-1.8289,-1.3144,-1.2832,-1.5826,-0.797,-1.201
5.15,6.4077,4.0306,3.1355,-3.6027,-2.8093,-2.6847,-2.1958,-1.8026,-1.2777,-1.5861,-1.8208,-1.233,-1.555
5.15,6.5332,4.0616,3.2025,-3.6158,-2.8275,-2.6952,-2.184,-1.7628,-1.2293,-1.8419,-2.0227,-1.566,-1.825
