# Imag Gmag-Imag
# F814W F475W-F814W
# Vega apparent mags
# Bulge region extracted by Charlie
24.53358 2.01823
24.53762 2.09864
24.51755 2.28746
24.75466 2.14289
25.15770 1.80182
25.24112 1.76067
25.26885 1.78600
25.12841 1.80246
25.11452 1.81717
25.02787 1.89711
24.72566 1.98374
24.36542 2.05283
24.00089 2.24605
24.33831 2.10225
25.00114 1.83469
25.18831 1.78521
25.17707 1.80933
25.28262 1.79701
25.37937 1.80750
25.40548 1.74855
25.38007 1.74324
25.31110 1.73027
25.04345 1.74973
24.98436 1.70488
24.96243 1.73524
25.04671 1.74404
25.21818 1.71553
25.05162 1.92940
24.83233 2.20878
24.24555 2.74896
23.68474 3.21525
23.95208 3.00831
24.85919 2.15000
25.13265 1.79888
25.15382 1.63550
25.20552 1.73769
25.11189 1.75905
24.89174 1.62387
24.85843 1.54108
24.95534 1.64659
25.03242 1.68547
25.15522 1.74166
25.17810 1.86307
25.04989 1.95662
24.74197 2.03463
24.92643 1.86364
25.23141 1.68835
25.32844 1.74934
25.30938 1.79512
25.29050 1.76606
25.14496 1.87557
24.89996 1.88885
24.58978 1.93076
24.51995 1.90053
24.93965 1.78461
25.10405 1.77142
25.10398 1.76448
25.12718 1.71978
25.03865 1.75105
25.21798 1.63715
25.33800 1.59740
25.44868 1.67516
25.32373 1.73850
25.20621 1.77340
25.20524 1.83182
25.32180 1.70641
25.27693 1.68177
25.22704 1.73729
25.20657 1.74928
25.21609 1.69578
25.37702 1.65490
25.33632 1.73717
25.21662 1.86491
25.06795 1.97580
25.00188 2.00706
24.80148 2.08983
24.41240 2.25413
24.74310 1.94315
25.12796 1.71616
25.18639 1.82682
25.21589 1.78285
25.18454 1.75714
25.31638 1.77004
25.24467 1.91223
25.29505 1.87025
25.21625 1.78785
25.08897 1.78266
25.23280 1.70988
25.19448 1.80078
25.35587 1.71875
25.44528 1.62382
25.34814 1.68494
25.18576 1.75909
25.08964 1.61471
24.78864 1.72566
24.84690 1.68591
24.98259 1.79006
24.87910 1.85665
24.93331 1.77398
24.84875 1.90866
24.51514 2.07286
24.30670 2.15930
24.73603 2.01201
25.12626 1.87293
25.21971 1.80349
25.15568 1.78240
25.26252 1.64601
25.37873 1.61193
25.38746 1.62834
25.44236 1.63119
25.43981 1.62200
25.38282 1.59962
25.28351 1.63444
25.13641 1.66934
24.71610 1.75213
24.40667 1.81159
24.41005 2.05646
24.46522 2.26984
24.68781 2.15611
25.06390 1.89547
25.20473 1.75872
25.31895 1.72103
25.38128 1.66174
25.27343 1.72069
25.26854 1.72746
25.15600 1.84493
24.83937 1.93456
24.47484 2.11440
24.18832 2.31676
24.56756 2.08598
25.00912 1.78246
