age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.05,8.6287,4.4759,3.7799,-3.2922,-1.9729,-1.7474,-0.9818,-0.3302,0.3015,-2.6599,-2.3359,-2.57,-2.266
5.05,9.2478,4.5154,3.8596,-3.3545,-2.0026,-1.7706,-0.9884,-0.3197,0.3194,-2.7842,-2.4413,-2.905,-2.531
5.05,9.6654,4.5089,3.8345,-3.3149,-1.9665,-1.7356,-0.9556,-0.2895,0.3486,-2.7333,-2.3928,-2.833,-2.461
5.05,10.5606,4.5174,3.8707,-3.2541,-2.018,-1.7856,-1.0016,-0.3319,0.3078,-2.8046,-2.4596,-2.93,-2.556
5.05,11.472,4.5293,3.9638,-3.2226,-2.1978,-1.9635,-1.1759,-0.5018,0.1397,-3.0097,-2.6602,-3.156,-2.789
5.05,12.989,4.5508,4.1196,-3.2206,-2.4827,-2.2468,-1.4569,-0.7777,-0.1348,-3.3298,-2.9764,-3.554,-3.16
5.05,14.6564,4.5715,4.2677,-3.2526,-2.7355,-2.4998,-1.7129,-1.0321,-0.3899,-3.6034,-3.2507,-3.924,-3.476
5.05,16.9925,4.5961,4.4433,-3.3042,-3.0121,-2.7766,-1.9937,-1.3124,-0.6712,-3.8974,-3.5451,-4.2,-3.743
5.05,19.5984,4.619,4.6078,-3.4164,-3.2494,-3.0128,-2.2297,-1.5467,-0.9053,-4.1508,-3.795,-4.415,-3.952
5.05,22.2997,4.6388,4.7522,-3.3976,-3.4584,-3.2204,-2.4352,-1.7504,-1.108,-4.3732,-4.0134,-4.598,-4.13
5.05,27.5687,4.6691,4.9777,-3.2699,-3.8388,-3.6006,-2.8162,-2.1305,-1.4883,-4.766,-4.4081,-4.882,-4.404
5.05,41.4891,4.7206,5.3828,-3.5346,-4.6267,-4.3899,-3.6101,-2.9247,-2.2843,-5.5665,-5.2178,-5.984,-5.488
5.05,48.456,4.7366,5.5205,-3.7786,-4.8916,-4.6541,-3.8726,-3.1861,-2.545,-5.8384,-5.4879,-6.217,-5.716
5.05,62.2423,4.7603,5.7344,-3.8676,-5.2936,-5.0541,-4.2682,-3.5793,-2.9365,-6.2531,-5.8967,-6.563,-6.05
5.05,76.6106,4.7774,5.9015,-3.9924,-5.6065,-5.3653,-4.5757,-3.8847,-3.2405,-6.5757,-6.2142,-6.822,-6.296
5.05,98.4284,4.795,6.0914,-4.1399,-5.9655,-5.7227,-4.9293,-4.2364,-3.5906,-6.9446,-6.5782,-7.235,-6.694
5.1,0.1134,3.5845,-0.5364,0.1912,7.768,7.1393,5.9163,5.4632,5.1885,13.9908,10.8514,27.111,13.896
5.1,0.1331,3.5929,-0.4191,-0.4106,7.3762,6.7764,5.6184,5.1853,4.9108,13.3344,10.3425,26.901,13.687
5.1,0.1573,3.6026,-0.2906,-0.4997,6.937,6.3721,5.291,4.8818,4.6128,12.5518,9.7514,26.782,13.478
5.1,0.1857,3.6133,-0.1757,-0.577,6.5236,5.9936,4.9947,4.613,4.3552,11.8008,9.1751,24.887,12.697
